W;B;E;S;Bewerkingstype;RE_FO_a_WBE [m3 aardgas];RE_FO_b_WBSE [m3 aardgas];FVrvKC_mean_SJV [m3 aardgas];FVrvKC sd_SJV [m3 aardgas];OP_mean [m2];Se (stdv residuals);Sse;t a/2;Count
1;3;0;G;2;5.666476096;926.9303457;1872.877699;750.006922;166.9375;737.7228223;198453.75;1.998340543;0
1;3;1;A;5;5.666476096;810.5474731;1839.679529;740.8015873;181.6176471;733.393338;709774.2059;1.97002401;0
1;3;1;B;5;5.666476096;810.5474731;1839.679529;740.8015873;181.6176471;733.393338;709774.2059;1.97002401;0
1;3;1;C;5;5.666476096;810.5474731;1839.679529;740.8015873;181.6176471;733.393338;709774.2059;1.97002401;0
1;3;1;D;5;5.666476096;899.5787684;1892.563892;743.5078252;175.2385621;733.0471624;977333.585;1.967772355;0
1;3;1;E;5;5.666476096;956.2118912;1919.739487;731.4051833;170.04;734.3127442;363975.76;1.976013178;0
1;3;1;F;5;5.666476096;926.9303457;1872.877699;750.006922;166.9375;737.7228223;198453.75;1.998340543;0
1;3;1;G;5;5.666476096;926.9303457;1872.877699;750.006922;166.9375;737.7228223;198453.75;1.998340543;0
1;3;2;A;5;5.666476096;810.5474731;1839.679529;740.8015873;181.6176471;733.393338;709774.2059;1.97002401;0
1;3;2;B;5;5.666476096;810.5474731;1839.679529;740.8015873;181.6176471;733.393338;709774.2059;1.97002401;0
1;3;2;C;5;5.666476096;810.5474731;1839.679529;740.8015873;181.6176471;733.393338;709774.2059;1.97002401;0
1;3;2;D;5;5.666476096;899.5787684;1892.563892;743.5078252;175.2385621;733.0471624;977333.585;1.967772355;0
1;3;2;E;5;5.666476096;956.2118912;1919.739487;731.4051833;170.04;734.3127442;363975.76;1.976013178;0
1;3;2;F;5;5.666476096;926.9303457;1872.877699;750.006922;166.9375;737.7228223;198453.75;1.998340543;0
1;3;2;G;5;5.666476096;926.9303457;1872.877699;750.006922;166.9375;737.7228223;198453.75;1.998340543;0
1;4;0;A;3;5.190991391;751.2112018;1752.639958;689.6717653;192.9166667;684.513415;487699;1.976692198;0
1;4;0;B;0;5.190991391;751.2112018;1752.639958;689.6717653;192.9166667;684.513415;487699;1.976692198;144
1;4;0;C;0;5.190991391;896.7611825;1855.859559;682.0038448;184.7620818;682.751818;1581879.546;1.964391426;538
1;4;0;D;0;5.190991391;1000.696346;1961.780259;718.3764852;185.1445783;686.3134878;252734.2651;1.989318557;83
1;4;0;E;2;5.190991391;1000.696346;1961.780259;718.3764852;185.1445783;686.3134878;252734.2651;1.989318557;0
1;4;0;F;2;5.190991391;1000.696346;1961.780259;718.3764852;185.1445783;686.3134878;252734.2651;1.989318557;0
1;4;0;G;2;5.190991391;1000.696346;1961.780259;718.3764852;185.1445783;686.3134878;252734.2651;1.989318557;0
1;4;1;A;3;6.401716501;626.2523097;1651.807293;723.8495451;160.2;668.0712249;364380;1.984216952;0
1;4;1;B;3;6.401716501;626.2523097;1651.807293;723.8495451;160.2;668.0712249;364380;1.984216952;0
1;4;1;C;0;6.401716501;626.2523097;1651.807293;723.8495451;160.2;668.0712249;364380;1.984216952;100
1;4;1;D;2;6.401716501;626.2523097;1651.807293;723.8495451;160.2;668.0712249;364380;1.984216952;0
1;4;1;E;2;6.401716501;626.2523097;1651.807293;723.8495451;160.2;668.0712249;364380;1.984216952;0
1;4;1;F;2;6.401716501;626.2523097;1651.807293;723.8495451;160.2;668.0712249;364380;1.984216952;0
1;4;1;G;2;6.401716501;626.2523097;1651.807293;723.8495451;160.2;668.0712249;364380;1.984216952;0
1;4;2;A;3;4.72683646;322.7102371;620.4221534;429.4434175;62.98333333;480.4351042;94980.98333;2.000995378;0
1;4;2;B;0;4.72683646;322.7102371;620.4221534;429.4434175;62.98333333;480.4351042;94980.98333;2.000995378;60
1;4;2;C;0;4.72683646;709.0855545;1244.877496;413.5136672;113.3510638;478.9280616;168723.4149;1.985801814;94
1;4;2;D;2;4.72683646;709.0855545;1244.877496;413.5136672;113.3510638;478.9280616;168723.4149;1.985801814;0
1;4;2;E;2;4.72683646;709.0855545;1244.877496;413.5136672;113.3510638;478.9280616;168723.4149;1.985801814;0
1;4;2;F;2;4.72683646;709.0855545;1244.877496;413.5136672;113.3510638;478.9280616;168723.4149;1.985801814;0
1;4;2;G;2;4.72683646;709.0855545;1244.877496;413.5136672;113.3510638;478.9280616;168723.4149;1.985801814;0
1;5;0;A;0;6.139346772;481.235937;1553.15177;628.8063822;174.5977011;614.2499031;196898.9195;1.987934206;87
1;5;0;B;0;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;109
1;5;0;C;2;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;0;D;2;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;0;E;2;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;0;F;2;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;0;G;2;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;1;A;5;6.139346772;481.235937;1553.15177;628.8063822;174.5977011;614.2499031;196898.9195;1.987934206;0
1;5;1;B;5;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;1;C;5;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;1;D;5;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;1;E;5;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;1;F;5;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;1;G;5;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;2;A;5;6.139346772;481.235937;1553.15177;628.8063822;174.5977011;614.2499031;196898.9195;1.987934206;0
1;5;2;B;5;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;2;C;5;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;2;D;5;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;2;E;5;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;2;F;5;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;5;2;G;5;6.139346772;509.8753645;1692.797942;655.250702;192.6788991;613.5151941;335929.7615;1.982173483;0
1;6;0;A;0;4.986670972;602.3984447;1528.506355;639.685098;185.7166667;609.843213;206694.1833;2.000995378;60
1;6;0;B;0;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;99
1;6;0;C;2;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;0;D;2;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;0;E;2;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;0;F;2;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;0;G;2;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;1;A;5;4.986670972;602.3984447;1528.506355;639.685098;185.7166667;609.843213;206694.1833;2.000995378;0
1;6;1;B;5;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;1;C;5;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;1;D;5;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;1;E;5;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;1;F;5;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;1;G;5;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;2;A;5;4.986670972;602.3984447;1528.506355;639.685098;185.7166667;609.843213;206694.1833;2.000995378;0
1;6;2;B;5;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;2;C;5;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;2;D;5;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;2;E;5;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;2;F;5;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;6;2;G;5;4.986670972;738.7878748;1691.090919;596.4556426;190.969697;607.7617397;237524.9091;1.984467455;0
1;7;0;A;0;5.770902709;379.5939021;1616.507739;587.6274562;214.3362832;536.0065265;379421.2212;1.981371815;113
1;7;0;B;0;5.770902709;528.1640573;1750.684236;593.3013553;211.8421053;538.4374076;168005.5789;2.003240719;57
1;7;0;C;2;5.770902709;528.1640573;1750.684236;593.3013553;211.8421053;538.4374076;168005.5789;2.003240719;0
1;7;0;D;2;5.770902709;528.1640573;1750.684236;593.3013553;211.8421053;538.4374076;168005.5789;2.003240719;0
1;7;0;E;2;5.770902709;528.1640573;1750.684236;593.3013553;211.8421053;538.4374076;168005.5789;2.003240719;0
1;7;0;F;2;5.770902709;528.1640573;1750.684236;593.3013553;211.8421053;538.4374076;168005.5789;2.003240719;0
1;7;0;G;2;5.770902709;528.1640573;1750.684236;593.3013553;211.8421053;538.4374076;168005.5789;2.003240719;0
1;7;1;A;5;5.770902709;379.5939021;1616.507739;587.6274562;214.3362832;536.0065265;379421.2212;1.981371815;0
1;7;1;B;5;5.770902709;528.1640573;1750.684236;593.3013553;211.8421053;538.4374076;168005.5789;2.003240719;0
1;7;1;C;5;5.770902709;528.1640573;1750.684236;593.3013553;211.8421053;538.4374076;168005.5789;2.003240719;0
1;7;1;D;5;5.770902709;528.1640573;1750.684236;593.3013553;211.8421053;538.4374076;168005.5789;2.003240719;0
1;7;1;E;5;5.770902709;528.1640573;1750.684236;593.3013553;211.8421053;538.4374076;168005.5789;2.003240719;0
1;7;1;F;5;5.770902709;528.1640573;1750.684236;593.3013553;211.8421053;538.4374076;168005.5789;2.003240719;0
1;7;1;G;5;5.770902709;528.1640573;1750.684236;593.3013553;211.8421053;538.4374076;168005.5789;2.003240719;0
1;7;2;A;0;5.191962636;228.1270529;1029.766084;356.6573516;154.4;329.1238362;68330;2.009575237;50
1;7;2;B;2;5.191962636;228.1270529;1029.766084;356.6573516;154.4;329.1238362;68330;2.009575237;0
1;7;2;C;2;5.191962636;228.1270529;1029.766084;356.6573516;154.4;329.1238362;68330;2.009575237;0
1;7;2;D;2;5.191962636;228.1270529;1029.766084;356.6573516;154.4;329.1238362;68330;2.009575237;0
1;7;2;E;2;5.191962636;228.1270529;1029.766084;356.6573516;154.4;329.1238362;68330;2.009575237;0
1;7;2;F;2;5.191962636;228.1270529;1029.766084;356.6573516;154.4;329.1238362;68330;2.009575237;0
1;7;2;G;2;5.191962636;228.1270529;1029.766084;356.6573516;154.4;329.1238362;68330;2.009575237;0
1;8;0;A;0;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;84
1;8;0;B;2;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;0;C;2;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;0;D;2;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;0;E;2;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;0;F;2;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;0;G;2;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;1;A;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;1;B;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;1;C;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;1;D;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;1;E;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;1;F;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;1;G;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;2;A;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;2;B;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;2;C;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;2;D;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;2;E;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;2;F;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;8;2;G;5;5.282866896;461.7648082;1491.169158;569.3858003;194.8571429;554.7862888;200440.2857;1.98895978;0
1;9;0;A;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;2029;1;0;0
1;9;0;B;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;0;0;0;0
1;9;0;C;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;0;0;0;0
1;9;0;D;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;0;0;0;0
1;9;0;E;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;0;0;0;0
1;9;0;F;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;0;0;0;0
1;9;0;G;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;0;0;0;0
1;9;1;A;5;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;71;1;0;0
1;9;1;B;5;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;0;0;0;0
1;9;1;C;5;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;0;0;0;0
1;9;1;D;5;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;0;0;0;0
1;9;1;E;5;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;0;0;0;0
1;9;1;F;5;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;0;0;0;0
1;9;1;G;5;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;0;0;0;0
1;9;2;A;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;0;0;0;0
1;9;2;B;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;0;0;0;0
1;9;2;C;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;0;0;0;0
1;9;2;D;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;0;0;0;0
1;9;2;E;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;0;0;0;0
1;9;2;F;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;0;0;0;0
1;9;2;G;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;0;0;0;0
1;10;0;A;0;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;229
1;10;0;B;2;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;0;C;2;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;0;D;2;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;0;E;2;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;0;F;2;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;0;G;2;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;1;A;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;1;B;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;1;C;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;1;D;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;1;E;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;1;F;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;1;G;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;2;A;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;2;B;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;2;C;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;2;D;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;2;E;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;2;F;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
1;10;2;G;5;6.553041531;62.66825893;1235.290686;520.0871315;178.9432314;459.8047152;492314.262;1.970423195;0
2;0;0;A;3;6.042320047;730.8168013;1562.945868;654.1147188;137.7168142;661.7241007;321438.9381;1.981371815;0
2;0;0;B;3;6.042320047;730.8168013;1562.945868;654.1147188;137.7168142;661.7241007;321438.9381;1.981371815;0
2;0;0;C;0;6.042320047;730.8168013;1562.945868;654.1147188;137.7168142;661.7241007;321438.9381;1.981371815;113
