W;B;E;Bewerkingstype;RE_FO_a_WBE [m3 aardgas];RE_FO_b_WBE [m3 aardgas];FVrvKC_mean [m3 aardgas];FVrvKC sd [m3 aardgas];OP_mean [m2];Se (stdv residuals);Sse;t a/2;Count
3;10;0;0;4.851628494;161.6370057;818.8789748;377.8513637;135.4683216;372.1738728;2961504.041;1.960843643;2699
3;10;1;0;5.615557136;71.5809774;771.7665292;370.5877903;124.686747;358.6827322;153533.7108;1.97444563;166
3;10;2;0;0;541.6987826;541.6987826;251.7579058;102.962963;274.8375071;17237.92593;2.005745995;54
4;0;0;0;6.185120533;567.217085;1345.2176;649.884746;125.7858292;604.704314;243531432.2;1.959992896;82056
4;0;1;0;6.238634669;601.2641111;1285.445599;693.6698905;109.6684651;656.7196382;22284465.09;1.960284051;7414
4;0;2;0;5.793124292;532.867375;1040.840422;518.5367883;87.68550812;531.8277883;1493530.521;1.961392366;1663
4;1;0;0;6.631727757;513.090621;1318.93359;582.0880754;121.5132765;571.8946949;79893888.61;1.960006262;56114
4;1;1;0;6.139133745;702.7145483;1405.270891;661.679277;114.4390027;661.2145469;4095455.143;1.961021236;2246
4;1;2;0;8.666305779;346.5838665;1054.214263;528.8530338;81.65306122;532.4783964;133903.5102;1.969733992;245
4;2;0;0;6.326435757;517.428882;1208.969943;527.7974051;109.3097421;544.2100483;64430584.23;1.959990161;90627
4;2;1;0;5.869187648;729.1621038;1356.433044;632.4330323;106.8752573;649.8034127;3067693.203;1.960941511;2429
4;2;2;0;3.806983088;605.3056442;947.6728585;439.7738719;89.93137255;474.5315841;717830.1078;1.960714748;3162
4;3;0;0;6.819079331;370.9147822;1213.565146;530.2010462;123.5724536;550.9862486;84201491.1;1.959978968;158329
4;3;1;0;6.877618361;510.1005587;1308.590694;589.4003598;116.0998028;606.9172875;1951943.75;1.960900601;2535
4;3;2;0;2.829438579;682.1960244;985.4088276;444.1793433;107.1635926;480.9026464;642399.2542;1.960916012;2494
4;4;0;0;8.530248339;-0.079041514;1035.292169;487.1529103;121.3764441;480.6728806;153544699.4;1.959972944;264791
