woning;bouwjaarklasse;Elabel;besparing
rijwoning hoek;2000 - 2005;A;1
rijwoning hoek;2000 - 2005;B;1.028544046
rijwoning hoek;2000 - 2005;C;0
rijwoning hoek;2000 - 2005;D;0
rijwoning hoek;2000 - 2005;E;0
rijwoning hoek;2000 - 2005;F;0
rijwoning hoek;2000 - 2005;G;0
rijwoning hoek;2000 - 2005;N;1.063820953
rijwoning hoek;2006 - 2010;A;1
rijwoning hoek;2006 - 2010;B;0
rijwoning hoek;2006 - 2010;C;0
rijwoning hoek;2006 - 2010;D;0
rijwoning hoek;2006 - 2010;E;0
rijwoning hoek;2006 - 2010;F;0
rijwoning hoek;2006 - 2010;G;0
rijwoning hoek;2006 - 2010;N;1.04081604
rijwoning hoek;2011 - 2014;A;1
rijwoning hoek;2011 - 2014;B;0
rijwoning hoek;2011 - 2014;C;0
rijwoning hoek;2011 - 2014;D;0
rijwoning hoek;2011 - 2014;E;0
rijwoning hoek;2011 - 2014;F;0
rijwoning hoek;2011 - 2014;G;0
rijwoning hoek;2011 - 2014;N;1.069083247
rijwoning hoek;2015 - 2020;A;1
rijwoning hoek;2015 - 2020;B;0
rijwoning hoek;2015 - 2020;C;0
rijwoning hoek;2015 - 2020;D;0
rijwoning hoek;2015 - 2020;E;0
rijwoning hoek;2015 - 2020;F;0
rijwoning hoek;2015 - 2020;G;0
rijwoning hoek;2015 - 2020;N;1.076099989
rijwoning hoek;2021 - 2030;A;1
rijwoning hoek;2021 - 2030;B;0
rijwoning hoek;2021 - 2030;C;0
rijwoning hoek;2021 - 2030;D;0
rijwoning hoek;2021 - 2030;E;0
rijwoning hoek;2021 - 2030;F;0
rijwoning hoek;2021 - 2030;G;0
rijwoning hoek;2021 - 2030;N;0
rijwoning hoek;2031 - 2040;A;1
rijwoning hoek;2031 - 2040;B;0
rijwoning hoek;2031 - 2040;C;0
rijwoning hoek;2031 - 2040;D;0
rijwoning hoek;2031 - 2040;E;0
rijwoning hoek;2031 - 2040;F;0
rijwoning hoek;2031 - 2040;G;0
rijwoning hoek;2031 - 2040;N;0
rijwoning hoek;2041 - 2050;A;1
rijwoning hoek;2041 - 2050;B;0
rijwoning hoek;2041 - 2050;C;0
rijwoning hoek;2041 - 2050;D;0
rijwoning hoek;2041 - 2050;E;0
rijwoning hoek;2041 - 2050;F;0
rijwoning hoek;2041 - 2050;G;0
rijwoning hoek;2041 - 2050;N;0
rijwoning tussen;voor 1930;A;1
rijwoning tussen;voor 1930;B;1.085605948
rijwoning tussen;voor 1930;C;1.091261684
rijwoning tussen;voor 1930;D;1.147280246
rijwoning tussen;voor 1930;E;1.216506917
rijwoning tussen;voor 1930;F;1.290732599
rijwoning tussen;voor 1930;G;1.325072125
rijwoning tussen;voor 1930;N;1.389876189
