'BU_CODE';'V01_Strategievariant'
'BU00850203';'s1b'
'BU00850301';'s1b'
'BU00850302';'s1b'
'BU00850401';'s1b'
'BU00850402';'s1b'
'BU00850501';'s1b'
'BU00850502';'s1b'
'BU00850601';'s1b'
'BU00850602';'s1b'
'BU00850603';'s1b'
'BU00850604';'s1b'
'BU00850605';'s1b'
'BU00850606';'s1b'
'BU00850607';'s1b'
'BU00850608';'s1b'
'BU00850701';'s1b'
'BU00850702';'s1b'
'BU00850801';'s1b'
'BU00850802';'s1b'
'BU00850901';'s1b'
'BU00850902';'s1b'
'BU00851001';'s1b'
'BU00851002';'s1b'
'BU00851003';'s1b'
'BU00851101';'s1b'
'BU00851102';'s1b'
'BU00851103';'s1b'
'BU00851104';'s1b'
'BU00851105';'s1b'
'BU00851106';'s1b'
'BU00851107';'s1b'
'BU00851108';'s1b'
'BU00851109';'s1b'
'BU00851110';'s1b'
'BU00851111';'s1b'
'BU00851112';'s1b'
'BU00851113';'s1b'
'BU00851114';'s1b'
'BU00851115';'s1b'
'BU00851116';'s1b'
'BU00851117';'s1b'
'BU00851118';'s1b'
'BU00851201';'s1b'
'BU00851202';'s1b'
'BU00851301';'s1b'
'BU00851302';'s1b'
'BU00860101';'s1b'
'BU00860102';'s1b'
'BU00860103';'s1b'
'BU00860201';'s1b'
'BU00860202';'s1b'
'BU00860203';'s1b'
'BU00860204';'s1b'
'BU00860205';'s1b'
'BU00860206';'s1b'
'BU00860207';'s1b'
'BU00860208';'s1b'
'BU00860209';'s1b'
'BU00860401';'s1b'
'BU00860402';'s1b'
'BU00860501';'s1b'
'BU00860502';'s1b'
'BU00860503';'s1b'
'BU00860504';'s1b'
'BU00860505';'s1b'
'BU00860506';'s1b'
'BU00860507';'s1b'
'BU00860508';'s1b'
'BU00860601';'s1b'
'BU00860602';'s1b'
'BU00860701';'s1b'
'BU00860702';'s1b'
'BU00860801';'s1b'
'BU00860802';'s1b'
'BU00860901';'s1b'
'BU00860902';'s1b'
'BU00861001';'s1b'
'BU00861002';'s1b'
'BU00861101';'s1b'
'BU00861102';'s1b'
'BU00861301';'s1b'
'BU00861302';'s1b'
'BU00861401';'s1b'
'BU00861402';'s1b'
'BU00861501';'s1b'
'BU00861502';'s1b'
'BU00861601';'s1b'
'BU00861602';'s1b'
'BU00861603';'s1b'
'BU00861604';'s1b'
'BU00861605';'s1b'
'BU00861606';'s1b'
'BU00861607';'s1b'
'BU00861701';'s1b'
'BU00861702';'s1b'
'BU00861703';'s1b'
'BU00880000';'s1b'
'BU00880009';'s1b'
'BU00900001';'s1b'
'BU00900002';'s1b'
'BU00900003';'s1b'
'BU00900004';'s1b'
'BU00900005';'s1b'
'BU00900006';'s1b'
'BU00900007';'s1b'
'BU00900008';'s1b'
'BU00900009';'s1b'
'BU00900010';'s1b'
'BU00900011';'s1b'
'BU00900012';'s1b'
'BU00900013';'s1b'
'BU00900014';'s1b'
'BU00900015';'s1b'
'BU00900016';'s1b'
'BU00900017';'s1b'
'BU00900018';'s1b'
'BU00900120';'s1b'
'BU00900121';'s1b'
'BU00900122';'s1b'
'BU00900123';'s1b'
'BU00900124';'s1b'
'BU00900125';'s1b'
'BU00900126';'s1b'
'BU00900127';'s1b'
'BU00900128';'s1b'
'BU00900129';'s1b'
'BU00900130';'s1b'
'BU00900131';'s1b'
'BU00900132';'s1b'
'BU00930000';'s1b'
'BU00930002';'s1b'
'BU00930110';'s1b'
'BU00930111';'s1b'
'BU00930112';'s1b'
'BU00930213';'s1b'
'BU00930214';'s1b'
'BU00930215';''
'BU00930316';'s1b'
'BU00930317';'s1b'
'BU00930418';'s1b'
'BU00930419';'s1b'
'BU00930420';'s1b'
'BU00930521';'s1b'
'BU00930522';'s1b'
'BU00930523';'s1b'
'BU00960000';'s1b'
'BU00960009';'s1b'
'BU00980001';'s1b'
'BU00980002';'s1b'
'BU00980003';'s1b'
'BU00980004';'s1b'
'BU00980005';'s1b'
'BU00980006';'s1b'
'BU00980007';'s1b'
'BU00980008';'s1b'
'BU00980009';'s1b'
'BU00980010';'s1b'
'BU00980011';'s1b'
'BU00980012';'s1b'
'BU00980013';'s1b'
'BU00980014';'s1b'
'BU00980015';'s1b'
'BU00980016';'s1b'
'BU00980017';'s1b'
'BU00980018';'s1b'
'BU00980019';'s1b'
'BU00980020';'s1b'
'BU00980021';'s1b'
'BU00980101';'s1b'
'BU00980102';'s1b'
'BU00980103';'s1b'
'BU00980104';'s1b'
'BU00980201';'s1b'
'BU00980202';'s1b'
'BU00980301';'s1b'
'BU00980302';'s1b'
'BU00980303';'s1b'
'BU00980304';'s1b'
'BU00980305';'s1b'
'BU00980401';'s1b'
'BU00980402';'s1b'
'BU00980403';'s1b'
'BU00980501';'s1b'
'BU00980502';'s1b'
'BU00980601';'s1b'
'BU00980602';'s1b'
'BU00980701';'s1b'
'BU00980702';'s1b'
'BU00980801';'s1b'
'BU00980802';'s1b'
'BU00980901';'s1b'
'BU00980902';'s1b'
'BU00980903';'s1b'
'BU00981001';'s1b'
'BU00981002';'s1b'
'BU00981003';'s1b'
'BU00981004';'s1b'
'BU00981005';'s1b'
