code,instrument,eerstejaar,laatstejaar,soort,doelgroep,grondslag,procent,perm2,vastbedrag,voorwaarde1,voorwaarde2,naleving,Budget
sub_ISDE5,isde voorgenomen,2023,2026,subsidie,koopwoning,"(hybride) warmtepomp, isolatie, zonneboiler",0.3,0,0,Minimaal aantal maatregelen: 2,,0.9,hoort bij sub_ISDE2
sub_ISDE7,isde huidig (warmtenet),2027,2028,subsidie,koopwoning,warmtenetaansluiting,0,0,3325,,,0.9,hoort bij sub_ISDE2
sub_ISDE8,isde voorgenomen,2027,2028,subsidie,koopwoning,"(hybride) warmtepomp, isolatie, zonneboiler",0.15,0,0,Minimaal aantal maatregelen: 1,Maximaal aantal maatregelen: 1,0.9,hoort bij sub_ISDE2
sub_ISDE9,isde voorgenomen,2027,2028,subsidie,koopwoning,"(hybride) warmtepomp, isolatie, zonneboiler",0.3,0,0,Minimaal aantal maatregelen: 2,,0.9,hoort bij sub_ISDE2
sub_ISDE7,isde huidig (warmtenet),2029,2030,subsidie,koopwoning,warmtenetaansluiting,0,0,3325,,,0.9,hoort bij sub_ISDE2
sub_ISDE8,isde voorgenomen,2029,2030,subsidie,koopwoning,"(hybride) warmtepomp, isolatie, zonneboiler",0.15,0,0,Minimaal aantal maatregelen: 1,Maximaal aantal maatregelen: 1,0.9,hoort bij sub_ISDE2
sub_ISDE9,isde voorgenomen,2029,2030,subsidie,koopwoning,"(hybride) warmtepomp, isolatie, zonneboiler",0.3,0,0,Minimaal aantal maatregelen: 2,,0.9,hoort bij sub_ISDE2
sub_SEEH,seeh subsidie,2016,2020,subsidie,"koopwoning, socialehuur",isolatie,0.2,0,0,Minimaal aantal maatregelen: 2,,1,"2016:8.5mln, 2017:8.5mln, 2018:47.9mln, 2019:47.9mln, 2020:47.9mln, 2021:0.5mln, 2022:0.5mln"
sub_STEP1,step-regeling subsidie,2014,2015,subsidie,socialehuur,"isolatie, installaties",0,0,4500,Maximum bedrag: 4500,Aantal labelstappen: 6,0.8,"2014:197.5mln, 2015:197.5mln"
sub_STEP2,step-regeling subsidie,2014,2015,subsidie,socialehuur,"isolatie, installaties",0,0,3500,Maximum bedrag: 3500,Aantal labelstappen: 5,0.8,hoort bij sub_STEP1
sub_STEP3,step-regeling subsidie,2014,2015,subsidie,socialehuur,"isolatie, installaties",0,0,2600,Maximum bedrag: 2600,Aantal labelstappen: 4,0.8,hoort bij sub_STEP1
sub_STEP4,step-regeling subsidie,2014,2015,subsidie,socialehuur,"isolatie, installaties",0,0,2000,Maximum bedrag: 2000,Aantal labelstappen: 3,0.8,hoort bij sub_STEP1
sub_STEP5,step-regeling subsidie,2016,2018,subsidie,socialehuur,"isolatie, installaties",0,0,9500,Maximum bedrag: 9500,Aantal labelstappen: 9,0.8,hoort bij sub_STEP1
sub_STEP6,step-regeling subsidie,2016,2018,subsidie,socialehuur,"isolatie, installaties",0,0,8300,Maximum bedrag: 8300,Aantal labelstappen: 8,0.8,hoort bij sub_STEP1
sub_STEP7,step-regeling subsidie,2016,2018,subsidie,socialehuur,"isolatie, installaties",0,0,7200,Maximum bedrag: 7200,Aantal labelstappen: 7,0.8,hoort bij sub_STEP1
sub_STEP8,step-regeling subsidie,2016,2018,subsidie,socialehuur,"isolatie, installaties",0,0,6200,Maximum bedrag: 6200,Aantal labelstappen: 6,0.8,hoort bij sub_STEP1
sub_STEP9,step-regeling subsidie,2016,2018,subsidie,socialehuur,"isolatie, installaties",0,0,4800,Maximum bedrag: 4800,Aantal labelstappen: 5,0.8,hoort bij sub_STEP1
sub_STEP10,step-regeling subsidie,2016,2018,subsidie,socialehuur,"isolatie, installaties",0,0,3600,Maximum bedrag: 3800,Aantal labelstappen: 4,0.8,hoort bij sub_STEP1
sub_STEP11,step-regeling subsidie,2016,2018,subsidie,socialehuur,"isolatie, installaties",0,0,2800,Maximum bedrag: 2800,Aantal labelstappen: 3,0.8,hoort bij sub_STEP1
sub_STEP12,step-regeling subsidie,2016,2018,subsidie,socialehuur,"isolatie, installaties",0,0,1500,Maximum bedrag: 1500,Aantal labelstappen: 2,0.8,hoort bij sub_STEP1
