type_str	bouwjaar_str	Vrv_N_asl	Vrv_N_opp	Vrv_G_asl	Vrv_G_opp	Vrv_F_asl	Vrv_F_opp	Vrv_E_asl	Vrv_E_opp	Vrv_D_asl	Vrv_D_opp	Vrv_C_asl	Vrv_C_opp	Vrv_B_asl	Vrv_B_opp	Vrv_A_asl	Vrv_A_opp	Vvt_asl	Vvt_opp	Vtw_asl	Vtw_opp	Vea_asl	Vea_opp	Vkd_asl	Vkd_opp	Vkk_asl	Vkk_opp
Sport	1995<=2019	0	0.276025048	0	0.276025048	0	0.276025048	0	0.276025048	0	0.276025048	0	0.276025048	0	0.276025048	0	0.150438002	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Sport	2020<=2030	0	0.389907353	0	0.389907353	0	0.389907353	0	0.389907353	0	0.389907353	0	0.222799623	0	0.222799623	0	0.155959736	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Sport	2030<=2040	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Sport	2040<=2050	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Sport	onbekend	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Overig	0<=1920	0	0.227744373	0	0.227744373	0	0.227744373	0	0.227744373	0	0.227744373	0	0.048814225	0	0.048814225	0	0.034169957	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Overig	1920<=1975	0	0.227744373	0	0.227744373	0	0.227744373	0	0.227744373	0	0.227744373	0	0.048814225	0	0.048814225	0	0.034169957	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Overig	1975<=1990	0	0.165521952	0	0.165521952	0	0.165521952	0	0.165521952	0	0.165521952	0	0.165521952	0	0.048814225	0	0.034169957	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Overig	1990<=1995	0	0.089303509	0	0.089303509	0	0.089303509	0	0.089303509	0	0.089303509	0	0.048814225	0	0.048814225	0	0.034169957	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Overig	1995<=2019	0	0.086385542	0	0.086385542	0	0.086385542	0	0.086385542	0	0.086385542	0	0.086385542	0	0.086385542	0	0.034169957	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
