;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
10;0.26;0.15;0.97;0.4;0.5;0.4;0.24;0.42;0.15;0.26;0.42;0.41;0.18;0.34;0.45;0.41;0.15;0.55;0.41;0.21;0.22;0.32;0.17;0.19;0.45;0.2;0.11;0.41;0.46;0.28;0.27;0.13;0.26;0.16;0.33;0.3;0.36;0.48;0.33;1.14;0.15;0.24;0.34;0.24;0.37;0.66;0.21;0.2;1.05;0.21
11;0.28;0.15;0.96;0.51;0.65;0.33;0.16;0.39;0.17;0.28;0.47;0.52;0.22;0.33;0.37;0.38;0.19;0.51;0.51;0.25;0.33;0.33;0.12;0.28;0.47;0.2;0.14;0.41;0.4;0.28;0.31;0.13;0.37;0.14;0.3;0.25;0.52;0.68;0.33;1.03;0.12;0.32;0.4;0.28;0.36;0.84;0.22;0.17;0.93;0.22
12;0.23;0.17;0.85;0.49;0.62;0.33;0.19;0.33;0.15;0.23;0.44;0.45;0.24;0.37;0.53;0.36;0.25;0.48;0.48;0.29;0.42;0.41;0.13;0.3;0.67;0.19;0.13;0.38;0.33;0.26;0.42;0.1;0.53;0.11;0.38;0.16;0.73;0.63;0.35;1.06;0.11;0.43;0.5;0.29;0.41;1.03;0.22;0.21;1.17;0.21
13;0.2;0.19;0.76;0.55;0.61;0.4;0.23;0.49;0.2;0.27;0.42;0.4;0.27;0.49;0.65;0.37;0.24;0.61;0.52;0.22;0.56;0.3;0.12;0.29;0.77;0.18;0.12;0.39;0.42;0.26;0.63;0.11;0.51;0.11;0.35;0.19;0.72;0.64;0.33;1.5;0.09;0.43;0.56;0.32;0.43;1.23;0.24;0.21;1.02;0.23
14;0.17;0.14;0.93;0.54;0.59;0.41;0.23;0.48;0.2;0.29;0.43;0.45;0.44;0.6;0.73;0.39;0.27;0.73;0.59;0.28;0.71;0.3;0.12;0.33;1.08;0.16;0.13;0.41;0.43;0.26;0.86;0.14;0.54;0.1;0.43;0.21;0.7;0.62;0.36;1.18;0.09;0.42;0.53;0.38;0.39;1.33;0.23;0.21;0.98;0.4
15;0.18;0.13;0.74;0.44;0.52;0.39;0.23;0.6;0.19;0.32;0.44;0.53;0.5;0.63;0.75;0.58;0.29;0.63;0.55;0.22;0.66;0.24;0.14;0.5;1.18;0.15;0.12;0.34;0.36;0.26;1.07;0.14;0.42;0.16;0.33;0.25;1.01;0.8;0.43;0.88;0.11;0.39;0.55;0.31;0.33;1.17;0.33;0.19;0.81;0.28
16;0.26;0.15;0.71;0.3;0.45;0.36;0.34;0.54;0.23;0.25;0.44;0.65;0.47;0.52;0.89;0.66;0.31;0.8;0.53;0.25;0.57;0.24;0.15;0.36;1.11;0.17;0.1;0.32;0.38;0.45;1.31;0.13;0.33;0.15;0.34;0.31;0.96;0.96;0.54;0.88;0.13;0.38;0.58;0.25;0.35;1.41;0.38;0.19;1;0.26
17;0.26;0.12;0.83;0.29;0.49;0.39;0.36;0.59;0.27;0.26;0.5;0.7;0.54;0.52;1.11;0.77;0.28;0.81;0.49;0.19;0.58;0.32;0.18;0.38;1.24;0.2;0.12;0.38;0.57;0.57;1.02;0.14;0.42;0.15;0.27;0.33;0.91;0.68;0.55;1.11;0.15;0.45;0.62;0.22;0.45;1.42;0.36;0.2;1.4;0.3
18;0.29;0.11;1.2;0.36;0.68;0.55;0.31;0.72;0.32;0.2;0.55;0.68;0.4;0.62;1.12;0.8;0.34;0.86;0.55;0.16;0.69;0.31;0.16;0.37;1.48;0.16;0.15;0.37;0.81;0.67;1.13;0.17;0.4;0.17;0.28;0.31;0.99;0.7;0.72;1.22;0.16;0.46;0.8;0.16;0.34;1.21;0.38;0.15;1.22;0.35
19;0.33;0.09;1.41;0.49;1.02;0.59;0.33;0.74;0.45;0.23;0.49;0.82;0.38;0.72;0.94;0.82;0.53;0.73;0.6;0.2;0.69;0.39;0.18;0.35;1.35;0.18;0.11;0.31;0.88;0.57;1.13;0.14;0.51;0.21;0.31;0.33;0.94;0.6;1.09;1.41;0.17;0.52;0.99;0.21;0.48;1.43;0.34;0.16;1.39;0.36
