type_str,bouwjaar_str,Default_label,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp,Ki_SGB_min_asl,Ki_SGB_min_opp,Ki_SGB_max_asl,Ki_SGB_max_opp,Ki_SFB_min_asl,Ki_SFB_min_opp,Ki_SFB_max_asl,Ki_SFB_max_opp,Ki_SEB_min_asl,Ki_SEB_min_opp,Ki_SEB_max_asl,Ki_SEB_max_opp,Ki_SDB_min_asl,Ki_SDB_min_opp,Ki_SDB_max_asl,Ki_SDB_max_opp,Ki_SCB_min_asl,Ki_SCB_min_opp,Ki_SCB_max_asl,Ki_SCB_max_opp,Ki_SGA_min_asl,Ki_SGA_min_opp,Ki_SGA_max_asl,Ki_SGA_max_opp,Ki_SFA_min_asl,Ki_SFA_min_opp,Ki_SFA_max_asl,Ki_SFA_max_opp,Ki_SEA_min_asl,Ki_SEA_min_opp,Ki_SEA_max_asl,Ki_SEA_max_opp,Ki_SDA_min_asl,Ki_SDA_min_opp,Ki_SDA_max_asl,Ki_SDA_max_opp,Ki_SCA_min_asl,Ki_SCA_min_opp,Ki_SCA_max_asl,Ki_SCA_max_opp,Ki_SBA_min_asl,Ki_SBA_min_opp,Ki_SBA_max_asl,Ki_SBA_max_opp
Logies,1975<=1990,C,0,0.323539149,0,0.323539149,0,0.323539149,0,0.323539149,0,0.198224152,0,0.198224152,0,0.138756906,0,0,0,0.03745301,0,0.089,0,0.155846796,0,117.6531885,0,173.7546673,0,117.6531885,0,173.7546673,0,117.6531885,0,173.7546673,0,117.6531885,0,173.7546673,0,0,0,0,0,161.1353701,0,246.5767148,0,161.1353701,0,246.5767148,0,161.1353701,0,246.5767148,0,161.1353701,0,246.5767148,0,43.48218163,0,72.8220475,0,43.48218163,0,72.8220475
Logies,1990<=1995,B,0,0.302422208,0,0.302422208,0,0.302422208,0,0.302422208,0,0.302422208,0,0.302422208,0,0.138756906,0,0,0,0.03745301,0,0.089,0,0.155846796,0,115.1619652,0,169.8383337,0,115.1619652,0,169.8383337,0,115.1619652,0,169.8383337,0,115.1619652,0,169.8383337,0,0,0,0,0,158.6441468,0,242.6603812,0,158.6441468,0,242.6603812,0,158.6441468,0,242.6603812,0,158.6441468,0,242.6603812,0,43.48218163,0,72.8220475,0,43.48218163,0,72.8220475
Logies,1995<=2019,B,0,0.259615483,0,0.259615483,0,0.259615483,0,0.259615483,0,0.259615483,0,0.259615483,0,0.138756906,0,0,0,0.03745301,0,0.089,0,0.155846796,0,110.2665482,0,166.2483612,0,110.2665482,0,166.2483612,0,110.2665482,0,166.2483612,0,110.2665482,0,166.2483612,0,0,0,0,0,153.7487298,0,239.0704087,0,153.7487298,0,239.0704087,0,153.7487298,0,239.0704087,0,153.7487298,0,239.0704087,0,43.48218163,0,72.8220475,0,43.48218163,0,72.8220475
Logies,onbekend,D,0,0.400588267,0,0.400588267,0,0.400588267,0,0.400588267,0,0.205033605,0,0.205033605,0,0.143523524,0,0,0,0.03745301,0,0.089,0,0.155846796,0,117.3268274,0,172.144619,0,117.3268274,0,172.144619,0,117.3268274,0,172.144619,0,117.3268274,0,172.144619,0,0,0,0,0,160.7981303,0,244.9666665,0,160.7981303,0,244.9666665,0,160.7981303,0,244.9666665,0,160.7981303,0,244.9666665,0,43.47130293,0,72.8220475,0,43.47130293,0,72.8220475
Onderwijs,0<=1920,G,0,0.517455923,0,0.517455923,0,0.517455923,0,0.517455923,0,0.111871429,0,0.111871429,0,0.07831,0,0,0,0.004616057,0,0.151,0,0.004133429,0,123.6473546,0,196.3062215,0,123.6473546,0,196.3062215,0,123.6473546,0,196.3062215,0,123.6473546,0,196.3062215,0,0,0,0,0,166.1286955,0,305.4631418,0,166.1286955,0,305.4631418,0,166.1286955,0,305.4631418,0,166.1286955,0,305.4631418,0,42.48134083,0,109.1569203,0,42.48134083,0,109.1569203
Onderwijs,1920<=1975,E,0,0.390441057,0,0.390441057,0,0.390441057,0,0.390441057,0,0.390441057,0,0.111885195,0,0.078319636,0,0,0,0.004616057,0,0.151,0,0.004133429,0,123.1360555,0,195.4359252,0,123.1360555,0,195.4359252,0,123.1360555,0,195.4359252,0,123.1360555,0,195.4359252,0,123.1360555,0,195.4359252,0,165.628275,0,304.5928455,0,165.628275,0,304.5928455,0,165.628275,0,304.5928455,0,165.628275,0,304.5928455,0,165.628275,0,304.5928455,0,42.49221952,0,109.1569203
Onderwijs,1975<=1990,C,0,0.208941646,0,0.208941646,0,0.208941646,0,0.208941646,0,0.111932551,0,0.111932551,0,0.078352785,0,0,0,0.004616057,0,0.151,0,0.004133429,0,109.8205213,0,188.2015868,0,109.8205213,0,188.2015868,0,109.8205213,0,188.2015868,0,109.8205213,0,188.2015868,0,0,0,0,0,152.3018621,0,297.3585071,0,152.3018621,0,297.3585071,0,152.3018621,0,297.3585071,0,152.3018621,0,297.3585071,0,42.48134083,0,109.1569203,0,42.48134083,0,109.1569203
Onderwijs,1990<=1995,B,0,0.201582601,0,0.201582601,0,0.201582601,0,0.201582601,0,0.201582601,0,0.201582601,0,0.078359575,0,0,0,0.004616057,0,0.151,0,0.004133429,0,107.6339017,0,183.8936198,0,107.6339017,0,183.8936198,0,107.6339017,0,183.8936198,0,107.6339017,0,183.8936198,0,0,0,0,0,150.1152425,0,293.0396614,0,150.1152425,0,293.0396614,0,150.1152425,0,293.0396614,0,150.1152425,0,293.0396614,0,42.48134083,0,109.1569203,0,42.48134083,0,109.1569203
Onderwijs,1995<=2019,B,0,0.157546041,0,0.157546041,0,0.157546041,0,0.157546041,0,0.157546041,0,0.157546041,0,0.078379777,0,0,0,0.004616057,0,0.151,0,0.004133429,0,100.7150457,0,179.6182889,0,100.7150457,0,179.6182889,0,100.7150457,0,179.6182889,0,100.7150457,0,179.6182889,0,0,0,0,0,143.2072652,0,288.7752092,0,143.2072652,0,288.7752092,0,143.2072652,0,288.7752092,0,143.2072652,0,288.7752092,0,42.49221952,0,109.1569203,0,42.49221952,0,109.1569203
Onderwijs,onbekend,D,0,0.280997955,0,0.280997955,0,0.280997955,0,0.280997955,0,0.116319658,0,0.116319658,0,0.08142376,0,0,0,0.004616057,0,0.151,0,0.004133429,0,112.2355937,0,188.266859,0,112.2355937,0,188.266859,0,112.2355937,0,188.266859,0,112.2355937,0,188.266859,0,0,0,0,0,154.7278132,0,297.4237793,0,154.7278132,0,297.4237793,0,154.7278132,0,297.4237793,0,154.7278132,0,297.4237793,0,42.49221952,0,109.1569203,0,42.49221952,0,109.1569203
Industrie,0<=1920,G,0,0.415427096,0,0.415427096,0,0.415427096,0,0.415427096,0,0.08867127,0,0.08867127,0,0.062069889,0,0,0,0.003776774,0,0.086,0,0.012400286,0,85.19113444,0,117.4573718,0,85.19113444,0,117.4573718,0,85.19113444,0,117.4573718,0,85.19113444,0,117.4573718,0,0,0,0,0,113.475766,0,175.8433785,0,113.475766,0,175.8433785,0,113.475766,0,175.8433785,0,113.475766,0,175.8433785,0,28.28463153,0,58.38600671,0,28.28463153,0,58.38600671
Industrie,1920<=1975,E,0,0.323110284,0,0.323110284,0,0.323110284,0,0.323110284,0,0.323110284,0,0.088861186,0,0.06220283,0,0,0,0.003776774,0,0.086,0,0.012400286,0,84.8430159,0,116.9460727,0,84.8430159,0,116.9460727,0,84.8430159,0,116.9460727,0,84.8430159,0,116.9460727,0,84.8430159,0,116.9460727,0,113.1167687,0,175.3212007,0,113.1167687,0,175.3212007,0,113.1167687,0,175.3212007,0,113.1167687,0,175.3212007,0,113.1167687,0,175.3212007,0,28.27375283,0,58.38600671
Industrie,1975<=1990,C,0,0.167643629,0,0.167643629,0,0.167643629,0,0.167643629,0,0.089416217,0,0.089416217,0,0.062591352,0,0,0,0.003776774,0,0.086,0,0.012400286,0,78.85972846,0,112.8774372,0,78.85972846,0,112.8774372,0,78.85972846,0,112.8774372,0,78.85972846,0,112.8774372,0,0,0,0,0,107.1334813,0,171.2634439,0,107.1334813,0,171.2634439,0,107.1334813,0,171.2634439,0,107.1334813,0,171.2634439,0,28.27375283,0,58.38600671,0,28.27375283,0,58.38600671
Industrie,1990<=1995,B,0,0.15428224,0,0.15428224,0,0.15428224,0,0.15428224,0,0.15428224,0,0.15428224,0,0.062675157,0,0,0,0.003776774,0,0.086,0,0.012400286,0,77.17352927,0,110.2774269,0,77.17352927,0,110.2774269,0,77.17352927,0,110.2774269,0,77.17352927,0,110.2774269,0,0,0,0,0,105.4581608,0,168.6634336,0,105.4581608,0,168.6634336,0,105.4581608,0,168.6634336,0,105.4581608,0,168.6634336,0,28.28463153,0,58.38600671,0,28.28463153,0,58.38600671
Industrie,1995<=2019,B,0,0.126764549,0,0.126764549,0,0.126764549,0,0.126764549,0,0.126764549,0,0.126764549,0,0.062922991,0,0,0,0.003776774,0,0.086,0,0.012400286,0,74.00782628,0,107.916748,0,74.00782628,0,107.916748,0,74.00782628,0,107.916748,0,74.00782628,0,107.916748,0,0,0,0,0,102.2815791,0,166.3027547,0,102.2815791,0,166.3027547,0,102.2815791,0,166.3027547,0,102.2815791,0,166.3027547,0,28.27375283,0,58.38600671,0,28.27375283,0,58.38600671
Industrie,onbekend,D,0,0.213136845,0,0.213136845,0,0.213136845,0,0.213136845,0,0.092315794,0,0.092315794,0,0.064621056,0,0,0,0.003776774,0,0.086,0,0.012400286,0,78.81621365,0,112.0941705,0,78.81621365,0,112.0941705,0,78.81621365,0,112.0941705,0,78.81621365,0,112.0941705,0,0,0,0,0,107.0899665,0,170.4801772,0,107.0899665,0,170.4801772,0,107.0899665,0,170.4801772,0,107.0899665,0,170.4801772,0,28.27375283,0,58.38600671,0,28.27375283,0,58.38600671
Bijeenkomst,0<=1920,G,0,0.560795468,0,0.560795468,0,0.560795468,0,0.560795468,0,0.151367605,0,0.151367605,0,0.105957324,0,0,0,0.033487398,0,0.129,0,0.176084063,0,115.0858142,0,165.2583991,0,115.0858142,0,165.2583991,0,115.0858142,0,165.2583991,0,115.0858142,0,165.2583991,0,0,0,0,0,157.0993708,0,236.1331585,0,157.0993708,0,236.1331585,0,157.0993708,0,236.1331585,0,157.0993708,0,236.1331585,0,42.01355654,0,70.8747594,0,42.01355654,0,70.8747594
Bijeenkomst,1920<=1975,E,0,0.806258686,0,0.806258686,0,0.806258686,0,0.806258686,0,0.806258686,0,0.273425196,0,0.191397637,0,0,0,0.033487398,0,0.129,0,0.176084063,0,114.5962726,0,164.5077685,0,114.5962726,0,164.5077685,0,114.5962726,0,164.5077685,0,114.5962726,0,164.5077685,0,114.5962726,0,164.5077685,0,156.609829,0,235.3825279,0,156.609829,0,235.3825279,0,156.609829,0,235.3825279,0,156.609829,0,235.3825279,0,156.609829,0,235.3825279,0,42.01355654,0,70.8747594
Bijeenkomst,1975<=1990,C,0,0.610197728,0,0.610197728,0,0.610197728,0,0.610197728,0,0.366842441,0,0.366842441,0,0.256789709,0,0,0,0.033487398,0,0.129,0,0.176084063,0,105.3493738,0,158.6115107,0,105.3493738,0,158.6115107,0,105.3493738,0,158.6115107,0,105.3493738,0,158.6115107,0,0,0,0,0,147.3629302,0,229.4862701,0,147.3629302,0,229.4862701,0,147.3629302,0,229.4862701,0,147.3629302,0,229.4862701,0,42.01355654,0,70.8747594,0,42.01355654,0,70.8747594
Bijeenkomst,1990<=1995,B,0,0.619237267,0,0.619237267,0,0.619237267,0,0.619237267,0,0.619237267,0,0.619237267,0,0.269037423,0,0,0,0.033487398,0,0.129,0,0.176084063,0,103.0648458,0,154.880115,0,103.0648458,0,154.880115,0,103.0648458,0,154.880115,0,103.0648458,0,154.880115,0,0,0,0,0,145.0675237,0,225.7657532,0,145.0675237,0,225.7657532,0,145.0675237,0,225.7657532,0,145.0675237,0,225.7657532,0,42.00267783,0,70.8747594,0,42.00267783,0,70.8747594
Bijeenkomst,1995<=2019,B,0,0.435770119,0,0.435770119,0,0.435770119,0,0.435770119,0,0.435770119,0,0.435770119,0,0.231633899,0,0,0,0.033487398,0,0.129,0,0.176084063,0,98.19118625,0,151.4206871,0,98.19118625,0,151.4206871,0,98.19118625,0,151.4206871,0,98.19118625,0,151.4206871,0,0,0,0,0,140.2047428,0,222.3063251,0,140.2047428,0,222.3063251,0,140.2047428,0,222.3063251,0,140.2047428,0,222.3063251,0,42.01355654,0,70.8747594,0,42.01355654,0,70.8747594
Bijeenkomst,onbekend,D,0,0.632280146,0,0.632280146,0,0.632280146,0,0.632280146,0,0.263533269,0,0.263533269,0,0.184473288,0,0,0,0.033487398,0,0.129,0,0.176084063,0,108.3301388,0,159.7755321,0,108.3301388,0,159.7755321,0,108.3301388,0,159.7755321,0,108.3301388,0,159.7755321,0,0,0,0,0,150.3328166,0,230.6502915,0,150.3328166,0,230.6502915,0,150.3328166,0,230.6502915,0,150.3328166,0,230.6502915,0,42.00267783,0,70.8747594,0,42.00267783,0,70.8747594
