type_str;bouwjaar_str;Default_label;Vrv_N_asl;Vrv_G_asl;Vrv_F_asl;Vrv_E_asl;Vrv_D_asl;Vrv_C_asl;Vrv_B_asl;Vrv_A_asl;Vrv_N_opp;Vrv_G_opp;Vrv_F_opp;Vrv_E_opp;Vrv_D_opp;Vrv_C_opp;Vrv_B_opp;Vrv_A_opp;Vvent_asl;Vvent_opp;Vww_asl;Vww_opp;Ve_asl;Ve_opp;Vk_asl;Vk_opp;Ki_SGD_min_asl;Ki_SGD_min_opp;Ki_SGD_max_asl;Ki_SGD_max_opp;Ki_SFD_min_asl;Ki_SFD_min_opp;Ki_SFD_max_asl;Ki_SFD_max_opp;Ki_SED_min_asl;Ki_SED_min_opp;Ki_SED_max_asl;Ki_SED_max_opp;Ki_SGA_min_asl;Ki_SGA_min_opp;Ki_SGA_max_asl;Ki_SGA_max_opp;Ki_SFA_min_asl;Ki_SFA_min_opp;Ki_SFA_max_asl;Ki_SFA_max_opp;Ki_SEA_min_asl;Ki_SEA_min_opp;Ki_SEA_max_asl;Ki_SEA_max_opp;Ki_SDA_min_asl;Ki_SDA_min_opp;Ki_SDA_max_asl;Ki_SDA_max_opp;Ki_SCA_min_asl;Ki_SCA_min_opp;Ki_SCA_max_asl;Ki_SCA_max_opp;Ki_SBA_min_asl;Ki_SBA_min_opp;Ki_SBA_max_asl;Ki_SBA_max_opp
Logies;1975<=1990;C;0;41.7770281;41.7770281;41.7770281;41.7770281;41.7770281;41.7770281;41.7770281;0;0.605165748;0.598066682;0.555649766;0.498147336;0.445850888;0.428428598;0.428428598;0;0;0;0.03745301;0;0.089;0;0.155846796;32603.2;108.12;48904.8;162.18;20465.6;107.568;30698.4;161.352;8328;107.016;12492;160.524;57696.8;166.608;86545.2;249.912;43930.4;155.8;65895.6;233.7;58273.6;123.496;87410.4;185.244;58273.6;89.072;120705.6;133.608;90265.6;71.904;135398.4;107.856;67403.2;91.376;101104.8;137.064
Logies;1990<=1995;B;0;41.7770281;41.7770281;41.7770281;41.7770281;41.7770281;41.7770281;41.7770281;0;0.605165748;0.598066682;0.555649766;0.498147336;0.445850888;0.428428598;0.428428598;0;0;0;0.03745301;0;0.089;0;0.155846796;32603.2;108.12;48904.8;162.18;20465.6;107.568;30698.4;161.352;8328;107.016;12492;160.524;57696.8;166.608;86545.2;249.912;43930.4;155.8;65895.6;233.7;58273.6;123.496;87410.4;185.244;58273.6;89.072;120705.6;133.608;90265.6;71.904;135398.4;107.856;67403.2;91.376;101104.8;137.064
Logies;1995<=2019;B;0;41.7770281;41.7770281;41.7770281;41.7770281;41.7770281;41.7770281;41.7770281;0;0.605165748;0.598066682;0.555649766;0.498147336;0.445850888;0.428428598;0.428428598;0;0;0;0.03745301;0;0.089;0;0.155846796;32603.2;108.12;48904.8;162.18;20465.6;107.568;30698.4;161.352;8328;107.016;12492;160.524;57696.8;166.608;86545.2;249.912;43930.4;155.8;65895.6;233.7;58273.6;123.496;87410.4;185.244;58273.6;89.072;120705.6;133.608;90265.6;71.904;135398.4;107.856;67403.2;91.376;101104.8;137.064
Logies;onbekend;D;0;41.7770281;41.7770281;41.7770281;41.7770281;41.7770281;41.7770281;41.7770281;0;0.605165748;0.598066682;0.555649766;0.498147336;0.445850888;0.428428598;0.428428598;0;0;0;0.03745301;0;0.089;0;0.155846796;32603.2;108.12;48904.8;162.18;20465.6;107.568;30698.4;161.352;8328;107.016;12492;160.524;57696.8;166.608;86545.2;249.912;43930.4;155.8;65895.6;233.7;58273.6;123.496;87410.4;185.244;58273.6;89.072;120705.6;133.608;90265.6;71.904;135398.4;107.856;67403.2;91.376;101104.8;137.064
Onderwijs;0<=1920;G;0;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;0;0.325166776;0.282170103;0.248269107;0.221260121;0.198933561;0.179079841;0.159486421;0;0;0;0.004616057;0;0.151;0;0.004133429;114484;118.312;171726;177.468;105540.8;95.448;158311.2;143.172;96597.6;72.5784;144896.4;108.8676;165226.4;171.432;247839.6;257.148;143494.4;132.4;215241.6;198.6;126942.4;120.792;190413.6;181.188;117407.2;120.24;176110.8;180.36;116726.4;114.408;175089.6;171.612;126737.6;86.928;190106.4;130.392
Onderwijs;1920<=1975;E;0;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;0;0.325166776;0.282170103;0.248269107;0.221260121;0.198933561;0.179079841;0.159486421;0;0;0;0.004616057;0;0.151;0;0.004133429;114484;118.312;171726;177.468;105540.8;95.448;158311.2;143.172;96597.6;72.5784;144896.4;108.8676;165226.4;171.432;247839.6;257.148;143494.4;132.4;215241.6;198.6;126942.4;120.792;190413.6;181.188;117407.2;120.24;176110.8;180.36;116726.4;114.408;175089.6;171.612;126737.6;86.928;190106.4;130.392
Onderwijs;1975<=1990;C;0;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;0;0.325166776;0.282170103;0.248269107;0.221260121;0.198933561;0.179079841;0.159486421;0;0;0;0.004616057;0;0.151;0;0.004133429;114484;118.312;171726;177.468;105540.8;95.448;158311.2;143.172;96597.6;72.5784;144896.4;108.8676;165226.4;171.432;247839.6;257.148;143494.4;132.4;215241.6;198.6;126942.4;120.792;190413.6;181.188;117407.2;120.24;176110.8;180.36;116726.4;114.408;175089.6;171.612;126737.6;86.928;190106.4;130.392
Onderwijs;1990<=1995;B;0;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;0;0.325166776;0.282170103;0.248269107;0.221260121;0.198933561;0.179079841;0.159486421;0;0;0;0.004616057;0;0.151;0;0.004133429;114484;118.312;171726;177.468;105540.8;95.448;158311.2;143.172;96597.6;72.5784;144896.4;108.8676;165226.4;171.432;247839.6;257.148;143494.4;132.4;215241.6;198.6;126942.4;120.792;190413.6;181.188;117407.2;120.24;176110.8;180.36;116726.4;114.408;175089.6;171.612;126737.6;86.928;190106.4;130.392
Onderwijs;1995<=2019;B;0;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;0;0.325166776;0.282170103;0.248269107;0.221260121;0.198933561;0.179079841;0.159486421;0;0;0;0.004616057;0;0.151;0;0.004133429;114484;118.312;171726;177.468;105540.8;95.448;158311.2;143.172;96597.6;72.5784;144896.4;108.8676;165226.4;171.432;247839.6;257.148;143494.4;132.4;215241.6;198.6;126942.4;120.792;190413.6;181.188;117407.2;120.24;176110.8;180.36;116726.4;114.408;175089.6;171.612;126737.6;86.928;190106.4;130.392
Onderwijs;onbekend;D;0;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;31.21383004;0;0.325166776;0.282170103;0.248269107;0.221260121;0.198933561;0.179079841;0.159486421;0;0;0;0.004616057;0;0.151;0;0.004133429;114484;118.312;171726;177.468;105540.8;95.448;158311.2;143.172;96597.6;72.5784;144896.4;108.8676;165226.4;171.432;247839.6;257.148;143494.4;132.4;215241.6;198.6;126942.4;120.792;190413.6;181.188;117407.2;120.24;176110.8;180.36;116726.4;114.408;175089.6;171.612;126737.6;86.928;190106.4;130.392
Industrie;0<=1920;G;0;106.290757;93.54497664;85.75671028;81.1452757;77.92407477;74.31242523;68.52077103;0;0.235955187;0.196679607;0.177760598;0.17080943;0.167449206;0.159297112;0.137970336;0;0;0;0.003776774;0;0.086;0;0.012400286;61171.2;112.808;91756.8;169.212;51046.4;99.632;76569.6;149.448;40922.4;86.456;61383.6;129.684;106650.4;162.952;159975.6;244.428;82841.6;132.064;124262.4;198.096;70924;119.352;106386;179.028;65944;117.296;98916;175.944;62948;118.368;94422;177.552;56981.6;115.04;85472.4;172.56
Industrie;1920<=1975;E;0;106.290757;93.54497664;85.75671028;81.1452757;77.92407477;74.31242523;68.52077103;0;0.235955187;0.196679607;0.177760598;0.17080943;0.167449206;0.159297112;0.137970336;0;0;0;0.003776774;0;0.086;0;0.012400286;61171.2;112.808;91756.8;169.212;51046.4;99.632;76569.6;149.448;40922.4;86.456;61383.6;129.684;106650.4;162.952;159975.6;244.428;82841.6;132.064;124262.4;198.096;70924;119.352;106386;179.028;65944;117.296;98916;175.944;62948;118.368;94422;177.552;56981.6;115.04;85472.4;172.56
Industrie;1975<=1990;C;0;106.290757;93.54497664;85.75671028;81.1452757;77.92407477;74.31242523;68.52077103;0;0.235955187;0.196679607;0.177760598;0.17080943;0.167449206;0.159297112;0.137970336;0;0;0;0.003776774;0;0.086;0;0.012400286;61171.2;112.808;91756.8;169.212;51046.4;99.632;76569.6;149.448;40922.4;86.456;61383.6;129.684;106650.4;162.952;159975.6;244.428;82841.6;132.064;124262.4;198.096;70924;119.352;106386;179.028;65944;117.296;98916;175.944;62948;118.368;94422;177.552;56981.6;115.04;85472.4;172.56
Industrie;1990<=1995;B;0;106.290757;93.54497664;85.75671028;81.1452757;77.92407477;74.31242523;68.52077103;0;0.235955187;0.196679607;0.177760598;0.17080943;0.167449206;0.159297112;0.137970336;0;0;0;0.003776774;0;0.086;0;0.012400286;61171.2;112.808;91756.8;169.212;51046.4;99.632;76569.6;149.448;40922.4;86.456;61383.6;129.684;106650.4;162.952;159975.6;244.428;82841.6;132.064;124262.4;198.096;70924;119.352;106386;179.028;65944;117.296;98916;175.944;62948;118.368;94422;177.552;56981.6;115.04;85472.4;172.56
Industrie;1995<=2019;B;0;106.290757;93.54497664;85.75671028;81.1452757;77.92407477;74.31242523;68.52077103;0;0.235955187;0.196679607;0.177760598;0.17080943;0.167449206;0.159297112;0.137970336;0;0;0;0.003776774;0;0.086;0;0.012400286;61171.2;112.808;91756.8;169.212;51046.4;99.632;76569.6;149.448;40922.4;86.456;61383.6;129.684;106650.4;162.952;159975.6;244.428;82841.6;132.064;124262.4;198.096;70924;119.352;106386;179.028;65944;117.296;98916;175.944;62948;118.368;94422;177.552;56981.6;115.04;85472.4;172.56
