"type_str"	"bouwjaar_str"	"eigendom_str"	"Vrv_N_asl"	"Vrv_N_opp"	"Vrv_G_asl"	"Vrv_G_opp"	"Vrv_F_asl"	"Vrv_F_opp"	"Vrv_E_asl"	"Vrv_E_opp"	"Vrv_D_asl"	"Vrv_D_opp"	"Vrv_C_asl"	"Vrv_C_opp"	"Vrv_B_asl"	"Vrv_B_opp"	"Vrv_A_asl"	"Vrv_A_opp"	"Vvt_asl"	"Vvt_opp"	"Vtw_asl"	"Vtw_opp"	"Vea_asl"	"Vea_opp"	"Vkd_asl"	"Vkd_opp"
"Vrijstaand"	"2006 - 2010"	"wooncorp"	24.19053525	0.144711894	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"2011 - 2014"	"koop"	22.82156811	0.132843397	15.63237368	0.176650945	15.63237368	0.176650945	15.63237368	0.176650945	15.63237368	0.176650945	15.63237368	0.176650945	15.63237368	0.176650945	15.63237368	0.176650945	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"2011 - 2014"	"parthuur"	25.53617467	0.120115546	9.708686004	0.223867434	9.708686004	0.223867434	9.708686004	0.223867434	9.708686004	0.223867434	9.708686004	0.223867434	9.708686004	0.223867434	9.708686004	0.223867434	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"2011 - 2014"	"wooncorp"	22.82156811	0.132843397	15.63237368	0.176650945	15.63237368	0.176650945	15.63237368	0.176650945	15.63237368	0.176650945	15.63237368	0.176650945	15.63237368	0.176650945	15.63237368	0.176650945	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"2015 - 2020"	"koop"	14.72151943	0.147000954	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"2015 - 2020"	"parthuur"	12.03057527	0.160295673	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"2015 - 2020"	"wooncorp"	14.72151943	0.147000954	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	2.15831825	0.225689198	0	0	10.6	0	9.28	0	0	0.01296
"2 onder 1 kap"	"voor 1930"	"koop"	31.49507421	0.165827789	26.78196699	0.20809976	31.18960461	0.20809976	28.38052525	0.20809976	26.68548765	0.20809976	25.16960366	0.20809976	25.16960366	0.20809976	25.16960366	0.20809976	0	0	7.066666667	0	11.082384	0	0	0.01296
"2 onder 1 kap"	"voor 1930"	"parthuur"	32.99733593	0.160124658	22.20573851	0.249217164	19.83527283	0.249217164	17.46480714	0.249217164	17.46480714	0.249217164	17.46480714	0.249217164	17.46480714	0.249217164	17.46480714	0.249217164	0	0	7.066666667	0	11.082384	0	0	0.01296
"2 onder 1 kap"	"voor 1930"	"wooncorp"	13.67974021	0.333950261	34.15435845	0.124487819	31.70527476	0.124487819	31.57649693	0.124487819	26.78618471	0.124487819	22.99967543	0.124487819	22.22740055	0.124487819	21.79727867	0.124487819	0	0	7.066666667	0	11.082384	0	0	0.01296
"2 onder 1 kap"	"1930 - 1945"	"koop"	29.75993307	0.187938452	25.26711423	0.218628272	24.94908332	0.218628272	27.23865578	0.218628272	29.84019657	0.218628272	22.30581215	0.218628272	22.30581215	0.218628272	22.30581215	0.218628272	0	0	7.066666667	0	11.082384	0	0	0.01296
"2 onder 1 kap"	"1930 - 1945"	"parthuur"	31.3327888	0.198524378	33.94368378	0.1921073	33.94368378	0.1921073	33.94368378	0.1921073	33.94368378	0.1921073	33.94368378	0.1921073	33.94368378	0.1921073	33.94368378	0.1921073	0	0	7.066666667	0	11.082384	0	0	0.01296
"2 onder 1 kap"	"1930 - 1945"	"wooncorp"	31.04965095	0.146545565	36.59173522	0.084640947	38.84908317	0.084640947	34.36541403	0.084640947	31.3202145	0.084640947	29.67624599	0.084640947	30.08977514	0.084640947	22.77984602	0.084640947	0	0	7.066666667	0	11.082384	0	0	0.01296
"2 onder 1 kap"	"1946 - 1964"	"koop"	31.04056182	0.159387384	17.66307344	0.243534688	18.59504796	0.243534688	21.88066683	0.243534688	17.20985511	0.243534688	17.92748527	0.243534688	17.92748527	0.243534688	17.92748527	0.243534688	0	0	7.066666667	0	11.082384	0	0	0.01296
"2 onder 1 kap"	"1946 - 1964"	"parthuur"	32.98990494	0.169620007	38.36419563	0.122935012	39.3886014	0.122935012	34.91253655	0.122935012	34.91253655	0.122935012	34.91253655	0.122935012	34.91253655	0.122935012	34.91253655	0.122935012	0	0	7.066666667	0	11.082384	0	0	0.01296
"2 onder 1 kap"	"1946 - 1964"	"wooncorp"	31.0461576	0.115585459	34.3572985	0.123181654	34.71545613	0.123181654	31.37997387	0.123181654	27.16180346	0.123181654	23.89133016	0.123181654	23.52212934	0.123181654	19.96834333	0.123181654	0	0	7.066666667	0	11.082384	0	0	0.01296
"2 onder 1 kap"	"1965 - 1974"	"koop"	25.50314653	0.196843342	31.15813756	0.181582392	31.15813756	0.181582392	31.15813756	0.181582392	23.45120803	0.181582392	20.37249856	0.181582392	20.37249856	0.181582392	20.37249856	0.181582392	0	0.0078	7.5	0	9.9	0	0	0.01296
"2 onder 1 kap"	"1965 - 1974"	"parthuur"	35.6976355	0.152176573	24.55346829	0.20476995	24.55346829	0.20476995	24.55346829	0.20476995	24.55346829	0.20476995	18.38659571	0.20476995	18.38659571	0.20476995	18.38659571	0.20476995	0	0.0078	7.5	0	9.9	0	0	0.01296
"2 onder 1 kap"	"1965 - 1974"	"wooncorp"	19.79623682	0.175211068	33.28084163	0.144712666	32.22905334	0.144712666	29.37867241	0.144712666	27.08961126	0.144712666	22.44979451	0.144712666	20.12303555	0.144712666	19.29689857	0.144712666	0	0.0078	7.5	0	9.9	0	0	0.01296
"2 onder 1 kap"	"1975 - 1991"	"koop"	18.38510298	0.206777149	8.064070112	0.288189295	8.064070112	0.288189295	8.064070112	0.288189295	8.064070112	0.288189295	8.064070112	0.288189295	5.271179436	0.288189295	5.271179436	0.288189295	0	0.0078	7.5	0	9.9	0	0	0.01296
"2 onder 1 kap"	"1975 - 1991"	"parthuur"	26.05848577	0.172543396	24.54733646	0.17952512	24.54733646	0.17952512	24.54733646	0.17952512	24.54733646	0.17952512	24.54733646	0.17952512	14.87699003	0.17952512	14.87699003	0.17952512	0	0.0078	7.5	0	9.9	0	0	0.01296
"2 onder 1 kap"	"1975 - 1991"	"wooncorp"	17.93705276	0.176771046	33.01843017	0.149983289	33.01843017	0.149983289	33.01843017	0.149983289	28.77247493	0.149983289	24.48026306	0.149983289	20.43147891	0.149983289	16.85830179	0.149983289	0	0.0078	7.5	0	9.9	0	0	0.01296
"2 onder 1 kap"	"1992 - 1995"	"koop"	17.25608978	0.179407054	32.4628315	0.060495594	32.4628315	0.060495594	32.4628315	0.060495594	32.4628315	0.060495594	32.4628315	0.060495594	32.4628315	0.060495594	32.4628315	0.060495594	0	0.0095	7.5	0	9.9	0	0	0.01296
"2 onder 1 kap"	"1992 - 1995"	"parthuur"	26.67339537	0.145501231	-15.7741914	0.40368477	-15.7741914	0.40368477	-15.7741914	0.40368477	-15.7741914	0.40368477	-15.7741914	0.40368477	-15.7741914	0.40368477	-15.7741914	0.40368477	0	0.0095	7.5	0	9.9	0	0	0.01296
"2 onder 1 kap"	"1992 - 1995"	"wooncorp"	17.25608978	0.179407054	23.48618964	0.082926224	23.48618964	0.082926224	23.48618964	0.082926224	23.48618964	0.082926224	23.48618964	0.082926224	23.48618964	0.082926224	22.12799708	0.082926224	0	0.0095	7.5	0	9.9	0	0	0.01296
"2 onder 1 kap"	"1996 - 1999"	"koop"	15.79863763	0.174912362	26.07083581	0.022849181	26.07083581	0.022849181	26.07083581	0.022849181	26.07083581	0.022849181	26.07083581	0.022849181	26.07083581	0.022849181	26.10800593	0.022849181	0	0.0106	8.2	0	9.77	0	0	0.01296
"2 onder 1 kap"	"1996 - 1999"	"parthuur"	26.50615364	0.128887519	20.86973867	0.141137771	20.86973867	0.141137771	20.86973867	0.141137771	20.86973867	0.141137771	20.86973867	0.141137771	20.86973867	0.141137771	20.86973867	0.141137771	0	0.0106	8.2	0	9.77	0	0	0.01296
"2 onder 1 kap"	"1996 - 1999"	"wooncorp"	15.79863763	0.174912362	26.07083581	0.022849181	26.07083581	0.022849181	26.07083581	0.022849181	26.07083581	0.022849181	26.07083581	0.022849181	26.07083581	0.022849181	26.10800593	0.022849181	0	0.0106	8.2	0	9.77	0	0	0.01296
