type_str,bouwjaar_str,Default_label,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp,Ki_SGC_min_asl,Ki_SGC_min_opp,Ki_SGC_max_asl,Ki_SGC_max_opp,Ki_SFC_min_asl,Ki_SFC_min_opp,Ki_SFC_max_asl,Ki_SFC_max_opp,Ki_SEC_min_asl,Ki_SEC_min_opp,Ki_SEC_max_asl,Ki_SEC_max_opp,Ki_SGB_min_asl,Ki_SGB_min_opp,Ki_SGB_max_asl,Ki_SGB_max_opp,Ki_SFB_min_asl,Ki_SFB_min_opp,Ki_SFB_max_asl,Ki_SFB_max_opp,Ki_SEB_min_asl,Ki_SEB_min_opp,Ki_SEB_max_asl,Ki_SEB_max_opp,Ki_SDB_min_asl,Ki_SDB_min_opp,Ki_SDB_max_asl,Ki_SDB_max_opp,Ki_SCB_min_asl,Ki_SCB_min_opp,Ki_SCB_max_asl,Ki_SCB_max_opp,Ki_SGA_min_asl,Ki_SGA_min_opp,Ki_SGA_max_asl,Ki_SGA_max_opp,Ki_SFA_min_asl,Ki_SFA_min_opp,Ki_SFA_max_asl,Ki_SFA_max_opp,Ki_SEA_min_asl,Ki_SEA_min_opp,Ki_SEA_max_asl,Ki_SEA_max_opp,Ki_SDA_min_asl,Ki_SDA_min_opp,Ki_SDA_max_asl,Ki_SDA_max_opp,Ki_SCA_min_asl,Ki_SCA_min_opp,Ki_SCA_max_asl,Ki_SCA_max_opp,Ki_SBA_min_asl,Ki_SBA_min_opp,Ki_SBA_max_asl,Ki_SBA_max_opp
2 onder 1 kap,2011 - 2014,B,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,13.56585159,0.074649308,18,0.06,0,0,8.15,0,9.68,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266
2 onder 1 kap,2015 - 2020,B,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,13.56585159,0.074649308,18,0.06,0,0,8.15,0,9.68,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266
rijwoning hoek,voor 1930,G,24.02581014,0.146661398,24.02581014,0.146661398,16.57452877,0.197566028,16.57452877,0.197566028,13.25162417,0.173803024,13.25162417,0.173803024,12,0.152,0,0.008135673,8.6,0,9.98,0,0,0.01296,-1848.345513,68.48175411,-2402.663122,85.89713378,-1848.345513,68.48175411,-2402.663122,85.89713378,0,0,0,0,6626.963435,94.30749498,8520.116126,131.0101271,6626.963435,94.30749498,8520.116126,131.0101271,8478.924651,25.82574086,10926.39495,45.11299335,8478.924651,25.82574086,10926.39495,45.11299335,0,0,0,0,9690.957549,97.3859489,15829.73801,239.4478288,9690.957549,97.3859489,15829.73801,239.4478288,9522.579667,76.62730135,16390.39036,206.2314079,11570.92667,27.73253056,18273.50864,152.0810686,2950.612439,1.464933358,7163.849984,106.1962305,2950.612439,1.464933358,7163.849984,106.1962305
rijwoning hoek,1930 - 1945,G,24.02581014,0.146661398,24.02581014,0.146661398,16.57452877,0.197566028,16.57452877,0.197566028,13.25162417,0.173803024,13.25162417,0.173803024,12,0.152,0,0.008135673,8.6,0,9.98,0,0,0.01296,-1848.345513,68.48175411,-2402.663122,85.89713378,-1848.345513,68.48175411,-2402.663122,85.89713378,0,0,0,0,6626.963435,94.30749498,8520.116126,131.0101271,6626.963435,94.30749498,8520.116126,131.0101271,8478.924651,25.82574086,10926.39495,45.11299335,8478.924651,25.82574086,10926.39495,45.11299335,0,0,0,0,9690.957549,97.3859489,15829.73801,239.4478288,9690.957549,97.3859489,15829.73801,239.4478288,9522.579667,76.62730135,16390.39036,206.2314079,11570.92667,27.73253056,18273.50864,152.0810686,2950.612439,1.464933358,7163.849984,106.1962305,2950.612439,1.464933358,7163.849984,106.1962305
rijwoning hoek,1946 - 1964,E,24.08140885,0.147507399,24.08140885,0.147507399,24.83899201,0.129654707,18.69437031,0.128290702,18.69437031,0.128290702,15.82312038,0.129608313,14,0.116,0,0.007684654,8.6,0,10.13,0,0,0.01296,2845.595417,0,5053.248189,0,2845.595417,0,5053.248189,0,2845.595417,0,5053.248189,0,10588.39532,0,14847.71687,0,10588.39532,0,14847.71687,0,10588.39532,0,14847.71687,0,7726.145755,0,9777.814538,0,7726.145755,0,9777.814538,0,18277.97972,0,37195.88557,0,18277.97972,0,37195.88557,0,18277.97972,0,37195.88557,0,15383.6986,0,32056.18062,0,15383.6986,0,32056.18062,0,7508.426017,0,22094.13696,0
rijwoning hoek,1965 - 1974,D,19.98409776,0.146829317,19.98409776,0.146829317,19.98409776,0.146829317,23.86526699,0.109252449,13.65391885,0.140650855,13.65391885,0.140650855,12,0.125,0,0.007517702,8.6,0,9.94,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,7563.468918,20.34321924,7049.769865,59.47894006,7563.468918,20.34321924,7049.769865,59.47894006,7563.468918,20.34321924,7049.769865,59.47894006,7563.468918,20.34321924,7049.769865,59.47894006,0,0,0,0,14239.62379,40.4339827,17660.2271,193.1724554,14239.62379,40.4339827,17660.2271,193.1724554,14239.62379,40.4339827,17660.2271,193.1724554,14239.62379,40.4339827,17660.2271,193.1724554,6546.750392,19.74270838,10489.8417,132.6758816,6546.750392,19.74270838,10489.8417,132.6758816
rijwoning hoek,1975 - 1991,C,24.88762499,0.07324279,24.88762499,0.07324279,24.88762499,0.07324279,24.88762499,0.07324279,19.77237859,0.083682371,8.04272601,0.171729667,7,0.15,0,0.003662524,8.6,0,9.94,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,4098.058644,27.12510994,5396.238919,38.84758603,4098.058644,27.12510994,5396.238919,38.84758603,4098.058644,27.12510994,5396.238919,38.84758603,4098.058644,27.12510994,5396.238919,38.84758603,4098.058644,27.12510994,5396.238919,38.84758603,9039.602371,89.49078856,17179.90248,197.7038197,9039.602371,89.49078856,17179.90248,197.7038197,9039.602371,89.49078856,17179.90248,197.7038197,9039.602371,89.49078856,17179.90248,197.7038197,9039.602371,89.49078856,17179.90248,197.7038197,4871.429449,61.9015912,11691.33853,158.1915847
rijwoning hoek,1992 - 1995,C,0,0.252439813,0,0.252439813,0,0.252439813,0,0.252439813,4.993000876,0.213502172,14.2107766,0.09457148,11,0.07,0,0,7.1,0,9.86,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,2682.168708,13.77581861,1211.800586,47.06579914,2682.168708,13.77581861,1211.800586,47.06579914,2682.168708,13.77581861,1211.800586,47.06579914,2682.168708,13.77581861,1211.800586,47.06579914,2682.168708,13.77581861,1211.800586,47.06579914,-7413.326308,179.1327645,-20432.27606,471.2746464,-7413.326308,179.1327645,-20432.27606,471.2746464,-7413.326308,179.1327645,-20432.27606,471.2746464,-7413.326308,179.1327645,-20432.27606,471.2746464,-7413.326308,179.1327645,-20432.27606,471.2746464,-6833.431212,165.1212535,-18356.8561,423.4035917
rijwoning hoek,1996 - 1999,C,0,0.252439813,0,0.252439813,0,0.252439813,0,0.252439813,4.993000876,0.213502172,14.2107766,0.09457148,11,0.07,0,0,7.1,0,9.86,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,2682.168708,13.77581861,1211.800586,47.06579914,2682.168708,13.77581861,1211.800586,47.06579914,2682.168708,13.77581861,1211.800586,47.06579914,2682.168708,13.77581861,1211.800586,47.06579914,2682.168708,13.77581861,1211.800586,47.06579914,-7413.326308,179.1327645,-20432.27606,471.2746464,-7413.326308,179.1327645,-20432.27606,471.2746464,-7413.326308,179.1327645,-20432.27606,471.2746464,-7413.326308,179.1327645,-20432.27606,471.2746464,-7413.326308,179.1327645,-20432.27606,471.2746464,-6833.431212,165.1212535,-18356.8561,423.4035917
rijwoning hoek,2000 - 2005,C,0,0.252439813,0,0.252439813,0,0.252439813,0,0.252439813,4.993000876,0.213502172,14.2107766,0.09457148,11,0.07,0,0,7.1,0,9.86,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,2682.168708,13.77581861,1211.800586,47.06579914,2682.168708,13.77581861,1211.800586,47.06579914,2682.168708,13.77581861,1211.800586,47.06579914,2682.168708,13.77581861,1211.800586,47.06579914,2682.168708,13.77581861,1211.800586,47.06579914,-7413.326308,179.1327645,-20432.27606,471.2746464,-7413.326308,179.1327645,-20432.27606,471.2746464,-7413.326308,179.1327645,-20432.27606,471.2746464,-7413.326308,179.1327645,-20432.27606,471.2746464,-7413.326308,179.1327645,-20432.27606,471.2746464,-6833.431212,165.1212535,-18356.8561,423.4035917
