utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV_vast;V_RV_var;V_RV_GL_vast;V_RV_GL_var;V_RV_CORR_vast;V_RV_CORR_var;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;V_Vent;EnergieIndex;EnergieLabel;AC_WW;AC_RV;R_COLL;;;;MVB_EG_vast;MVB_eg_var;RB_FAC_B;MVB_EG_EUR_MIN_vast;MVB_EG_EUR_MIN_var;MVB_EG_EUR_MAX_vast;MVB_EG_EUR_MAX_var;MVC_EG_vast;MVC_EG_var;RB_FAC_C;MVC_EG_EUR_MIN_vast;MVC_EG_EUR_MIN_var;MVC_EG_EUR_MAX_vast;MVC_EG_EUR_MAX_var;MVF_EG_vast;MVF_EG_var;RB_FAC_F;MVF_EG_EUR_MIN_vast;MVF_EG_EUR_MIN_var;MVF_EG_EUR_MAX_vast;MVF_EG_EUR_MAX_var;MV_RV;K_LTAS_MIN;K_LTAS_MAX
Onderwijs;1995<=2015;utiliteit;0.004616057;0.72;1;nvt;0.157546041;0;0.157546041;0;0.157546041;0;0.01008;1;1.07;1;nvt;0.004133429;1.56;0.151;1;0;;B;0.04;0.15;0;;;;0.11197111;0;0;100.7150457;0;179.6182889;0;0.078379777;0;0;143.2072652;0;288.7752092;0;0.078379777;0;0;42.49221952;0;109.1569203;0;1.07;9.057689007;9.057689007
Onderwijs;onbekend;utiliteit;0.004616057;0.72;1;nvt;0.280997955;0;0.280997955;0;0.280997955;0;0.01008;1;0.984690247;1;nvt;0.004133429;1.56;0.151;1;0;;D;0.04;0.15;0;;;;0.116319658;0;0;112.2355937;0;188.266859;0;0.08142376;0;0;154.7278132;0;297.4237793;0;0.08142376;0;0;42.49221952;0;109.1569203;0;1.07;9.057689008;9.057689008
Industrie;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.415427096;0;0.415427096;0;0.415427096;0;0.01008;1;0.8348;1;nvt;0.012400286;1.56;0.086;1;0;;G;0.04;0.07;0;;;;0.08867127;0;0;85.19113444;0;117.4573718;0;0.062069889;0;0;113.475766;0;175.8433785;0;0.062069889;0;0;28.28463153;0;58.38600671;0;1.07;9.057689009;9.057689009
Industrie;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.323110284;0;0.323110284;0;0.323110284;0;0.01008;1;0.9406;1;nvt;0.012400286;1.56;0.086;1;0;;E;0.04;0.07;0;;;;0.088861186;0;0;84.8430159;0;116.9460727;0;0.06220283;0;0;113.1167687;0;175.3212007;0;0.06220283;0;0;28.27375283;0;58.38600671;0;1.07;9.057689010;9.057689010
Industrie;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.167643629;0;0.167643629;0;0.167643629;0;0.01008;1;1;1;nvt;0.012400286;1.56;0.086;1;0;;C;0.04;0.07;0;;;;0.089416217;0;0;78.85972846;0;112.8774372;0;0.062591352;0;0;107.1334813;0;171.2634439;0;0.062591352;0;0;28.27375283;0;58.38600671;0;1.07;9.057689011;9.057689011
Industrie;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.15428224;0;0.15428224;0;0.15428224;0;0.01008;1;1.0168;1;nvt;0.012400286;1.56;0.086;1;0;;B;0.04;0.07;0;;;;0.089535938;0;0;77.17352927;0;110.2774269;0;0.062675157;0;0;105.4581608;0;168.6634336;0;0.062675157;0;0;28.28463153;0;58.38600671;0;1.07;9.057689012;9.057689012
Industrie;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.126764549;0;0.126764549;0;0.126764549;0;0.01008;1;1.07;1;nvt;0.012400286;1.56;0.086;1;0;;B;0.04;0.07;0;;;;0.089889987;0;0;74.00782628;0;107.916748;0;0.062922991;0;0;102.2815791;0;166.3027547;0;0.062922991;0;0;28.27375283;0;58.38600671;0;1.07;9.057689013;9.057689013
Industrie;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.213136845;0;0.213136845;0;0.213136845;0;0.01008;1;1.00335661;1;nvt;0.012400286;1.56;0.086;1;0;;D;0.04;0.07;0;;;;0.092315794;0;0;78.81621365;0;112.0941705;0;0.064621056;0;0;107.0899665;0;170.4801772;0;0.064621056;0;0;28.27375283;0;58.38600671;0;1.07;9.057689014;9.057689014
Bijeenkomst;0<=1920;utiliteit;0.033487398;0.72;1;nvt;0.560795468;0;0.560795468;0;0.560795468;0;0.01008;1;0.83;1;nvt;0.176084063;1.56;0.129;1;0;;G;0.04;0.094;0;;;;0.151367605;0;0;115.0858142;0;165.2583991;0;0.105957324;0;0;157.0993708;0;236.1331585;0;0.105957324;0;0;42.01355654;0;70.8747594;0;1.07;9.057689015;9.057689015
Bijeenkomst;1920<=1975;utiliteit;0.033487398;0.72;1;nvt;0.806258686;0;0.806258686;0;0.806258686;0;0.01008;1;0.912926554;1;nvt;0.176084063;1.56;0.129;1;0;;E;0.04;0.094;0;;;;0.273425196;0;0;114.5962726;0;164.5077685;0;0.191397637;0;0;156.609829;0;235.3825279;0;0.191397637;0;0;42.01355654;0;70.8747594;0;1.07;9.057689016;9.057689016
Bijeenkomst;1975<=1990;utiliteit;0.033487398;0.72;1;nvt;0.610197728;0;0.610197728;0;0.610197728;0;0.01008;1;1.00910678;1;nvt;0.176084063;1.56;0.129;1;0;;C;0.04;0.094;0;;;;0.366842441;0;0;105.3493738;0;158.6115107;0;0.256789709;0;0;147.3629302;0;229.4862701;0;0.256789709;0;0;42.01355654;0;70.8747594;0;1.07;9.057689017;9.057689017
