"type_str"	"bouwjaar_str"	"eigendom_str"	"Vrv_N_asl"	"Vrv_N_opp"	"Vrv_G_asl"	"Vrv_G_opp"	"Vrv_F_asl"	"Vrv_F_opp"	"Vrv_E_asl"	"Vrv_E_opp"	"Vrv_D_asl"	"Vrv_D_opp"	"Vrv_C_asl"	"Vrv_C_opp"	"Vrv_B_asl"	"Vrv_B_opp"	"Vrv_A_asl"	"Vrv_A_opp"	"Vvt_asl"	"Vvt_opp"	"Vtw_asl"	"Vtw_opp"	"Vea_asl"	"Vea_opp"	"Vkd_asl"	"Vkd_opp"	"freq_label_A"	"freq_label_B"	"freq_label_C"	"freq_label_D"	"freq_label_E"	"freq_label_F"	"freq_label_G"
"Vrijstaand"	"2000 - 2005"	"parthuur"	28.120027286	0.125820807	16.7163924127	0.1826490705	16.7163924127	0.1826490705	16.7163924127	0.1826490705	16.7163924127	0.1826490705	16.7163924127	0.1826490705	16.7163924127	0.1826490705	12.0141470002	0.1826490705	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
"Vrijstaand"	"2000 - 2005"	"wooncorp"	41.3872576849	0	7.220221226	0.1643256176	7.220221226	0.1643256176	7.220221226	0.1643256176	7.220221226	0.1643256176	7.220221226	0.1643256176	7.220221226	0.1643256176	7.220221226	0.1643256176	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
"Vrijstaand"	"2006 - 2010"	"koop"	22.2306078833	0.1329872753	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
"Vrijstaand"	"2006 - 2010"	"parthuur"	39.8891751118	0.0681076305	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
"Vrijstaand"	"2006 - 2010"	"wooncorp"	22.2306078833	0.1329872753	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	14.6148561834	0.1672027377	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
"Vrijstaand"	"2011 - 2014"	"koop"	20.9725550382	0.122080369	14.3658321725	0.1623386109	14.3658321725	0.1623386109	14.3658321725	0.1623386109	14.3658321725	0.1623386109	14.3658321725	0.1623386109	14.3658321725	0.1623386109	14.3658321725	0.1623386109	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
"Vrijstaand"	"2011 - 2014"	"parthuur"	23.46722303	0.1103837338	8.9220841699	0.2057296001	8.9220841699	0.2057296001	8.9220841699	0.2057296001	8.9220841699	0.2057296001	8.9220841699	0.2057296001	8.9220841699	0.2057296001	8.9220841699	0.2057296001	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
"Vrijstaand"	"2011 - 2014"	"wooncorp"	20.9725550382	0.122080369	14.3658321725	0.1623386109	14.3658321725	0.1623386109	14.3658321725	0.1623386109	14.3658321725	0.1623386109	14.3658321725	0.1623386109	14.3658321725	0.1623386109	14.3658321725	0.1623386109	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
"Vrijstaand"	"2015 - 2020"	"koop"	13.5287757179	0.1350908747	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
"Vrijstaand"	"2015 - 2020"	"parthuur"	11.0558529885	0.14730845	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	1.9834503953	0.207403764	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
