woningtype_str,bouwjaar_str,,V_WW,E_WW_GAS,E_WW_WARM,E_WW_ELEK,V_RV_vast,V_RV_var,V_RV_GL_vast,V_RV_GL_var,V_RV_CORR_vast,V_RV_CORR_var,V_P_ELEK,EG,E_RV_GAS,E_RV_WARM,E_RV_ELEK,V_KOU,E_KOU_ELEK,V_APP_ELEK,E_APP_ELEK,V_Vent,EnergieIndex,EnergieLabel,AC_WW,AC_RV,R_COLL,,,,,,MVA_EG_vast,MVA_eg_var,RB_FAC_A,MVA_EG_EUR_MIN_vast,MVA_EG_EUR_MIN_var,MVA_EG_EUR_MAX_vast,MVA_EG_EUR_MAX_var,MVB_EG_vast,MVB_EG_var,RB_FAC_B,MVB_EG_EUR_MIN_vast,MVB_EG_EUR_MIN_var,MVB_EG_EUR_MAX_vast,MVB_EG_EUR_MAX_var,MVC_EG_vast,MVC_EG_var,RB_FAC_C,MVC_EG_EUR_MIN_vast,MVC_EG_EUR_MIN_var,MVC_EG_EUR_MAX_vast,MVC_EG_EUR_MAX_var,MVD_EG_vast,MVD_EG_var,RB_FAC_D,MVD_EG_EUR_MIN_vast,MVD_EG_EUR_MIN_var,MVD_EG_EUR_MAX_vast,MVD_EG_EUR_MAX_var,MVE_EG_vast,MVE_EG_var,RB_FAC_E,MVE_EG_EUR_MIN_vast,MVE_EG_EUR_MIN_var,MVE_EG_EUR_MAX_vast,MVE_EG_EUR_MAX_var,MVF_EG_vast,MVF_EG_var,RB_FAC_F,MVF_EG_EUR_MIN_vast,MVF_EG_EUR_MIN_var,MVF_EG_EUR_MAX_vast,MVF_EG_EUR_MAX_var,MV_RV,K_LTAS_MIN,K_LTAS_MAX,VL_OPP_WON_MIN,VL_OPP_WON_MAX
rijwoning hoek,1965 - 1974,,7.7,0.72,1,nvt,29.95312435,0.080304118,34.1493045,0.088310852,13.87276216,0.167998599,0.01008,1,1.07,1,nvt,0.01296,nvt,9.94,1,0.007632555,2.18,E,4,7,0,,,,,,,,0,,,,,16.99445504,0.150370359,0,10050.64516,-4.946003616,17319.82757,-36.98889045,11.66588496,0.170169123,0,19550.1238,-9.665073989,50439.69679,-116.0678247,,,0,,,,,,,0,,,,,11.66588496,0.170169123,0,9327.520698,-4.634448482,32823.5418,-78.44608599,1.07,957.5098039,3221.918627,106,106
rijwoning hoek,1975 - 1991,,7.7,0.72,1,nvt,20.26404475,0.094305052,26.97142743,0.089510482,25.9679722,0.069592298,0.01008,1,1.07,1,nvt,0.01296,nvt,9.94,1,0.004510267,1.66,C,4,7,0,,,,,,,,0,,,,,17.29632643,0.104689341,0,4268.847751,23.16745866,4832.361559,40.27192646,7.564680879,0.193610788,0,9862.443271,81.72813857,14908.34424,219.1336145,,,0,,,,,,,0,,,,,7.564680879,0.193610788,0,5520.559187,58.16430451,9993.30511,178.1726698,1.07,957.5098039,3221.918627,106,106
rijwoning hoek,1992 - 2005,,7.7,0.72,1,nvt,11.99017272,0.123009068,21.71043197,0.08427197,14.76827045,0.10365805,0.01008,1,1.07,1,nvt,0.01296,nvt,9.86,1,0,1.37,B,4,7,0,,,,,,,,0,,,,,,,0,,,,,7.225712368,0.163874602,0,3690.801053,81.72813857,8311.801579,219.1336145,,,0,,,,,,,0,,,,,7.225712368,0.163874602,0,3690.801053,81.72813857,8311.801579,219.1336145,1.07,957.5098039,3221.918627,114,114
rijwoning hoek,2006 - 2014,,7.7,0.72,1,nvt,13.23860083,0.075465091,16.90890269,0.075282644,11.66936291,0.096696868,0.01008,1,1.07,1,nvt,0.01296,nvt,9.86,1,0,0.9,A,4,7,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,1.07,957.5098039,3221.918627,114,114
meergezins: laag en midden,voor 1946,,7.1,0.72,1,nvt,17.52785679,0.218574058,25.73288851,0.154288479,23.62218854,0.159704567,0.01008,1,1.07,1,nvt,0.01296,nvt,8.41,1,0.007174355,2.2,G,2,5,0,,,,,,14.06458604,0.220912407,0,2328.36576,-1.371392184,2145.649736,4.944032112,10.98046646,0.20329088,0,6073.894363,36.533053,5832.21297,75.35563725,9.639820212,0.198032393,0,10425.52609,62.6731141,12071.4629,189.3455831,10.98046646,0.20329088,0,3727.938699,37.90444518,3668.97333,70.41160514,9.639820212,0.198032393,0,8057.323985,64.06796963,9889.102937,184.3169628,9.639820212,0.198032393,0,4247.712592,25.51501182,6139.465759,112.7006753,1.07,401.3392157,2014.845098,59,59
meergezins: laag en midden,1946 - 1964,,6.35,0.72,1,nvt,17.45473074,0.177289339,23.77737087,0.140695971,18.70056117,0.175364956,0.01008,1,1.07,1,nvt,0.01296,nvt,8.34,1,0.00646244,2.2,E,2,5,0,,,,,,16.17606221,0.140435175,0,-798.5180627,31.94642366,-3760.794772,81.18553963,14.1592369,0.13444945,0,2619.379104,55.43739526,1006.910877,114.8274989,13.14293694,0.111983402,0,3818.297741,162.7826346,-2248.041797,406.3077755,14.1592369,0.13444945,0,3385.926745,23.49097161,4735.735227,33.64195925,13.14293694,0.111983402,0,4630.477765,130.2896349,1577.096957,323.7332207,13.14293694,0.111983402,0,1154.103301,106.3967529,-3272.180057,289.5156764,1.07,401.3392157,2014.845098,66,66
meergezins: laag en midden,1965 - 1974,,7.3,0.72,1,nvt,17.0290145,0.148311718,24.77943236,0.11652384,19.69940765,0.141229542,0.01008,1,1.07,1,nvt,0.01296,nvt,8.29,1,0.004827624,2.2,D,2,5,0,,,,,,,,0,,,,,15.54412718,0.079548605,0,3771.867484,31.85046733,2594.768282,82.22724456,9.996813883,0.152552072,0,7232.405245,94.82731656,3449.097635,281.7235525,,,0,,,,,,,0,,,,,9.996813883,0.152552072,0,3396.004334,62.43191498,809.9350872,198.0894702,1.07,401.3392157,2014.845098,71,71
meergezins: laag en midden,1975 - 1991,,7.3,0.72,1,nvt,20.72656138,0.068591949,19.7641575,0.126460241,15.38419509,0.155628847,0.01008,1,1.07,1,nvt,0.01296,nvt,8.3,1,0.002521148,1.35,C,2,5,0,,,,,,,,0,,,,,17.28488489,0.076677607,0,4012.053809,31.85046733,5062.06357,25.14092026,9.444057431,0.149128461,0,7769.311154,87.15723214,14596.11381,122.4804644,,,0,,,,,,,0,,,,,9.444057431,0.149128461,0,3688.614536,54.76183056,9447.442658,96.90940449,1.07,401.3392157,2014.845098,70,70
meergezins: laag en midden,1992 - 2005,,7.7,0.72,1,nvt,14.55490387,0.071551561,12.60457738,0.130821721,19.85450027,0.08634298,0.01008,1,1.07,1,nvt,0.01296,nvt,8.26,1,0,1.31,B,2,5,0,,,,,,,,0,,,,,7.810868115,0.154890421,0,3181.030115,11.94650299,2976.209459,39.30568457,5.853919104,0.177826376,0,-442.78532,124.8187199,-1736.871186,276.1546453,,,0,,,,,,,0,,,,,5.853919104,0.177826376,0,-399.6679026,112.6678225,-1485.428807,236.1764741,1.07,401.3392157,2014.845098,74,74
meergezins: laag en midden,2006 - 2014,,7.7,0.72,1,nvt,8.174862782,0.10810824,10.11121993,0.119318699,15.05969441,0.099691995,0.01008,1,1.07,1,nvt,0.01296,nvt,8.26,1,0,0.9,A,2,5,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,1.07,401.3392157,2014.845098,74,74
meergezins: hoog,voor 1946,,7.7,0.72,1,nvt,16.56188457,0.218574058,24.76691629,0.154288479,22.65621632,0.159704567,0.01008,1,1.07,1,nvt,0.01296,nvt,8.28,1,0.007174355,2.09,D,2,5,0,,,,,,13.09861382,0.220912407,0,2328.36576,-1.371392184,2145.649736,4.944032112,10.01449423,0.20329088,0,6073.894363,36.533053,5832.21297,75.35563725,8.67384799,0.198032393,0,9938.668478,56.38041414,11195.62593,163.7961746,10.01449423,0.20329088,0,3727.938699,37.90444518,3668.97333,70.41160514,8.67384799,0.198032393,0,7570.466371,57.77526968,9013.26596,158.7675543,8.67384799,0.198032393,0,3760.854978,19.22231186,5263.628782,87.15126687,1.07,401.3392157,2014.845098,72,72
meergezins: hoog,1946 - 1964,,7.7,0.72,1,nvt,17.00889741,0.177289339,23.33153753,0.140695971,18.25472784,0.175364956,0.01008,1,1.07,1,nvt,0.01296,nvt,8.28,1,0.00646244,2.09,D,2,5,0,,,,,,15.73022887,0.140435175,0,-798.5180627,31.94642366,-3760.794772,81.18553963,13.71340357,0.13444945,0,2619.379104,55.43739526,1006.910877,114.8274989,12.69710361,0.111983402,0,3994.839516,146.4384287,-1191.671703,351.4825023,13.71340357,0.13444945,0,3385.926745,23.49097161,4735.735227,33.64195925,12.69710361,0.111983402,0,4807.019539,113.9454291,2633.46705,268.9079476,12.69710361,0.111983402,0,1330.645075,90.05254705,-2215.809964,234.6904032,1.07,401.3392157,2014.845098,72,72
meergezins: hoog,1965 - 1974,,4.95,0.72,1,nvt,16.21165338,0.148311718,23.96207125,0.11652384,18.88204654,0.141229542,0.01008,1,1.07,1,nvt,0.01296,nvt,8.18,1,0.004827624,2.09,E,2,5,0,,,,,,,,0,,,,,14.72676607,0.079548605,0,3771.867484,31.85046733,2594.768282,82.22724456,9.179452772,0.152552072,0,7037.603185,83.66127771,3785.623746,237.132539,,,0,,,,,,,0,,,,,9.179452772,0.152552072,0,3201.202275,51.26587613,1146.461198,153.4984566,1.07,401.3392157,2014.845098,82,82
meergezins: hoog,1975 - 1991,,5.3,0.72,1,nvt,20.87517249,0.068591949,19.91276861,0.126460241,15.53280621,0.155628847,0.01008,1,1.07,1,nvt,0.01296,nvt,8.32,1,0.002521148,1.84,C,2,5,0,,,,,,,,0,,,,,17.433496,0.076677607,0,4012.053809,9.962614722,5062.06357,25.14092026,9.592668543,0.149128461,0,9489.289617,48.63718583,13168.29773,103.0943392,,,0,,,,,,,0,,,,,9.592668543,0.149128461,0,5408.592999,38.5041193,8019.626581,77.52327934,1.07,401.3392157,2014.845098,68,68
meergezins: hoog,1992 - 2005,,5.55,0.72,1,nvt,14.1833761,0.071551561,12.2330496,0.130821721,19.48297249,0.08634298,0.01008,1,1.07,1,nvt,0.01296,nvt,8.21,1,0,1.29,B,2,5,0,,,,,,,,0,,,,,7.439340337,0.154890421,0,3141.978557,12.19282209,2854.322503,40.08587478,5.482391327,0.177826376,0,-762.8434389,115.4420533,-2237.291453,243.5200085,,,0,,,,,,,0,,,,,5.482391327,0.177826376,0,-680.8532794,103.0406225,-1862.72369,202.7482987,1.07,401.3392157,2014.845098,79,79
meergezins: hoog,2006 - 2014,,5.5,0.72,1,nvt,7.803335004,0.10810824,9.739692149,0.119318699,14.68816663,0.099691995,0.01008,1,1.07,1,nvt,0.01296,nvt,8.21,1,0,0.9,A,2,5,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,1.07,401.3392157,2014.845098,79,79
