utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV_vast;V_RV_var;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;V_Vent;EnergieIndex;EnergieLabel;AC_WW;AC_RV;R_COLL;;;;MVB_EG_vast;MVB_eg_var;RB_FAC_B;MVB_EG_EUR_MIN_vast;MVB_EG_EUR_MIN_var;MVB_EG_EUR_MAX_vast;MVB_EG_EUR_MAX_var;MVC_EG_vast;MVC_EG_var;RB_FAC_C;MVC_EG_EUR_MIN_vast;MVC_EG_EUR_MIN_var;MVC_EG_EUR_MAX_vast;MVC_EG_EUR_MAX_var;MVF_EG_vast;MVF_EG_var;RB_FAC_F;MVF_EG_EUR_MIN_vast;MVF_EG_EUR_MIN_var;MVF_EG_EUR_MAX_vast;MVF_EG_EUR_MAX_var;MV_RV;K_LTAS_MIN;K_LTAS_MAX
Logies;1995<=2015;utiliteit;0.03745301;0.72;1;nvt;0.259615483;0;0.01008;1;1.07;1;nvt;0.155846796;1.56;0.089;1;0;;B;0.04;0.0978;0;;;;0.198224152;0;0;1.102.665.482;0;1.662.483.612;0;0.138756906;0;0;1.537.487.298;0;2.390.704.087;0;0.138756906;0;0;4.348.218.163;0;728.220.475;0;1.07;9.057.688.979;9.057.688.979
Logies;onbekend;utiliteit;0.03745301;0.72;1;nvt;0.400588267;0;0.01008;1;1.003.822.942;1;nvt;0.155846796;1.56;0.089;1;0;;D;0.04;0.0978;0;;;;0.205033605;0;0;1.173.268.274;0;172.144.619;0;0.143523524;0;0;1.607.981.303;0;2.449.666.665;0;0.143523524;0;0;4.347.130.293;0;728.220.475;0;1.07;9.057.688.979;9.057.688.979
Onderwijs;0<=1920;utiliteit;0.004616057;0.72;1;nvt;0.517455923;0;0.01008;1;0.83;1;nvt;0.004133429;1.56;0.151;1;0;;G;0.04;0.15;0;;;;0.111871429;0;0;1.236.473.546;0;1.963.062.215;0;0.07831;0;0;1.661.286.955;0;3.054.631.418;0;0.07831;0;0;4.248.134.083;0;1.091.569.203;0;1.07;9.057.688.979;9.057.688.979
Onderwijs;1920<=1975;utiliteit;0.004616057;0.72;1;nvt;0.390441057;0;0.01008;1;0.9062;1;nvt;0.004133429;1.56;0.151;1;0;;E;0.04;0.15;0;;;;0.111885195;0;0;1.231.360.555;0;1.954.359.252;0;0.078319636;0;0;165.628.275;0;3.045.928.455;0;0.078319636;0;0;4.249.221.952;0;1.091.569.203;0;1.07;9.057.688.979;9.057.688.979
Onderwijs;1975<=1990;utiliteit;0.004616057;0.72;1;nvt;0.208941646;0;0.01008;1;1;1;nvt;0.004133429;1.56;0.151;1;0;;C;0.04;0.15;0;;;;0.111932551;0;0;1.098.205.213;0;1.882.015.868;0;0.078352785;0;0;1.523.018.621;0;2.973.585.071;0;0.078352785;0;0;4.248.134.083;0;1.091.569.203;0;1.07;9.057.688.979;9.057.688.979
Onderwijs;1990<=1995;utiliteit;0.004616057;0.72;1;nvt;0.201582601;0;0.01008;1;10.665;1;nvt;0.004133429;1.56;0.151;1;0;;B;0.04;0.15;0;;;;0.11194225;0;0;1.076.339.017;0;1.838.936.198;0;0.078359575;0;0;1.501.152.425;0;2.930.396.614;0;0.078359575;0;0;4.248.134.083;0;1.091.460.416;0;1.07;9.057.688.979;9.057.688.979
Onderwijs;1995<=2015;utiliteit;0.004616057;0.72;1;nvt;0.157546041;0;0.01008;1;1.07;1;nvt;0.004133429;1.56;0.151;1;0;;B;0.04;0.15;0;;;;0.11197111;0;0;1.007.150.457;0;1.796.182.889;0;0.078379777;0;0;1.432.072.652;0;2.887.752.092;0;0.078379777;0;0;4.249.221.952;0;1.091.569.203;0;1.07;9.057.688.979;9.057.688.979
Onderwijs;onbekend;utiliteit;0.004616057;0.72;1;nvt;0.280997955;0;0.01008;1;0.984690247;1;nvt;0.004133429;1.56;0.151;1;0;;D;0.04;0.15;0;;;;0.116319658;0;0;1.122.355.937;0;188.266.859;0;0.08142376;0;0;1.547.278.132;0;2.974.237.793;0;0.08142376;0;0;4.249.221.952;0;1.091.569.203;0;1.07;9.057.688.979;9.057.688.979
Industrie;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.415427096;0;0.01008;1;0.8348;1;nvt;0.012400286;1.56;0.086;1;0;;G;0.04;0.07;0;;;;0.08867127;0;0;8.519.113.444;0;1.174.573.718;0;0.062069889;0;0;113.475.766;0;1.758.433.785;0;0.062069889;0;0;2.828.463.153;0;5.838.600.671;0;1.07;9.057.688.979;9.057.688.979
Industrie;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.323110284;0;0.01008;1;0.9406;1;nvt;0.012400286;1.56;0.086;1;0;;E;0.04;0.07;0;;;;0.088861186;0;0;848.430.159;0;1.169.460.727;0;0.06220283;0;0;1.131.167.687;0;1.753.212.007;0;0.06220283;0;0;2.827.375.283;0;5.837.512.801;0;1.07;9.057.688.979;9.057.688.979
Industrie;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.167643629;0;0.01008;1;1;1;nvt;0.012400286;1.56;0.086;1;0;;C;0.04;0.07;0;;;;0.089416217;0;0;7.885.972.846;0;1.128.774.372;0;0.062591352;0;0;1.071.334.813;0;1.712.634.439;0;0.062591352;0;0;2.827.375.283;0;5.838.600.671;0;1.07;9.057.688.979;9.057.688.979
Industrie;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.15428224;0;0.01008;1;10.168;1;nvt;0.012400286;1.56;0.086;1;0;;B;0.04;0.07;0;;;;0.089535938;0;0;7.717.352.927;0;1.102.774.269;0;0.062675157;0;0;1.054.581.608;0;1.686.634.336;0;0.062675157;0;0;2.828.463.153;0;5.838.600.671;0;1.07;9.057.688.979;9.057.688.979
Industrie;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.126764549;0;0.01008;1;1.07;1;nvt;0.012400286;1.56;0.086;1;0;;B;0.04;0.07;0;;;;0.089889987;0;0;7.400.782.628;0;107.916.748;0;0.062922991;0;0;1.022.815.791;0;1.663.027.547;0;0.062922991;0;0;2.827.375.283;0;5.838.600.671;0;1.07;9.057.688.979;9.057.688.979
Industrie;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.213136845;0;0.01008;1;100.335.661;1;nvt;0.012400286;1.56;0.086;1;0;;D;0.04;0.07;0;;;;0.092315794;0;0;7.881.621.365;0;1.120.941.705;0;0.064621056;0;0;1.070.899.665;0;1.704.801.772;0;0.064621056;0;0;2.827.375.283;0;5.838.600.671;0;1.07;9.057.688.979;9.057.688.979
Bijeenkomst;0<=1920;utiliteit;0.033487398;0.72;1;nvt;0.560795468;0;0.01008;1;0.83;1;nvt;0.176084063;1.56;0.129;1;0;;G;0.04;0.094;0;;;;0.151367605;0;0;1.150.858.142;0;1.652.583.991;0;0.105957324;0;0;1.570.993.708;0;2.361.331.585;0;0.105957324;0;0;4.201.355.654;0;708.747.594;0;1.07;9.057.688.979;9.057.688.979
Bijeenkomst;1920<=1975;utiliteit;0.033487398;0.72;1;nvt;0.806258686;0;0.01008;1;0.912926554;1;nvt;0.176084063;1.56;0.129;1;0;;E;0.04;0.094;0;;;;0.273425196;0;0;1.145.962.726;0;1.645.077.685;0;0.191397637;0;0;156.609.829;0;2.353.825.279;0;0.191397637;0;0;4.201.355.654;0;708.747.594;0;1.07;9.057.688.979;9.057.688.979
Bijeenkomst;1975<=1990;utiliteit;0.033487398;0.72;1;nvt;0.610197728;0;0.01008;1;100.910.678;1;nvt;0.176084063;1.56;0.129;1;0;;C;0.04;0.094;0;;;;0.366842441;0;0;1.053.493.738;0;1.586.115.107;0;0.256789709;0;0;1.473.629.302;0;2.294.862.701;0;0.256789709;0;0;4.201.355.654;0;708.747.594;0;1.07;9.057.688.979;9.057.688.979
Bijeenkomst;1990<=1995;utiliteit;0.033487398;0.72;1;nvt;0.619237267;0;0.01008;1;1.064.439.548;1;nvt;0.176084063;1.56;0.129;1;0;;B;0.04;0.094;0;;;;0.384339176;0;0;1.030.648.458;0;154.880.115;0;0.269037423;0;0;1.450.675.237;0;2.257.657.532;0;0.269037423;0;0;4.200.267.783;0;7.088.563.811;0;1.07;9.057.688.979;9.057.688.979
Bijeenkomst;1995<=2015;utiliteit;0.033487398;0.72;1;nvt;0.435770119;0;0.01008;1;1.07;1;nvt;0.176084063;1.56;0.129;1;0;;B;0.04;0.094;0;;;;0.33090557;0;0;9.819.118.625;0;1.514.206.871;0;0.231633899;0;0;1.402.047.428;0;2.223.063.251;0;0.231633899;0;0;4.201.355.654;0;7.088.563.811;0;1.07;9.057.688.979;9.057.688.979
Bijeenkomst;onbekend;utiliteit;0.033487398;0.72;1;nvt;0.632280146;0;0.01008;1;0.960931919;1;nvt;0.176084063;1.56;0.129;1;0;;D;0.04;0.094;0;;;;0.263533269;0;0;1.083.301.388;0;1.597.755.321;0;0.184473288;0;0;1.503.328.166;0;2.306.502.915;0;0.184473288;0;0;4.200.267.783;0;708.747.594;0;1.07;9.057.688.979;9.057.688.979
Sport;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.724791492;0;0.01008;1;0.83;1;nvt;0.086802003;1.56;0.454;1;0;;G;0.04;0.07;0;;;;0.214911431;0;0;1.864.827.514;0;2.705.751.368;0;0.150438002;0;0;2.622.746.853;0;4.025.011.855;0;0.150438002;0;0;7.579.193.381;0;1.319.260.487;0;1.07;9.057.688.979;9.057.688.979
Sport;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.544171907;0;0.01008;1;0.854;1;nvt;0.086802003;1.56;0.454;1;0;;E;0.04;0.07;0;;;;0.214911431;0;0;1.854.927.893;0;2.690.847.542;0;0.150438002;0;0;2.612.847.232;0;4.010.216.816;0;0.150438002;0;0;7.579.193.381;0;1.319.369.275;0;1.07;9.057.688.979;9.057.688.979
Sport;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.329260473;0;0.01008;1;0.9747;1;nvt;0.086802003;1.56;0.454;1;0;;C;0.04;0.07;0;;;;0.214911431;0;0;1.675.320.483;0;2.570.311.498;0;0.150438002;0;0;2.433.131.035;0;3.889.680.771;0;0.150438002;0;0;757.810.551;0;1.319.369.275;0;1.07;9.057.688.979;9.057.688.979
Sport;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.32547952;0;0.01008;1;10.434;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;;;;0.214911431;0;0;1.629.194.777;0;2.496.336.307;0;0.150438002;0;0;2.387.005.328;0;3.815.705.581;0;0.150438002;0;0;757.810.551;0;1.319.369.275;0;1.07;9.057.688.979;9.057.688.979
Sport;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.276025048;0;0.01008;1;1.07;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;;;;0.214911431;0;0;153.444.126;0;2.428.018.044;0;0.150438002;0;0;2.292.251.811;0;3.747.387.317;0;0.150438002;0;0;757.810.551;0;1.319.369.275;0;1.07;9.057.688.979;9.057.688.979
Sport;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.389907353;0;0.01008;1;0.977057937;1;nvt;0.086802003;1.56;0.454;1;0;;D;0.04;0.07;0;;;;0.222799623;0;0;1.676.408.353;0;2.552.144.061;0;0.155959736;0;0;2.434.218.904;0;3.871.513.334;0;0.155959736;0;0;757.810.551;0;1.319.369.275;0;1.07;9.057.688.979;9.057.688.979
Overig;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.227744373;0;0.01008;1;0.83;1;nvt;0.086802003;1.56;0.454;1;0;;G;0.04;0.07;0;;;;0.048814225;0;0;117.522.644;0;1.876.467.728;0;0.034169957;0;0;1.703.278.753;0;291.505.764;0;0.034169957;0;0;5.280.523.133;0;1.038.589.913;0;1.07;9.057.688.979;9.057.688.979
Overig;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.165521952;0;0.01008;1;0.854;1;nvt;0.086802003;1.56;0.454;1;0;;E;0.04;0.07;0;;;;0.048814225;0;0;1.169.678.301;0;1.866.894.468;0;0.034169957;0;0;1.697.730.615;0;2.905.375.594;0;0.034169957;0;0;5.280.523.133;0;1.038.481.125;0;1.07;9.057.688.979;9.057.688.979
Overig;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.089303509;0;0.01008;1;0.9747;1;nvt;0.086802003;1.56;0.454;1;0;;C;0.04;0.07;0;;;;0.048814225;0;0;1.021.836.708;0;1.782.584.509;0;0.034169957;0;0;1.549.889.021;0;2.821.065.635;0;0.034169957;0;0;5.280.523.133;0;1.038.481.125;0;1.07;9.057.688.979;9.057.688.979
Overig;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.086385542;0;0.01008;1;10.434;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;;;;0.048814225;0;0;9.975.771.969;0;1.734.718.209;0;0.034169957;0;0;152.562.951;0;2.773.199.335;0;0.034169957;0;0;5.280.523.133;0;1.038.481.125;0;1.07;9.057.688.979;9.057.688.979
Overig;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.068874321;0;0.01008;1;1.07;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;;;;0.048814225;0;0;9.207.735.435;0;1.687.395.845;0;0.034169957;0;0;1.448.825.857;0;2.725.876.971;0;0.034169957;0;0;5.280.523.133;0;1.038.481.125;0;1.07;9.057.688.979;9.057.688.979
Overig;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.112344219;0;0.01008;1;0.985320833;1;nvt;0.086802003;1.56;0.454;1;0;;D;0.04;0.07;0;;;;0.051621296;0;0;1.018.681.883;0;1.760.718.313;0;0.036134907;0;0;1.546.734.197;0;2.799.308.226;0;0.036134907;0;0;5.280.523.133;0;1.038.589.913;0;1.07;9.057.688.979;9.057.688.979
Cel;0<=1920;utiliteit;0.003776774;0.72;1;nvt;1.174.642.006;0;0.01008;1;0.83;1;nvt;0.086802003;1.56;0.454;1;0;;G;0.04;0.07;0;;;;0.278391906;0;0;7.783.713.025;0;1.105.493.945;0;0.194874334;0;0;1.044.464.413;0;1.521.278.029;0;0.194874334;0;0;2.660.931.105;0;4.157.840.835;0;1.07;9.057.688.979;9.057.688.979
Cel;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.797229598;0;0.01008;1;0.83;1;nvt;0.086802003;1.56;0.454;1;0;;E;0.04;0.07;0;;;;0.278391906;0;0;7.751.076.911;0;1.100.707.315;0;0.194874334;0;0;1.041.092.015;0;1.516.600.186;0;0.194874334;0;0;2.659.843.234;0;4.158.928.706;0;1.07;9.057.688.979;9.057.688.979
Cel;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.472312353;0;0.01008;1;0.9579;1;nvt;0.086802003;1.56;0.454;1;0;;C;0.04;0.07;0;;;;0.278391906;0;0;7.234.338.451;0;1.064.590.016;0;0.194874334;0;0;9.895.269.556;0;14.803.741;0;0.194874334;0;0;2.660.931.105;0;4.157.840.835;0;1.07;9.057.688.979;9.057.688.979
Cel;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.469721176;0;0.01008;1;10.469;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;;;;0.278391906;0;0;7.077.685.107;0;1.040.983.228;0;0.194874334;0;0;9.738.616.212;0;1.456.876.099;0;0.194874334;0;0;2.660.931.105;0;4.158.928.706;0;1.07;9.057.688.979;9.057.688.979
Cel;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.380637332;0;0.01008;1;1.07;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;;;;0.278391906;0;0;6.803.541.755;0;1.019.878.541;0;0.194874334;0;0;946.447.286;0;1.435.662.625;0;0.194874334;0;0;2.660.931.105;0;4.157.840.835;0;1.07;9.057.688.979;9.057.688.979
Cel;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.636626893;0;0.01008;1;0.971055544;1;nvt;0.086802003;1.56;0.454;1;0;;D;0.04;0.07;0;;;;0.295673148;0;0;7.218.020.393;0;1.056.539.775;0;0.206971204;0;0;9.878.951.498;0;1.472.323.858;0;0.206971204;0;0;2.660.931.105;0;4.157.840.835;0;1.07;9.057.688.979;9.057.688.979
