"type_str"	"bouwjaar_str"	"Default_label"	"Vrv_N_asl"	"Vrv_N_opp"	"Vrv_G_asl"	"Vrv_G_opp"	"Vrv_F_asl"	"Vrv_F_opp"	"Vrv_E_asl"	"Vrv_E_opp"	"Vrv_D_asl"	"Vrv_D_opp"	"Vrv_C_asl"	"Vrv_C_opp"	"Vrv_B_asl"	"Vrv_B_opp"	"Vrv_A_asl"	"Vrv_A_opp"	"Vvt_asl"	"Vvt_opp"	"Vtw_asl"	"Vtw_opp"	"Vea_asl"	"Vea_opp"	"Vkd_asl"	"Vkd_opp"	"Vkk_asl"	"Vkk_opp"
"rijwoning hoek"	"voor 1930"	"E"	24.1548380089	0.1595241024	22.6828344889	0.1642482067	22.5116712889	0.1590790781	14.9462578489	0.2153233056	14.0904418489	0.1798582906	9.3321048889	0.2236418371	15.6091393287	0.1342030806	9.8798271289	0.1830419261	0	0.008135673	7.1	0	9.98	0	0	0.01296	0.7596	0
"rijwoning hoek"	"1930 - 1945"	"E"	31.1040639289	0.1349792995	29.3239666489	0.1423735498	27.8861957689	0.1532252966	13.2346258489	0.2449003066	14.5354661689	0.2036157427	9.0582437689	0.2272362643	15.2306178193	0.1468319346	14.9120252089	0.109544448	0	0.008135673	7.1	0	9.98	0	0	0.01296	0.7596	0
"rijwoning hoek"	"1946 - 1964"	"E"	32.8499285689	0.0941055274	23.6413484089	0.1550053939	22.6143692089	0.1657202102	22.9566956089	0.1497335674	17.3083100089	0.155381953	16.2128655289	0.1481588659	13.54447655	0.1450769713	16.1101676089	0.1088255626	0	0.007684654	6.4	0	10.13	0	0	0.01296	0.7596	0
"rijwoning hoek"	"1965 - 1974"	"D"	33.6715119289	0.0851708083	21.7243205689	0.1671922138	20.9027372089	0.162125783	19.8415253689	0.1603456858	23.7098136889	0.1206015907	18.7460808889	0.141586199	12.9938998091	0.1544023648	13.5769522489	0.1452490915	0	0.007517702	7.3	0	9.94	0	0	0.01296	0.7596	0
"rijwoning hoek"	"1975 - 1991"	"C"	26.6880533689	0.0870536035	25.4214456889	0.1460706749	25.1818172089	0.109544448	14.4327682489	0.2071759373	24.8394908089	0.0789747005	19.0884072889	0.0903741696	6.7310893803	0.1861293495	9.1609416889	0.1629131338	0	0.003662524	7.3	0	9.94	0	0	0.01296	0.7596	0
"rijwoning hoek"	"1992 - 1995"	"B"	22.5398830222	0.0884229091	25.4214456889	0.1460706749	25.1818172089	0.109544448	14.4327682489	0.2071759373	24.8394908089	0.0789747005	8.1621742222	0.1787970787	7.8261905772	0.1823441344	6.8613339022	0.1786601482	0	0	7.7	0	9.86	0	0	0.01296	0.7596	0
"rijwoning hoek"	"1996 - 1999"	"B"	20.4859246222	0.0875670931	25.4214456889	0.1460706749	25.1818172089	0.109544448	14.4327682489	0.2071759373	24.8394908089	0.0789747005	7.3405908622	0.1825626691	7.2756138362	0.1673753293	7.9567783822	0.1532252966	0	0	7.7	0	9.86	0	0	0.01296	0.7596	0
"rijwoning hoek"	"2000 - 2005"	"A"	14.5636779022	0.1171440941	25.4214456889	0.1460706749	25.1818172089	0.109544448	14.4327682489	0.2071759373	24.8394908089	0.0789747005	7.3405908622	0.1825626691	7.7229574382	0.1527162235	13.6393966222	0.0899976106	0	0	7.7	0	9.86	0	0	0.01296	0.7596	0
"rijwoning hoek"	"2006 - 2010"	"A"	19.4217023289	0.0871220688	25.4214456889	0.1460706749	25.1818172089	0.109544448	14.4327682489	0.2071759373	24.8394908089	0.0789747005	7.3405908622	0.1825626691	14.5677295117	0.0904666408	16.6488584889	0.0777765581	0	0	7.7	0	9.86	0	0	0.01296	0.7596	0
"rijwoning hoek"	"2011 - 2014"	"A"	14.7660632889	0.0895868189	25.4214456889	0.1460706749	25.1818172089	0.109544448	14.4327682489	0.2071759373	24.8394908089	0.0789747005	7.3405908622	0.1825626691	14.5677295117	0.0904666408	10.8293096889	0.1010205206	0	0	7.7	0	9.86	0	0	0.01296	0.7596	0
