"gem2020"	"wijk2020"	"W"	"E"	"Verschilfactor_totaal"
"GM0014"	"WK001418"	4	1	1.066837875
"GM0014"	"WK001418"	4	2	1.018313302
"GM0014"	"WK001418"	5	0	0.927334359
"GM0014"	"WK001418"	5	1	0.927334359
"GM0014"	"WK001418"	5	2	0.927334359
"GM0014"	"WK001418"	6	0	0.996709895
"GM0014"	"WK001418"	6	1	0.996709895
"GM0014"	"WK001418"	6	2	0.996709895
"GM0014"	"WK001419"	1	0	1.084574735
"GM0014"	"WK001419"	1	1	1.083315905
"GM0014"	"WK001419"	1	2	1.083315905
"GM0014"	"WK001419"	2	0	1.015293486
"GM0014"	"WK001419"	2	1	1.014375706
"GM0014"	"WK001419"	2	2	1.014375706
"GM0014"	"WK001419"	3	0	1.061359088
"GM0014"	"WK001419"	3	1	1.061359088
"GM0014"	"WK001419"	3	2	1.061359088
"GM0014"	"WK001419"	4	0	1.063057828
"GM0014"	"WK001419"	4	1	1.063057828
"GM0014"	"WK001419"	4	2	1.063057828
"GM0014"	"WK001419"	5	0	1.061359088
"GM0014"	"WK001419"	5	1	1.061359088
"GM0014"	"WK001419"	5	2	1.061359088
"GM0014"	"WK001419"	6	0	1.061359088
"GM0014"	"WK001419"	6	1	1.061359088
"GM0014"	"WK001419"	6	2	1.061359088
"GM0024"	"WK002400"	1	0	0.928745286
"GM0024"	"WK002400"	1	1	0.93076933
"GM0024"	"WK002400"	1	2	0.93076933
"GM0024"	"WK002400"	2	0	0.92787978
"GM0024"	"WK002400"	2	1	0.968831759
"GM0024"	"WK002400"	2	2	1.036024353
"GM0024"	"WK002400"	3	0	1.070119465
"GM0024"	"WK002400"	3	1	1.070119465
"GM0024"	"WK002400"	3	2	1.070119465
"GM0024"	"WK002400"	4	0	1.059503645
"GM0024"	"WK002400"	4	1	1.059503645
"GM0024"	"WK002400"	4	2	1.059503645
"GM0024"	"WK002400"	5	0	0.969962194
"GM0024"	"WK002400"	5	1	0.969962194
"GM0024"	"WK002400"	5	2	0.980162258
"GM0024"	"WK002400"	6	0	0.95404095
"GM0024"	"WK002400"	6	1	0.95404095
"GM0024"	"WK002400"	6	2	0.95404095
"GM0024"	"WK002401"	1	0	0.976338049
"GM0024"	"WK002401"	1	1	0.978915553
"GM0024"	"WK002401"	1	2	0.978915553
"GM0024"	"WK002401"	2	0	1.040608692
"GM0024"	"WK002401"	2	1	1.040608692
"GM0024"	"WK002401"	2	2	1.088768003
"GM0024"	"WK002401"	3	0	0.999569063
"GM0024"	"WK002401"	3	1	0.999569063
"GM0024"	"WK002401"	3	2	0.999569063
"GM0024"	"WK002401"	4	0	0.999569063
"GM0024"	"WK002401"	4	1	0.999569063
"GM0024"	"WK002401"	4	2	0.999569063
"GM0024"	"WK002401"	5	0	0.999569063
"GM0024"	"WK002401"	5	1	0.999569063
"GM0024"	"WK002401"	5	2	0.999569063
"GM0024"	"WK002401"	6	0	0.999569063
"GM0024"	"WK002401"	6	1	0.999569063
"GM0024"	"WK002401"	6	2	0.999569063
"GM0024"	"WK002402"	1	0	0.919332757
"GM0024"	"WK002402"	1	1	0.930100603
