type_str	bouwjaar_str	eigendom_str	Vrv_N_asl	Vrv_N_opp	Vrv_G_asl	Vrv_G_opp	Vrv_F_asl	Vrv_F_opp	Vrv_E_asl	Vrv_E_opp	Vrv_D_asl	Vrv_D_opp	Vrv_C_asl	Vrv_C_opp	Vrv_B_asl	Vrv_B_opp	Vrv_A_asl	Vrv_A_opp	Vvt_asl	Vvt_opp	Vtw_asl	Vtw_opp	Vea_asl	Vea_opp	Vkd_asl	Vkd_opp
Vrijstaand	2021 - 2030	wooncorp	15,033410024	0,150069434	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	0	0	7,066666667	0	11,082384	0	0	0,01296
Vrijstaand	2031 - 2040	koop	15,033410024	0,150069434	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	0	0	7,066666667	0	11,082384	0	0	0,01296
Vrijstaand	2031 - 2040	parthuur	12,285476028	0,163670338	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	0	0	7,066666667	0	11,082384	0	0	0,01296
Vrijstaand	2031 - 2040	wooncorp	15,033410024	0,150069434	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	0	0	7,066666667	0	11,082384	0	0	0,01296
Vrijstaand	2041 - 2050	koop	15,033410024	0,150069434	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	0	0	7,066666667	0	11,082384	0	0	0,01296
Vrijstaand	2041 - 2050	parthuur	12,285476028	0,163670338	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	0	0	7,066666667	0	11,082384	0	0	0,01296
Vrijstaand	2041 - 2050	wooncorp	15,033410024	0,150069434	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	0	0	7,066666667	0	11,082384	0	0	0,01296
2 onder 1 kap	voor 1930	koop	32,162278244	0,169368014	27,349396188	0,212468176	31,850376432	0,212468176	28,981780362	0,212468176	27,250881532	0,212468176	25,702859722	0,212468176	25,702859722	0,212468176	25,702859722	0,212468176	0	0,0078	7,5	0	9,9	0	0	0,01296
2 onder 1 kap	voor 1930	parthuur	33,696423456	0,163486542	22,676199092	0,254465562	20,255513874	0,254465562	17,834828656	0,254465562	17,834828656	0,254465562	17,834828656	0,254465562	17,834828656	0,254465562	17,834828656	0,254465562	0	0,0078	7,5	0	9,9	0	0	0,01296
2 onder 1 kap	voor 1930	wooncorp	13,969598776	0,341033478	34,877956042	0,127094934	32,376951972	0,127094934	32,245445934	0,127094934	27,353623496	0,127094934	23,486923248	0,127094934	22,69834651	0,127094934	22,25907407	0,127094934	0	0,0078	7,5	0	9,9	0	0	0,01296
2 onder 1 kap	1930 - 1945	koop	30,390392906	0,191883024	25,802385256	0,223220242	25,477617724	0,223220242	27,81568664	0,223220242	30,472365922	0,223220242	22,778389668	0,223220242	22,778389668	0,223220242	22,778389668	0,223220242	0	0,0078	7,5	0	9,9	0	0	0,01296
2 onder 1 kap	1930 - 1945	parthuur	31,99658615	0,202726988	34,662822824	0,19620223	34,662822824	0,19620223	34,662822824	0,19620223	34,662822824	0,19620223	34,662822824	0,19620223	34,662822824	0,19620223	34,662822824	0,19620223	0	0,0078	7,5	0	9,9	0	0	0,01296
2 onder 1 kap	1930 - 1945	wooncorp	31,707475042	0,149609944	37,366921474	0,086476018	39,672090906	0,086476018	35,093456852	0,086476018	31,98372043	0,086476018	30,304927766	0,086476018	30,727290974	0,086476018	23,262416434	0,086476018	0	0,0078	7,5	0	9,9	0	0	0,01296
2 onder 1 kap	1946 - 1964	koop	31,698193344	0,162751358	18,03727995	0,248675988	18,988975638	0,248675988	22,344263516	0,248675988	17,574481622	0,248675988	18,307276274	0,248675988	18,307276274	0,248675988	18,307276274	0,248675988	0	0,0095	7,5	0	9,9	0	0	0,01296
2 onder 1 kap	1946 - 1964	parthuur	33,688795922	0,17322773	39,176944482	0,125532668	40,223111314	0,125532668	35,652196692	0,125532668	35,652196692	0,125532668	35,652196692	0,125532668	35,652196692	0,125532668	35,652196692	0,125532668	0	0,0095	7,5	0	9,9	0	0	0,01296
2 onder 1 kap	1946 - 1964	wooncorp	31,70389102	0,117997032	35,085186032	0,125808362	35,450940072	0,125808362	32,044740702	0,125808362	27,737205748	0,125808362	24,397448632	0,125808362	24,020483036	0,125808362	20,391431016	0,125808362	0	0,0095	7,5	0	9,9	0	0	0,01296
2 onder 1 kap	1965 - 1974	koop	26,04343371	0,200980926	31,818212132	0,185450164	31,818212132	0,185450164	31,818212132	0,185450164	23,948067412	0,185450164	20,804144934	0,185450164	20,804144934	0,185450164	20,804144934	0,185450164	0	0,0106	8,2	0	9,77	0	0	0,01296
2 onder 1 kap	1965 - 1974	parthuur	36,453914844	0,155399518	25,073634116	0,20906795	25,073634116	0,20906795	25,073634116	0,20906795	25,073634116	0,20906795	18,77613987	0,20906795	18,77613987	0,20906795	18,77613987	0,20906795	0	0,0106	8,2	0	9,77	0	0	0,01296
2 onder 1 kap	1965 - 1974	wooncorp	20,215630142	0,178925406	33,985902156	0,147771984	32,91189023	0,147771984	30,001112978	0,147771984	27,663503552	0,147771984	22,925426468	0,147771984	20,54931178	0,147771984	19,70568814	0,147771984	0	0,0106	8,2	0	9,77	0	0	0,01296
2 onder 1 kap	1975 - 1991	koop	18,774577604	0,211181604	8,234887882	0,294257396	8,234887882	0,294257396	8,234887882	0,294257396	8,234887882	0,294257396	8,234887882	0,294257396	5,382833452	0,294257396	5,382833452	0,294257396	0	0,0072	8,2	0	9,77	0	0	0,01296
2 onder 1 kap	1975 - 1991	parthuur	26,610536268	0,176168466	25,067385052	0,18333651	25,067385052	0,18333651	25,067385052	0,18333651	25,067385052	0,18333651	25,067385052	0,18333651	15,192209768	0,18333651	15,192209768	0,18333651	0	0,0072	8,2	0	9,77	0	0	0,01296
2 onder 1 kap	1975 - 1991	wooncorp	18,317017462	0,180487672	33,717927588	0,153193966	33,717927588	0,153193966	33,717927588	0,153193966	29,381996152	0,153193966	24,998921042	0,153193966	20,864338124	0,153193966	17,215436136	0,153193966	0	0,0072	8,2	0	9,77	0	0	0,01296
2 onder 1 kap	1992 - 1995	koop	17,621717194	0,183244612	33,150549336	0,061755456	33,150549336	0,061755456	33,150549336	0,061755456	33,150549336	0,061755456	33,150549336	0,061755456	33,150549336	0,061755456	33,150549336	0,061755456	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	1992 - 1995	parthuur	27,238475302	0,148599066	-16,10834093	0,412254428	-16,10834093	0,412254428	-16,10834093	0,412254428	-16,10834093	0,412254428	-16,10834093	0,412254428	-16,10834093	0,412254428	-16,10834093	0,412254428	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	1992 - 1995	wooncorp	17,621717194	0,183244612	23,983723836	0,084638058	23,983723836	0,084638058	23,983723836	0,084638058	23,983723836	0,084638058	23,983723836	0,084638058	23,983723836	0,084638058	22,59679922	0,084638058	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	1996 - 1999	koop	16,133337186	0,178649712	26,623126294	0,023342092	26,623126294	0,023342092	26,623126294	0,023342092	26,623126294	0,023342092	26,623126294	0,023342092	26,623126294	0,023342092	26,661080168	0,023342092	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	1996 - 1999	parthuur	27,067728818	0,131597936	21,311881384	0,144096064	21,311881384	0,144096064	21,311881384	0,144096064	21,311881384	0,144096064	21,311881384	0,144096064	21,311881384	0,144096064	21,311881384	0,144096064	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	1996 - 1999	wooncorp	16,133337186	0,178649712	26,623126294	0,023342092	26,623126294	0,023342092	26,623126294	0,023342092	26,623126294	0,023342092	26,623126294	0,023342092	26,623126294	0,023342092	26,661080168	0,023342092	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	2000 - 2005	koop	15,917101192	0,157972662	17,777484304	0,130862752	17,777484304	0,130862752	17,777484304	0,130862752	17,777484304	0,130862752	17,777484304	0,130862752	17,777484304	0,130862752	17,777484304	0,130862752	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	2000 - 2005	parthuur	23,20470449	0,124889382	14,232335158	0,13049516	14,232335158	0,13049516	14,232335158	0,13049516	14,232335158	0,13049516	14,232335158	0,13049516	14,232335158	0,13049516	14,232335158	0,13049516	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	2000 - 2005	wooncorp	15,917101192	0,157972662	19,143823768	0,092908878	19,143823768	0,092908878	19,143823768	0,092908878	19,143823768	0,092908878	19,143823768	0,092908878	19,143823768	0,092908878	19,143823768	0,092908878	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	2006 - 2010	koop	17,180422998	0,13830649	16,98229091	0,122316238	16,98229091	0,122316238	16,98229091	0,122316238	16,98229091	0,122316238	16,98229091	0,122316238	16,98229091	0,122316238	16,98229091	0,122316238	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	2006 - 2010	parthuur	18,840652266	0,156502294	22,110107412	0,087211202	22,110107412	0,087211202	22,110107412	0,087211202	22,110107412	0,087211202	22,110107412	0,087211202	22,110107412	0,087211202	22,110107412	0,087211202	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	2006 - 2010	wooncorp	9,743761144	0,167070564	22,58347401	0,05651727	22,58347401	0,05651727	22,58347401	0,05651727	22,58347401	0,05651727	22,58347401	0,05651727	22,58347401	0,05651727	22,58347401	0,05651727	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	2011 - 2014	koop	14,38019904	0,138490286	6,435800736	0,154480538	6,435800736	0,154480538	6,435800736	0,154480538	6,435800736	0,154480538	6,435800736	0,154480538	6,435800736	0,154480538	6,435800736	0,154480538	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	2011 - 2014	parthuur	17,736497796	0,126911138	10,545938786	0,129943772	10,545938786	0,129943772	10,545938786	0,129943772	10,545938786	0,129943772	10,545938786	0,129943772	10,545938786	0,129943772	10,545938786	0,129943772	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	2011 - 2014	wooncorp	14,38019904	0,138490286	33,217726774	-0,052749452	33,217726774	-0,052749452	33,217726774	-0,052749452	33,217726774	-0,052749452	33,217726774	-0,052749452	33,217726774	-0,052749452	33,217726774	-0,052749452	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	2015 - 2020	koop	12,677512896	0,133435896	7,568811178	0,158707846	7,568811178	0,158707846	7,568811178	0,158707846	7,568811178	0,158707846	7,568811178	0,158707846	7,568811178	0,158707846	7,568811178	0,158707846	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	2015 - 2020	parthuur	6,678870946	0,178465916	1,099927162	0,18747192	1,099927162	0,18747192	1,099927162	0,18747192	1,099927162	0,18747192	1,099927162	0,18747192	1,099927162	0,18747192	1,099927162	0,18747192	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	2015 - 2020	wooncorp	12,677512896	0,133435896	13,716052194	0,073334604	13,716052194	0,073334604	13,716052194	0,073334604	13,716052194	0,073334604	13,716052194	0,073334604	13,716052194	0,073334604	13,716052194	0,073334604	0	0	8,6	0	9,68	0	0	0,01296
2 onder 1 kap	2021 - 2030	koop	12,677512896	0,133435896	7,568811178	0,158707846	7,568811178	0,158707846	7,568811178	0,158707846	7,568811178	0,158707846	7,568811178	0,158707846	7,568811178	0,158707846	7,568811178	0,158707846	0	0	5,733333333	0	11,485584	0	0	0,01296
2 onder 1 kap	2021 - 2030	parthuur	6,678870946	0,178465916	1,099927162	0,18747192	1,099927162	0,18747192	1,099927162	0,18747192	1,099927162	0,18747192	1,099927162	0,18747192	1,099927162	0,18747192	1,099927162	0,18747192	0	0	5,733333333	0	11,485584	0	0	0,01296
2 onder 1 kap	2021 - 2030	wooncorp	12,677512896	0,133435896	13,716052194	0,073334604	13,716052194	0,073334604	13,716052194	0,073334604	13,716052194	0,073334604	13,716052194	0,073334604	13,716052194	0,073334604	13,716052194	0,073334604	0	0	5,733333333	0	11,485584	0	0	0,01296
