type_str;bouwjaar_str;Default_label;Vrv_N_asl;Vrv_N_opp;Vrv_G_asl;Vrv_G_opp;Vrv_F_asl;Vrv_F_opp;Vrv_E_asl;Vrv_E_opp;Vrv_D_asl;Vrv_D_opp;Vrv_C_asl;Vrv_C_opp;Vrv_B_asl;Vrv_B_opp;Vrv_A_asl;Vrv_A_opp;Vvent_asl;Vvent_opp;Vww_asl;Vww_opp;Ve_asl;Ve_opp;Vk_asl;Vk_opp;Ki_SGD_min_asl;Ki_SGD_min_opp;Ki_SGD_max_asl;Ki_SGD_max_opp;Ki_SFD_min_asl;Ki_SFD_min_opp;Ki_SFD_max_asl;Ki_SFD_max_opp;Ki_SED_min_asl;Ki_SED_min_opp;Ki_SED_max_asl;Ki_SED_max_opp;Ki_SGC_min_asl;Ki_SGC_min_opp;Ki_SGC_max_asl;Ki_SGC_max_opp;Ki_SFC_min_asl;Ki_SFC_min_opp;Ki_SFC_max_asl;Ki_SFC_max_opp;Ki_SEC_min_asl;Ki_SEC_min_opp;Ki_SEC_max_asl;Ki_SEC_max_opp;Ki_SDC_min_asl;Ki_SDC_min_opp;Ki_SDC_max_asl;Ki_SDC_max_opp;Ki_SGB_min_asl;Ki_SGB_min_opp;Ki_SGB_max_asl;Ki_SGB_max_opp;Ki_SFB_min_asl;Ki_SFB_min_opp;Ki_SFB_max_asl;Ki_SFB_max_opp;Ki_SEB_min_asl;Ki_SEB_min_opp;Ki_SEB_max_asl;Ki_SEB_max_opp;Ki_SDB_min_asl;Ki_SDB_min_opp;Ki_SDB_max_asl;Ki_SDB_max_opp;Ki_SCB_min_asl;Ki_SCB_min_opp;Ki_SCB_max_asl;Ki_SCB_max_opp
meergezins: laag en midden;1946 - 1964;D;14.04013925;0.176721097;15.38410356;0.182319903;16.3199206;0.172014597;14.70597411;0.174944575;13.93100898;0.171094648;12.52777715;0.162928898;10.23761413;0.159346216;8.246640106;0.156223689;0;0.00646244;6.35;0;8.34;0;0;0.01917;4497;30;4497;30;-910;70;-910;70;2245;10;2245;10;-2092;178;-2092;178;9230;2;9230;2;5274;32;5274;32;1758;12;1758;12;26168;22;26168;22;11837;121;11837;121;9238;108;9238;108;4859;156;4859;156;11450;6;11450;6
meergezins: laag en midden;1965 - 1974;D;12.29949488;0.173806835;15.11320383;0.172066544;16.37444004;0.166680726;15.78522199;0.165287272;13.35739879;0.167414139;11.32548849;0.166954307;9.902015429;0.159961082;7.114365029;0.162594893;0;0.004827624;7.3;0;8.29;0;0;0.01917;-978;161;-978;161;-1105;95;-1105;95;180;53;180;53;16315;9;16315;9;6072;42;6072;42;1140;90;1140;90;-1067;61;-1067;61;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;3757;152;3757;152;5312;75;5312;75
meergezins: laag en midden;1975 - 1991;C;9.063820076;0.174982637;17.13382045;0.187510024;17.89279464;0.180072609;12.94337875;0.174698131;12.2540525;0.173933549;9.297724204;0.172438032;8.584399648;0.166355796;7.517498009;0.166127384;0;0.002521148;7.3;0;8.3;0;0;0.01917;-978;161;-978;161;2372;57;2372;57;4862;2;4862;2;8779;88;8779;88;6072;42;6072;42;5238;45;5238;45;1814;31;1814;31;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;9681;32;9681;32;11221;1;11221;1
meergezins: laag en midden;1992 - 1995;B;7.023680847;0.160866288;20.13847677;0.177689808;13.7607652;0.177112769;14.85753955;0.159262884;12.18639647;0.147410892;6.387385633;0.160844377;7.676958868;0.152496369;7.331523804;0.146511672;0;0;7.7;0;8.26;0;0;0.01917;-978;161;-978;161;2372;57;2372;57;4862;2;4862;2;8779;88;8779;88;6072;42;6072;42;5238;45;5238;45;1814;31;1814;31;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;5417;118;5417;118;9194;25;9194;25
meergezins: laag en midden;1996 - 1999;B;6.838154651;0.148795247;24.59669302;0.158687678;20.17209642;0.158416239;19.28685094;0.135789199;13.82284063;0.139030538;5.584212921;0.148599012;7.116454456;0.141703991;7.437259319;0.129856539;0;0;7.7;0;8.26;0;0;0.01917;10071;0;10071;0;830;66;830;66;-168;57;-168;57;12807;23;12807;23;7950;20;7950;20;5710;33;5710;33;1944;19;1944;19;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;9524;75;9524;75;7171;39;7171;39
meergezins: laag en midden;2000 - 2005;B;6.114686771;0.13597101;25.87465565;0.141099437;18.16315083;0.140659053;18.42354064;0.123820665;17.23042887;0.12178681;4.85867448;0.140252596;4.847968514;0.141801007;7.00848317;0.120381847;0;0;7.7;0;8.26;0;0;0.01917;10071;0;10071;0;830;66;830;66;-168;57;-168;57;12807;23;12807;23;7950;20;7950;20;5710;33;5710;33;1944;19;1944;19;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;9524;75;9524;75;7171;39;7171;39
meergezins: laag en midden;2006 - 2010;A;6.636005366;0.122256656;18.88357103;0.12132193;17.32938268;0.129781618;19.41159788;0.134504917;16.32132831;0.126647653;11.25509763;0.108489426;6.600232028;0.12233943;6.256417715;0.122072033;0;0;7.7;0;8.26;0;0;0.01917;10071;0;10071;0;830;66;830;66;-168;57;-168;57;12807;23;12807;23;7950;20;7950;20;5710;33;5710;33;1944;19;1944;19;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;9524;75;9524;75;7171;39;7171;39
meergezins: laag en midden;2011 - 2014;A;6.305757752;0.115720041;23.10423488;0.125407582;17.50731217;0.12505532;13.56157682;0.124710409;19.20736772;0.132425324;14.05576145;0.106437905;8.071506333;0.112978034;6.444773018;0.113220872;0;0;7.7;0;8.26;0;0;0.01917;10071;0;10071;0;830;66;830;66;-168;57;-168;57;12807;23;12807;23;7950;20;7950;20;5710;33;5710;33;1944;19;1944;19;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;9524;75;9524;75;7171;39;7171;39
meergezins: laag en midden;2015 - 2020;A;7.129092155;0.105628486;29.3515673;0.09860635;27.06394895;0.079191625;24.24918076;0.083578032;22.80497294;0.073356612;11.4516379;0.102420406;8.859649658;0.079968782;6.529283272;0.104432513;0;0;7.7;0;8.26;0;0;0.01917;10071;0;10071;0;830;66;830;66;-168;57;-168;57;12807;23;12807;23;7950;20;7950;20;5710;33;5710;33;1944;19;1944;19;26168;22;26168;22;11509;132;11509;132;5751;152;5751;152;9524;75;9524;75;7171;39;7171;39
meergezins: hoog;voor 1930;E;10.3336577;0.214226561;9.7956525;0.227113456;9.97726472;0.22061984;9.28685957;0.216599014;8.722960274;0.21252551;7.968134429;0.203023131;7.222656906;0.198951683;5.301596359;0.199380185;0;0.007174355;7.7;0;8.28;0;0;0.01917;10071;0;10071;0;-910;70;-910;70;-168;57;-168;57;12405;18;12405;18;11121;16;11121;16;-1165;101;-1165;101;1575;18;1575;18;26168;22;26168;22;9983;149;9983;149;1466;208;1466;208;12636;55;12636;55;8313;74;8313;74
