gem2020,wijk2020,W,E,Verschilfactor totaal
GM0034,WK003401,6,2,1.0110
GM0034,WK003402,1,0,1.0061
GM0034,WK003403,1,0,1.0299
GM0034,WK003403,1,1,1.0102
GM0034,WK003403,2,0,1.0302
GM0034,WK003403,2,1,1.0119
GM0034,WK003403,2,2,1.0119
GM0034,WK003403,3,0,0.9497
GM0034,WK003403,3,1,0.9699
GM0034,WK003403,3,2,1.0030
GM0034,WK003403,4,0,0.9210
GM0034,WK003403,4,1,0.9834
GM0034,WK003403,4,2,0.9638
GM0034,WK003403,5,0,1.0841
GM0034,WK003403,5,1,1.0081
GM0034,WK003403,5,2,1.0489
GM0034,WK003403,6,0,1.0945
GM0034,WK003403,6,1,1.1546
GM0034,WK003403,6,2,1.0744
GM0034,WK003405,1,0,1.1211
GM0034,WK003405,1,1,1.0766
GM0034,WK003405,2,0,1.2177
GM0034,WK003405,2,1,1.1248
GM0034,WK003405,3,0,1.0143
GM0034,WK003405,3,2,1.0143
GM0034,WK003405,4,0,1.0179
GM0034,WK003405,4,1,1.0237
GM0034,WK003405,4,2,1.0237
GM0034,WK003405,5,0,1.0370
GM0034,WK003405,6,0,1.0370
GM0034,WK003405,6,2,1.0370
GM0037,WK003701,1,0,1.3893
GM0037,WK003701,1,1,1.2893
GM0037,WK003701,1,2,1.2893
GM0037,WK003701,2,0,1.3728
GM0037,WK003701,2,1,1.2891
GM0037,WK003701,2,2,1.4762
GM0037,WK003701,3,0,1.4734
GM0037,WK003701,3,1,1.3307
GM0037,WK003701,3,2,1.4929
GM0037,WK003701,4,0,1.5875
GM0037,WK003701,4,1,1.5264
GM0037,WK003701,4,2,1.6084
GM0037,WK003701,5,0,1.5487
GM0037,WK003701,5,1,1.3954
GM0037,WK003701,5,2,1.4363
GM0037,WK003701,6,0,1.2098
GM0037,WK003701,6,1,1.2655
GM0037,WK003701,6,2,1.2068
GM0037,WK003702,1,0,1.3413
GM0037,WK003702,1,1,1.2741
GM0037,WK003702,1,2,1.2741
GM0037,WK003702,2,0,1.5385
GM0037,WK003702,2,1,1.3641
GM0037,WK003702,2,2,1.5601
GM0037,WK003702,3,0,1.4831
GM0037,WK003702,3,1,1.3532
GM0037,WK003702,3,2,1.5425
GM0037,WK003702,4,0,1.8238
GM0037,WK003702,4,1,1.4719
GM0037,WK003702,4,2,1.7516
GM0037,WK003702,5,0,1.3484
GM0037,WK003702,5,1,1.3484
GM0037,WK003702,5,2,1.5205
GM0037,WK003702,6,1,1.0733
GM0037,WK003702,6,2,0.9428
GM0037,WK003703,1,0,1.1667
GM0037,WK003703,1,1,1.1357
GM0037,WK003703,2,0,1.4869
GM0037,WK003703,2,1,1.2991
GM0037,WK003703,2,2,1.2991
GM0037,WK003703,3,0,1.3116
GM0037,WK003703,3,1,1.3116
GM0037,WK003703,3,2,1.4579
GM0037,WK003703,4,0,1.8918
GM0037,WK003703,4,1,1.4315
GM0037,WK003703,4,2,1.6388
GM0037,WK003703,5,1,1.1602
GM0037,WK003703,5,2,1.1602
GM0037,WK003704,1,0,1.0335
GM0037,WK003704,1,1,1.0822
GM0037,WK003704,2,0,1.7757
GM0037,WK003704,2,1,1.4147
GM0037,WK003704,2,2,1.4147
GM0037,WK003704,3,0,1.1273
GM0037,WK003704,3,2,1.1273
GM0037,WK003704,4,0,1.1273
GM0037,WK003704,4,1,1.1273
GM0037,WK003704,4,2,1.1273
GM0037,WK003704,5,0,1.1273
GM0037,WK003705,1,0,1.2267
GM0037,WK003705,1,1,1.1948
GM0037,WK003705,2,0,1.1633
GM0037,WK003705,2,2,1.1633
GM0037,WK003705,3,0,1.1633
GM0037,WK003705,3,2,1.1633
GM0037,WK003705,4,0,1.1633
GM0037,WK003705,4,2,1.1633
GM0037,WK003705,5,0,1.1633
GM0047,WK004700,1,0,1.2626
GM0047,WK004700,1,1,1.2150
GM0047,WK004700,1,2,1.2150
GM0047,WK004700,2,0,1.2871
GM0047,WK004700,2,1,1.2291
GM0047,WK004700,2,2,1.2291
GM0047,WK004700,3,0,1.3621
GM0047,WK004700,3,1,1.2247
GM0047,WK004700,3,2,1.4934
GM0047,WK004700,4,0,1.4920
GM0047,WK004700,4,1,1.4132
GM0047,WK004700,4,2,1.5156
GM0047,WK004700,5,0,1.2885
GM0047,WK004700,5,1,1.3261
GM0047,WK004700,5,2,1.3744
GM0047,WK004700,6,0,1.2696
GM0047,WK004700,6,1,1.2703
GM0047,WK004700,6,2,1.2714
GM0047,WK004701,1,0,1.2353
GM0047,WK004701,1,1,1.1839
GM0047,WK004701,2,0,1.1218
GM0047,WK004701,2,1,1.1263
GM0047,WK004701,2,2,1.1263
GM0047,WK004701,3,0,1.1329
GM0047,WK004701,3,1,1.1329
GM0047,WK004701,3,2,1.1329
GM0047,WK004701,4,0,1.1329
GM0047,WK004701,4,1,1.1329
GM0047,WK004701,4,2,1.1329
GM0047,WK004701,5,0,1.1329
GM0047,WK004702,1,0,1.2323
GM0047,WK004702,1,1,1.1899
GM0047,WK004702,1,2,1.1899
GM0047,WK004702,2,0,1.2746
