type_str	bouwjaar_str	Default_label	Vrv_asl	Vrv_opp	Vvt_asl	Vvt_opp	Vtw_asl	Vtw_opp	Vea_asl	Vea_opp	Vkd_asl	Vkd_opp	Vkk_asl	Vkk_opp
2 onder 1 kap	2031 - 2040	A	23.76	0	0	0	5.733333333	0	11.485584	0	0	0.01296	1.3	0
2 onder 1 kap	2041 - 2050	A	23.76	0	0	0	5.733333333	0	11.485584	0	0	0.01296	1.3	0
rijwoning hoek	voor 1930	E	22.68283449	0.164248207	0	0.008135673	7.1	0	9.98	0	0	0.01296	1.3	0
rijwoning hoek	1930 - 1945	E	29.32396665	0.14237355	0	0.008135673	7.1	0	9.98	0	0	0.01296	1.3	0
rijwoning hoek	1946 - 1964	E	23.64134841	0.155005394	0	0.007684654	6.4	0	10.13	0	0	0.01296	1.3	0
rijwoning hoek	1965 - 1974	D	21.72432057	0.167192214	0	0.007517702	7.3	0	9.94	0	0	0.01296	1.3	0
rijwoning hoek	1975 - 1991	C	25.42144569	0.146070675	0	0.003662524	7.3	0	9.94	0	0	0.01296	1.3	0
rijwoning hoek	1992 - 1995	B	25.42144569	0.146070675	0	0	7.7	0	9.86	0	0	0.01296	1.3	0
rijwoning hoek	1996 - 1999	B	25.42144569	0.146070675	0	0	7.7	0	9.86	0	0	0.01296	1.3	0
rijwoning hoek	2000 - 2005	A	25.42144569	0.146070675	0	0	7.7	0	9.86	0	0	0.01296	1.3	0
rijwoning hoek	2006 - 2010	A	25.42144569	0.146070675	0	0	7.7	0	9.86	0	0	0.01296	1.3	0
rijwoning hoek	2011 - 2014	A	25.42144569	0.146070675	0	0	7.7	0	9.86	0	0	0.01296	1.3	0
rijwoning hoek	2015 - 2020	A	25.42144569	0.146070675	0	0	7.7	0	9.86	0	0	0.01296	1.3	0
rijwoning hoek	2021 - 2030	A	20.52	0	0	0	5.133333333	0	11.667024	0	0	0.01296	1.3	0
rijwoning hoek	2031 - 2040	A	20.52	0	0	0	5.133333333	0	11.667024	0	0	0.01296	1.3	0
rijwoning hoek	2041 - 2050	A	20.52	0	0	0	5.133333333	0	11.667024	0	0	0.01296	1.3	0
rijwoning tussen	voor 1930	E	15.05058418	0.179242103	0	0.007035359	7.1	0	9.98	0	0	0.01296	1.3	0
rijwoning tussen	1930 - 1945	E	16.72798354	0.17660619	0	0.007035359	7.1	0	9.98	0	0	0.01296	1.3	0
rijwoning tussen	1946 - 1964	D	15.76946962	0.173456787	0	0.007829621	6.4	0	10.13	0	0	0.01296	1.3	0
rijwoning tussen	1965 - 1974	C	15.13434809	0.190299246	0	0.007632555	7.3	0	9.94	0	0	0.01296	1.3	0
rijwoning tussen	1975 - 1991	C	15.13434809	0.190299246	0	0.004510267	7.3	0	9.94	0	0	0.01296	1.3	0
rijwoning tussen	1992 - 1995	B	15.13434809	0.190299246	0	0	7.7	0	9.86	0	0	0.01296	1.3	0
rijwoning tussen	1996 - 1999	B	15.13434809	0.190299246	0	0	7.7	0	9.86	0	0	0.01296	1.3	0
rijwoning tussen	2000 - 2005	A	15.13434809	0.190299246	0	0	7.7	0	9.86	0	0	0.01296	1.3	0
rijwoning tussen	2006 - 2010	A	15.13434809	0.190299246	0	0	7.7	0	9.86	0	0	0.01296	1.3	0
rijwoning tussen	2011 - 2014	A	15.13434809	0.190299246	0	0	7.7	0	9.86	0	0	0.01296	1.3	0
rijwoning tussen	2015 - 2020	A	15.13434809	0.190299246	0	0	7.7	0	9.86	0	0	0.01296	1.3	0
rijwoning tussen	2021 - 2030	A	20.52	0	0	0	5.133333333	0	11.667024	0	0	0.01296	1.3	0
rijwoning tussen	2031 - 2040	A	20.52	0	0	0	5.133333333	0	11.667024	0	0	0.01296	1.3	0
rijwoning tussen	2041 - 2050	A	20.52	0	0	0	5.133333333	0	11.667024	0	0	0.01296	1.3	0
meergezins: laag en midden	voor 1930	E	9.017990222	0.220526667	0	0.007174355	5	0	8.41	0	0	0.01296	1.3	0
meergezins: laag en midden	1930 - 1945	E	9.394549262	0.220287038	0	0.007174355	5	0	8.41	0	0	0.01296	1.3	0
meergezins: laag en midden	1946 - 1964	D	12.43824377	0.169896592	0	0.00646244	5.3	0	8.34	0	0	0.01296	1.3	0
meergezins: laag en midden	1965 - 1974	D	13.54434802	0.167363377	0	0.004827624	5.6	0	8.29	0	0	0.01296	1.3	0
meergezins: laag en midden	1975 - 1991	C	12.03811186	0.183897742	0	0.002521148	5.5	0	8.3	0	0	0.01296	1.3	0
meergezins: laag en midden	1992 - 1995	B	12.03811186	0.183897742	0	0	5.7	0	8.26	0	0	0.01296	1.3	0
meergezins: laag en midden	1996 - 1999	B	12.03811186	0.183897742	0	0	5.7	0	8.26	0	0	0.01296	1.3	0
meergezins: laag en midden	2000 - 2005	B	12.03811186	0.183897742	0	0	5.7	0	8.26	0	0	0.01296	1.3	0
meergezins: laag en midden	2006 - 2010	A	12.03811186	0.183897742	0	0	5.7	0	8.26	0	0	0.01296	1.3	0
meergezins: laag en midden	2011 - 2014	A	12.03811186	0.183897742	0	0	5.7	0	8.26	0	0	0.01296	1.3	0
meergezins: laag en midden	2015 - 2020	A	12.03811186	0.183897742	0	0	5.7	0	8.26	0	0	0.01296	1.3	0
meergezins: laag en midden	2021 - 2030	A	13.32	0	0	0	3.8	0	9.978048	0	0	0.01296	1.3	0
meergezins: laag en midden	2031 - 2040	A	13.32	0	0	0	3.8	0	9.978048	0	0	0.01296	1.3	0
meergezins: laag en midden	2041 - 2050	A	13.32	0	0	0	3.8	0	9.978048	0	0	0.01296	1.3	0
meergezins: hoog	voor 1930	E	8.116656889	0.220526667	0	0.007174355	5.6	0	8.28	0	0	0.01296	1.3	0
meergezins: hoog	1930 - 1945	E	8.493215929	0.220287038	0	0.007174355	5.6	0	8.28	0	0	0.01296	1.3	0
meergezins: hoog	1946 - 1964	D	10.41024377	0.169896592	0	0.00646244	5.6	0	8.28	0	0	0.01296	1.3	0
meergezins: hoog	1965 - 1974	D	17.07457024	0.167363377	0	0.004827624	6.1	0	8.18	0	0	0.01296	1.3	0
meergezins: hoog	1975 - 1991	C	15.0425563	0.183897742	0	0.002521148	5.4	0	8.32	0	0	0.01296	1.3	0
meergezins: hoog	1992 - 1995	B	15.0425563	0.183897742	0	0	6	0	8.21	0	0	0.01296	1.3	0
meergezins: hoog	1996 - 1999	B	15.0425563	0.183897742	0	0	6	0	8.21	0	0	0.01296	1.3	0
meergezins: hoog	2000 - 2005	B	15.0425563	0.183897742	0	0	6	0	8.21	0	0	0.01296	1.3	0
meergezins: hoog	2006 - 2010	A	15.0425563	0.183897742	0	0	6	0	8.21	0	0	0.01296	1.3	0
meergezins: hoog	2011 - 2014	A	15.0425563	0.183897742	0	0	6	0	8.21	0	0	0.01296	1.3	0
meergezins: hoog	2015 - 2020	A	15.0425563	0.183897742	0	0	6	0	8.21	0	0	0.01296	1.3	0
