woningtype_str,bouwjaar_str,,V_WW,E_WW_GAS,E_WW_WARM,E_WW_ELEK,V_RV_vast,V_RV_var,V_RV_GL_vast,V_RV_GL_var,V_RV_CORR_vast,V_RV_CORR_var,V_P_ELEK,EG,E_RV_GAS,E_RV_WARM,E_RV_ELEK,V_KOU,E_KOU_ELEK,V_APP_ELEK,E_APP_ELEK,V_Vent,EnergieIndex,EnergieLabel,AC_WW,AC_RV,R_COLL,,MVA_EG_vast,MVA_eg_var,RB_FAC_A,MVA_EG_EUR_MIN_vast,MVA_EG_EUR_MIN_var,MVA_EG_EUR_MAX_vast,MVA_EG_EUR_MAX_var,MVB_EG_vast,MVB_EG_var,RB_FAC_B,MVB_EG_EUR_MIN_vast,MVB_EG_EUR_MIN_var,MVB_EG_EUR_MAX_vast,MVB_EG_EUR_MAX_var,MVC_EG_vast,MVC_EG_var,RB_FAC_C,MVC_EG_EUR_MIN_vast,MVC_EG_EUR_MIN_var,MVC_EG_EUR_MAX_vast,MVC_EG_EUR_MAX_var,MVD_EG_vast,MVD_EG_var,RB_FAC_D,MVD_EG_EUR_MIN_vast,MVD_EG_EUR_MIN_var,MVD_EG_EUR_MAX_vast,MVD_EG_EUR_MAX_var,MVE_EG_vast,MVE_EG_var,RB_FAC_E,MVE_EG_EUR_MIN_vast,MVE_EG_EUR_MIN_var,MVE_EG_EUR_MAX_vast,MVE_EG_EUR_MAX_var,MVF_EG_vast,MVF_EG_var,RB_FAC_F,MVF_EG_EUR_MIN_vast,MVF_EG_EUR_MIN_var,MVF_EG_EUR_MAX_vast,MVF_EG_EUR_MAX_var,MV_RV,K_LTAS_MIN,K_LTAS_MAX,VL_OPP_WON_MIN,VL_OPP_WON_MAX
rijwoning tussen,1965 - 1974,,7.7,0.72,1,nvt,22.93898549,0.067231768,27.41444092,0.073996314,9.598422591,0.140650855,0.01008,1,0.997710843,1,nvt,0.01296,nvt,9.94,1,0.007632555,2.18,D,4,7,0,,,,,,,,,12.08980022,0.125892239,0,10050.64516,0,13300.83761,0,10,0.108,0,18525.55467,0,38136.71184,0,,,,,,,,10,0.108,0,8302.951569,0,24608.30828,0,10,0.108,0,8302.951569,0,24608.30828,0,1.07,957.5098039,3221.918627,106,106
rijwoning tussen,1975 - 1991,,7.7,0.72,1,nvt,15.01826931,0.07997126,21.18638983,0.075001492,19.85523467,0.059014694,0.01008,1,0.997710843,1,nvt,0.01296,nvt,9.94,1,0.004510267,1.66,C,4,7,0,,,,,,,,,12.50162602,0.088777201,0,4268.847751,23.16745866,4832.361559,40.27192646,11,0.077,0,9862.443271,81.72813857,14908.34424,219.1336145,,,,,,,,11,0.077,0,5520.559187,58.16430451,9993.30511,178.1726698,11,0.077,0,5520.559187,58.16430451,9993.30511,178.1726698,1.07,957.5098039,3221.918627,106,106
rijwoning tussen,1992 - 2005,,7.7,0.72,1,nvt,8.171174086,0.107244357,16.56611869,0.070612104,10.59323377,0.090373345,0.01008,1,1.05,1,nvt,0.01296,nvt,9.86,1,0,1.37,B,4,7,0,,,,,,,,,,,,,,,,13,0.054,0,3690.801053,81.72813857,8311.801579,219.1336145,,,,,,,,13,0.054,0,3690.801053,81.72813857,8311.801579,219.1336145,13,0.054,0,3690.801053,81.72813857,8311.801579,219.1336145,1.07,957.5098039,3221.918627,114,114
rijwoning tussen,2006 - 2019,,7.7,0.72,1,nvt,9.744892821,0.069241749,12.39996073,0.063079882,8.305064464,0.088722615,0.01008,1,1.05,1,nvt,0.01296,nvt,9.86,1,0,0.9,A,4,7,0,,,,,,,,,,,,,,,,12,0.063,,,,,,,,,,,,,12,0.063,0,,,,,12,0.063,0,,,,,1.07,957.5098039,3221.918627,114,114
meergezins: laag en midden,voor 1946,,7.1,0.72,1,nvt,12.05004098,0.171592197,20.43749239,0.129279453,16.83441377,0.125376533,0.01008,1,0.951666667,1,nvt,0.01296,nvt,8.41,1,0.007174355,2.2,F,2,5,0,,9.331190249,0.173427925,0,2328.36576,0,2145.649736,4.944032112,6.909993237,0.159594094,0,6073.894363,36.533053,5832.21297,75.35563725,6,0.14,0,10425.52609,62.6731141,12071.4629,189.3455831,6.909993237,0.159594094,0,3727.938699,37.90444518,3668.97333,70.41160514,6,0.14,0,8057.323985,62.6731141,9889.102937,184.3169628,6,0.14,0,4247.712592,25.51501182,6139.465759,112.7006753,1.07,401.3392157,2014.845098,59,59
meergezins: laag en midden,1946 - 1964,,6.35,0.72,1,nvt,10.89933943,0.126957896,18.69222638,0.11789019,11.79148564,0.125579835,0.01008,1,0.94908046,1,nvt,0.01296,nvt,8.34,1,0.00646244,2.2,E,2,5,0,,9.98367768,0.100566421,0,-798.5180627,31.94642366,-3760.794772,81.18553963,8.539417697,0.09628001,0,2619.379104,55.43739526,1006.910877,114.8274989,7,0.082,0,3818.297741,162.7826346,-2248.041797,406.3077755,8.539417697,0.09628001,0,3385.926745,23.49097161,4735.735227,33.64195925,7,0.082,0,4630.477765,130.2896349,1577.096957,323.7332207,7,0.082,0,1154.103301,106.3967529,-3272.180057,289.5156764,1.07,401.3392157,2014.845098,66,66
meergezins: laag en midden,1965 - 1974,,7.3,0.72,1,nvt,11.966132,0.120281999,19.52703402,0.097636183,14.13184239,0.114538298,0.01008,1,0.958085106,1,nvt,0.01296,nvt,8.29,1,0.004827624,2.2,D,2,5,0,,,,,,,,,10.76187641,0.064514561,0,3771.867484,31.85046733,2594.768282,82.22724456,9,0.056,0,7232.405245,94.82731656,3449.097635,281.7235525,,,,,,,,9,0.056,0,3396.004334,62.43191498,809.9350872,198.0894702,9,0.056,0,3396.004334,62.43191498,809.9350872,198.0894702,1.07,401.3392157,2014.845098,71,71
meergezins: laag en midden,1975 - 1991,,7.3,0.72,1,nvt,15.11979141,0.056180182,15.1823456,0.105961967,10.74413055,0.127467683,0.01008,1,0.970434783,1,nvt,0.01296,nvt,8.3,1,0.002521148,1.35,C,2,5,0,,,,,,,,,12.30088901,0.062802733,0,4012.053809,9.962614722,5062.06357,25.14092026,10,0.052,0,10011.31147,55.12865622,19310.74038,122.4804644,,,,,,,,10,0.052,0,5930.614851,44.99558968,14162.06923,96.90940449,10,0.052,0,5930.614851,44.99558968,14162.06923,96.90940449,1.07,401.3392157,2014.845098,70,70
meergezins: laag en midden,1992 - 2005,,7.7,0.72,1,nvt,10.51266447,0.061370988,8.942446919,0.109616484,15.05821823,0.074057839,0.01008,1,0.997710843,1,nvt,0.01296,nvt,8.26,1,0,1.31,C,2,5,0,,,,,,,,,4.728190541,0.132852143,0,3181.030115,11.94650299,2976.209459,39.30568457,4,0.114,0,-442.78532,124.8187199,-1736.871186,276.1546453,,,,,,,,4,0.114,0,-399.6679026,112.6678225,-1485.428807,236.1764741,4,0.114,0,-399.6679026,112.6678225,-1485.428807,236.1764741,1.07,401.3392157,2014.845098,74,74
meergezins: laag en midden,2006 - 2019,,7.7,0.72,1,nvt,5.391908237,0.099192931,6.779027649,0.099978017,11.70897188,0.091470745,0.01008,1,0.997710843,1,nvt,0.01296,nvt,8.26,1,0,0.9,A,2,5,0,,,,,,,,,,,,,,,,7,0.1,,,,,,,,,,,,,7,0.1,0,,,,,7,0.1,0,,,,,1.07,401.3392157,2014.845098,74,74
meergezins: hoog,voor 1946,,7.7,0.72,1,nvt,11.76055082,0.18001662,19.50924331,0.129279453,16.7798153,0.13153197,0.01008,1,1.05,1,nvt,0.01296,nvt,8.28,1,0.007174355,2.09,F,2,5,0,,8.908216464,0.181942474,0,2328.36576,0,2145.649736,4.944032112,6.368149314,0.167429463,0,6073.894363,36.533053,5832.21297,75.35563725,6,0.146,0,9938.668478,56.38041414,11195.62593,163.7961746,6.368149314,0.167429463,0,3727.938699,37.90444518,3668.97333,70.41160514,6,0.146,0,7570.466371,56.38041414,9013.26596,158.7675543,6,0.146,0,3760.854978,19.22231186,5263.628782,87.15126687,1.07,401.3392157,2014.845098,72,72
meergezins: hoog,1946 - 1964,,7.7,0.72,1,nvt,12.1287086,0.14601471,18.26380373,0.11789019,13.154769,0.144429797,0.01008,1,1.05,1,nvt,0.01296,nvt,8.28,1,0.00646244,2.09,E,2,5,0,,11.0756029,0.115661784,0,-798.5180627,31.94642366,-3760.794772,81.18553963,9.414554561,0.110731968,0,2619.379104,55.43739526,1006.910877,114.8274989,8,0.096,0,3994.839516,146.4384287,-1191.671703,351.4825023,9.414554561,0.110731968,0,3385.926745,23.49097161,4735.735227,33.64195925,8,0.096,0,4807.019539,113.9454291,2633.46705,268.9079476,8,0.096,0,1330.645075,90.05254705,-2215.809964,234.6904032,1.07,401.3392157,2014.845098,72,72
meergezins: hoog,1965 - 1974,,4.95,0.72,1,nvt,10.83434185,0.116023683,18.7415925,0.097636183,12.92338009,0.110483325,0.01008,1,0.898392857,1,nvt,0.01296,nvt,8.18,1,0.004827624,2.09,D,2,5,0,,,,,,,,,9.672720246,0.062230566,0,3771.867484,31.85046733,2594.768282,82.22724456,8,0.054,0,7037.603185,83.66127771,3785.623746,237.132539,,,,,,,,8,0.054,0,3201.202275,51.26587613,1146.461198,153.4984566,8,0.054,0,3201.202275,51.26587613,1146.461198,153.4984566,1.07,401.3392157,2014.845098,82,82
meergezins: hoog,1975 - 1991,,5.3,0.72,1,nvt,15.41047407,0.056754255,15.32515315,0.105961967,10.99010083,0.128770202,0.01008,1,0.819491525,1,nvt,0.01296,nvt,8.32,1,0.002521148,1.84,C,2,5,0,,,,,,,,,12.56276692,0.063444479,0,4012.053809,9.962614722,5062.06357,25.14092026,11,0.054,0,9489.289617,48.63718583,13168.29773,103.0943392,,,,,,,,11,0.054,0,5408.592999,38.5041193,8019.626581,77.52327934,11,0.054,0,5408.592999,38.5041193,8019.626581,77.52327934,1.07,401.3392157,2014.845098,68,68
meergezins: hoog,1992 - 2005,,5.55,0.72,1,nvt,10.45424537,0.063149965,8.585428045,0.109616484,15.13156231,0.076204573,0.01008,1,0.928095238,1,nvt,0.01296,nvt,8.21,1,0,1.29,C,2,5,0,,,,,,,,,4.502095362,0.136703163,0,3141.978557,12.19282209,2854.322503,40.08587478,4,0.117,0,-762.8434389,115.4420533,-2237.291453,243.5200085,,,,,,,,4,0.117,0,-680.8532794,103.0406225,-1862.72369,202.7482987,4,0.117,0,-680.8532794,103.0406225,-1862.72369,202.7482987,1.07,401.3392157,2014.845098,79,79
meergezins: hoog,2006 - 2019,,5.5,0.72,1,nvt,5.014373468,0.099192931,6.422008775,0.099978017,11.33143712,0.091470745,0.01008,1,0.937297297,1,nvt,0.01296,nvt,8.21,1,0,0.9,A,2,5,0,,,,,,,,,,,,,,,,6,0.1,,,,,,,,,,,,,6,0.1,0,,,,,6,0.1,0,,,,,1.07,401.3392157,2014.845098,79,79
