type_str;bouwjaar_str;eigendom_str;Vrv_N_asl;Vrv_N_opp;Vrv_G_asl;Vrv_G_opp;Vrv_F_asl;Vrv_F_opp;Vrv_E_asl;Vrv_E_opp;Vrv_D_asl;Vrv_D_opp;Vrv_C_asl;Vrv_C_opp;Vrv_B_asl;Vrv_B_opp;Vrv_A_asl;Vrv_A_opp;Vvt_asl;Vvt_opp;Vtw_asl;Vtw_opp;Vea_asl;Vea_opp;Vkd_asl;Vkd_opp;freq_label_A;freq_label_B;freq_label_C;freq_label_D;freq_label_E;freq_label_F;freq_label_G;freq_LWP;freq_BWP;freq_HWP
2 onder 1 kap;1965 - 1974;wooncorp;18.19233737;0.161015394;30.58441381;0.132987985;29.61784185;0.132987985;26.99839998;0.132987985;24.89479953;0.132987985;20.63090269;0.132987985;18.49265872;0.132987985;17.73345571;0.132987985;0;0.0106;8.2;0;9.77;0;0;0.01296;0.02;0.02;0.53;0.38;0.04;0;0;0.0018;0;0.1732
2 onder 1 kap;1975 - 1991;koop;16.89553418;0.190023977;7.410715751;0.264840077;7.410715751;0.264840077;7.410715751;0.264840077;7.410715751;0.264840077;7.410715751;0.264840077;4.844106255;0.264840077;4.844106255;0.264840077;0;0.0072;8.2;0;9.77;0;0;0.01296;0.14;0.25;0.55;0.03;0.02;0;0;0.0016;0;0.0139
2 onder 1 kap;1975 - 1991;parthuur;23.94721627;0.158563857;22.55850091;0.164979919;22.55850091;0.164979919;22.55850091;0.164979919;22.55850091;0.164979919;22.55850091;0.164979919;13.67165002;0.164979919;13.67165002;0.164979919;0;0.0072;8.2;0;9.77;0;0;0.01296;0.14;0.25;0.55;0.03;0.02;0;0;0;0;0.0104
2 onder 1 kap;1975 - 1991;wooncorp;16.48378518;0.162448981;30.34326304;0.13783158;30.34326304;0.13783158;30.34326304;0.13783158;26.44131688;0.13783158;22.49686182;0.13783158;18.77611188;0.13783158;15.49243507;0.13783158;0;0.0072;8.2;0;9.77;0;0;0.01296;0.14;0.25;0.55;0.03;0.02;0;0;0.0015;0;0.1088
2 onder 1 kap;1992 - 1995;koop;15.85799411;0.164871418;29.8326792;0.055594216;29.8326792;0.055594216;29.8326792;0.055594216;29.8326792;0.055594216;29.8326792;0.055594216;29.8326792;0.055594216;29.8326792;0.055594216;0;0;8.6;0;9.68;0;0;0.01296;0.14;0.25;0.55;0.03;0.02;0;0;0.0016;0;0.0139
2 onder 1 kap;1992 - 1995;parthuur;24.51230563;0.13371266;36.19155674;0;36.19155674;0;36.19155674;0;36.19155674;0;36.19155674;0;36.19155674;0;36.19155674;0;0;0;8.6;0;9.68;0;0;0.01296;0.14;0.25;0.55;0.03;0.02;0;0;0;0;0.0104
2 onder 1 kap;1992 - 1995;wooncorp;15.85799411;0.164871418;21.58332865;0.076207507;21.58332865;0.076207507;21.58332865;0.076207507;21.58332865;0.076207507;21.58332865;0.076207507;21.58332865;0.076207507;20.33517742;0.076207507;0;0;8.6;0;9.68;0;0;0.01296;0.14;0.25;0.55;0.03;0.02;0;0;0.0015;0;0.1088
2 onder 1 kap;1996 - 1999;koop;14.51862535;0.160740889;23.9585657;0.020997931;23.9585657;0.020997931;23.9585657;0.020997931;23.9585657;0.020997931;23.9585657;0.020997931;23.9585657;0.020997931;23.99272428;0.020997931;0;0;8.6;0;9.68;0;0;0.01296;0.5;0.39;0.1;0.01;0;0;0;0.1184;0.0586;0.0141
2 onder 1 kap;1996 - 1999;parthuur;24.35861389;0.118444998;19.17886364;0.129702729;19.17886364;0.129702729;19.17886364;0.129702729;19.17886364;0.129702729;19.17886364;0.129702729;19.17886364;0.129702729;19.17886364;0.129702729;0;0;8.6;0;9.68;0;0;0.01296;0.5;0.39;0.1;0.01;0;0;0;0.5307;0.1042;0.0234
2 onder 1 kap;1996 - 1999;wooncorp;14.51862535;0.160740889;23.9585657;0.020997931;23.9585657;0.020997931;23.9585657;0.020997931;23.9585657;0.020997931;23.9585657;0.020997931;23.9585657;0.020997931;23.99272428;0.020997931;0;0;8.6;0;9.68;0;0;0.01296;0.5;0.39;0.1;0.01;0;0;0;0.1254;0.045;0.0049
