Jaar;P_CO2;RAT_CO2_KWH;P_CO2_KWH;KG_PC_COM_EXCL_CO2;KG_PC_CO2;KG_PC_DIS;KG_PC_TRANS;KG_PC_NET;KG_PC_SDE;KG_PC_BEL_EL;KG_PC_BTW;KG_P;KMG_PC_COM_EXCL_CO2;KMG_PC_CO2;KMG_PC_DIS;KMG_PC_TRANS;KMG_PC_NET;KMG_PC_SDE;KMG_PC_BEL_EL;KMG_PC_BTW;KMG_P;MMG_PC_COM_EXCL_CO2;MMG_PC_CO2;MMG_PC_DIS;MMG_PC_TRANS;MMG_PC_NET;MMG_PC_SDE;MMG_PC_BEL_EL;MMG_PC_BTW;MMG_P;GG_PC_COM_EXCL_CO2;GG_PC_CO2;GG_PC_DIS;GG_PC_TRANS;GG_PC_NET;GG_PC_SDE;GG_PC_BEL_EL;GG_PC_BTW;GG_P;;;;;;;;;
2020;3.7;0.206;0.001;0.063;0.001;0.000;0.000;0.000;0.024;0.092;0.038;0.218;0.063;0.001;0.028;0.000;0.028;0.019;0.046;0.000;0.157;0.063;0.001;0.021;0.000;0.021;0.013;0.012;0.000;0.110;0.063;0.001;0.017;0.000;0.017;0.013;0.001;0.000;0.095;;;;;;;;;
2021;7.0;0.192;0.001;0.065;0.001;0.000;0.000;0.000;0.023;0.092;0.038;0.219;0.065;0.001;0.028;0.000;0.028;0.018;0.046;0.000;0.158;0.065;0.001;0.021;0.000;0.021;0.012;0.012;0.000;0.112;0.065;0.001;0.017;0.000;0.017;0.012;0.001;0.000;0.096;;;;;;;;;
2022;10.4;0.177;0.002;0.067;0.002;0.000;0.000;0.000;0.025;0.092;0.039;0.224;0.067;0.002;0.028;0.000;0.028;0.019;0.046;0.000;0.162;0.067;0.002;0.021;0.000;0.021;0.013;0.012;0.000;0.115;0.067;0.002;0.017;0.000;0.017;0.013;0.001;0.000;0.100;;;;;;;;;
2023;13.7;0.163;0.002;0.069;0.002;0.000;0.000;0.000;0.027;0.092;0.040;0.230;0.069;0.002;0.028;0.000;0.028;0.021;0.046;0.000;0.166;0.069;0.002;0.021;0.000;0.021;0.015;0.012;0.000;0.119;0.069;0.002;0.017;0.000;0.017;0.015;0.001;0.000;0.103;;;;;;;;;
2024;17.0;0.148;0.003;0.071;0.003;0.000;0.000;0.000;0.034;0.092;0.042;0.241;0.071;0.003;0.028;0.000;0.028;0.026;0.046;0.000;0.174;0.071;0.003;0.021;0.000;0.021;0.018;0.012;0.000;0.125;0.071;0.003;0.017;0.000;0.017;0.018;0.001;0.000;0.110;;;;;;;;;
2025;20.4;0.133;0.003;0.073;0.003;0.000;0.000;0.000;0.034;0.092;0.042;0.245;0.073;0.003;0.028;0.000;0.028;0.027;0.046;0.000;0.176;0.073;0.003;0.021;0.000;0.021;0.019;0.012;0.000;0.127;0.073;0.003;0.017;0.000;0.017;0.019;0.001;0.000;0.112;;;;;;;;;
2026;23.7;0.119;0.003;0.075;0.003;0.000;0.000;0.000;0.035;0.092;0.043;0.247;0.075;0.003;0.028;0.000;0.028;0.027;0.046;0.000;0.179;0.075;0.003;0.021;0.000;0.021;0.019;0.012;0.000;0.130;0.075;0.003;0.017;0.000;0.017;0.019;0.001;0.000;0.114;;;;;;;;;
2027;27.0;0.104;0.003;0.077;0.003;0.000;0.000;0.000;0.035;0.092;0.043;0.250;0.077;0.003;0.028;0.000;0.028;0.027;0.046;0.000;0.181;0.077;0.003;0.021;0.000;0.021;0.019;0.012;0.000;0.132;0.077;0.003;0.017;0.000;0.017;0.019;0.001;0.000;0.116;;;;;;;;;
2028;30.4;0.090;0.003;0.079;0.003;0.000;0.000;0.000;0.035;0.092;0.044;0.253;0.079;0.003;0.028;0.000;0.028;0.027;0.046;0.000;0.183;0.079;0.003;0.021;0.000;0.021;0.019;0.012;0.000;0.134;0.079;0.003;0.017;0.000;0.017;0.019;0.001;0.000;0.118;;;;;;;;;
2029;33.7;0.075;0.003;0.081;0.003;0.000;0.000;0.000;0.037;0.092;0.045;0.257;0.081;0.003;0.028;0.000;0.028;0.029;0.046;0.000;0.186;0.081;0.003;0.021;0.000;0.021;0.020;0.012;0.000;0.137;0.081;0.003;0.017;0.000;0.017;0.020;0.001;0.000;0.121;;;;;;;;;
2030;37.0;0.061;0.002;0.083;0.002;0.000;0.000;0.000;0.039;0.092;0.045;0.262;0.083;0.002;0.028;0.000;0.028;0.030;0.046;0.000;0.190;0.083;0.002;0.021;0.000;0.021;0.021;0.012;0.000;0.139;0.083;0.002;0.017;0.000;0.017;0.021;0.001;0.000;0.124;;;;;;;;;
2031;42.6;0.059;0.003;0.084;0.003;0.000;0.000;0.000;0.039;0.092;0.046;0.264;0.084;0.003;0.028;0.000;0.028;0.030;0.046;0.000;0.191;0.084;0.003;0.021;0.000;0.021;0.021;0.012;0.000;0.141;0.084;0.003;0.017;0.000;0.017;0.021;0.001;0.000;0.125;;;;;;;;;
2032;48.1;0.058;0.003;0.084;0.003;0.000;0.000;0.000;0.039;0.092;0.046;0.264;0.084;0.003;0.028;0.000;0.028;0.030;0.046;0.000;0.191;0.084;0.003;0.021;0.000;0.021;0.021;0.012;0.000;0.141;0.084;0.003;0.017;0.000;0.017;0.021;0.001;0.000;0.125;;;;;;;;;
2033;53.7;0.057;0.003;0.085;0.003;0.000;0.000;0.000;0.039;0.092;0.046;0.265;0.085;0.003;0.028;0.000;0.028;0.030;0.046;0.000;0.193;0.085;0.003;0.021;0.000;0.021;0.021;0.012;0.000;0.142;0.085;0.003;0.017;0.000;0.017;0.021;0.001;0.000;0.127;;;;;;;;;
2034;59.2;0.055;0.003;0.085;0.003;0.000;0.000;0.000;0.039;0.092;0.046;0.266;0.085;0.003;0.028;0.000;0.028;0.030;0.046;0.000;0.193;0.085;0.003;0.021;0.000;0.021;0.021;0.012;0.000;0.142;0.085;0.003;0.017;0.000;0.017;0.021;0.001;0.000;0.127;;;;;;;;;
2035;64.8;0.054;0.004;0.086;0.004;0.000;0.000;0.000;0.039;0.092;0.046;0.267;0.086;0.004;0.028;0.000;0.028;0.030;0.046;0.000;0.194;0.086;0.004;0.021;0.000;0.021;0.021;0.012;0.000;0.144;0.086;0.004;0.017;0.000;0.017;0.021;0.001;0.000;0.128;;;;;;;;;
2036;70.3;0.053;0.004;0.086;0.004;0.000;0.000;0.000;0.039;0.092;0.046;0.267;0.086;0.004;0.028;0.000;0.028;0.030;0.046;0.000;0.194;0.086;0.004;0.021;0.000;0.021;0.021;0.012;0.000;0.144;0.086;0.004;0.017;0.000;0.017;0.021;0.001;0.000;0.128;;;;;;;;;
2037;75.9;0.052;0.004;0.087;0.004;0.000;0.000;0.000;0.039;0.092;0.047;0.269;0.087;0.004;0.028;0.000;0.028;0.030;0.046;0.000;0.195;0.087;0.004;0.021;0.000;0.021;0.021;0.012;0.000;0.145;0.087;0.004;0.017;0.000;0.017;0.021;0.001;0.000;0.130;;;;;;;;;
2038;81.4;0.050;0.004;0.087;0.004;0.000;0.000;0.000;0.039;0.092;0.047;0.269;0.087;0.004;0.028;0.000;0.028;0.030;0.046;0.000;0.196;0.087;0.004;0.021;0.000;0.021;0.021;0.012;0.000;0.145;0.087;0.004;0.017;0.000;0.017;0.021;0.001;0.000;0.130;;;;;;;;;
2039;87.0;0.049;0.004;0.087;0.004;0.000;0.000;0.000;0.039;0.092;0.047;0.269;0.087;0.004;0.028;0.000;0.028;0.030;0.046;0.000;0.196;0.087;0.004;0.021;0.000;0.021;0.021;0.012;0.000;0.145;0.087;0.004;0.017;0.000;0.017;0.021;0.001;0.000;0.130;;;;;;;;;
2040;92.5;0.048;0.004;0.088;0.004;0.000;0.000;0.000;0.039;0.092;0.047;0.271;0.088;0.004;0.028;0.000;0.028;0.030;0.046;0.000;0.197;0.088;0.004;0.021;0.000;0.021;0.021;0.012;0.000;0.147;0.088;0.004;0.017;0.000;0.017;0.021;0.001;0.000;0.131;;;;;;;;;
2041;98.1;0.046;0.005;0.088;0.005;0.000;0.000;0.000;0.039;0.092;0.047;0.271;0.088;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.197;0.088;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.147;0.088;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.131;;;;;;;;;
2042;103.6;0.045;0.005;0.089;0.005;0.000;0.000;0.000;0.039;0.092;0.047;0.272;0.089;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.198;0.089;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.148;0.089;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.132;;;;;;;;;
2043;109.2;0.044;0.005;0.089;0.005;0.000;0.000;0.000;0.039;0.092;0.047;0.272;0.089;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.198;0.089;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.148;0.089;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.133;;;;;;;;;
2044;114.7;0.043;0.005;0.090;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.274;0.090;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.199;0.090;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.149;0.090;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.134;;;;;;;;;
2045;120.3;0.042;0.005;0.090;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.274;0.090;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.200;0.090;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.149;0.090;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.134;;;;;;;;;
2046;125.8;0.041;0.005;0.091;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.275;0.091;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.201;0.091;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.150;0.091;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.135;;;;;;;;;
2047;131.4;0.040;0.005;0.091;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.275;0.091;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.201;0.091;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.150;0.091;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.135;;;;;;;;;
2048;136.9;0.039;0.005;0.092;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.277;0.092;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.202;0.092;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.151;0.092;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.136;;;;;;;;;
2049;142.5;0.038;0.005;0.092;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.277;0.092;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.202;0.092;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.152;0.092;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.136;;;;;;;;;
2050;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2051;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2052;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2053;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2054;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2055;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2056;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2057;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2058;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2059;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2060;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2061;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2062;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2063;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2064;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2065;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2066;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2067;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2068;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2069;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2070;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2071;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2072;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2073;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2074;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2075;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2076;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2077;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2078;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2079;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
2080;148.1;0.036;0.005;0.093;0.005;0.000;0.000;0.000;0.039;0.092;0.048;0.278;0.093;0.005;0.028;0.000;0.028;0.030;0.046;0.000;0.203;0.093;0.005;0.021;0.000;0.021;0.021;0.012;0.000;0.153;0.093;0.005;0.017;0.000;0.017;0.021;0.001;0.000;0.137;;;;;;;;;
