gem2020,wijk2020,W,E,Verschilfactor_totaal
GM0014,WK001413,6,1,0.995168195
GM0014,WK001413,6,2,0.995168195
GM0014,WK001414,1,0,0.842749139
GM0014,WK001414,1,1,0.884937155
GM0014,WK001414,1,2,0.884937155
GM0014,WK001414,2,0,0.934507682
GM0014,WK001414,2,1,0.934507682
GM0014,WK001414,2,2,0.934507682
GM0014,WK001414,3,0,0.934507682
GM0014,WK001414,3,1,0.934507682
GM0014,WK001414,3,2,0.934507682
GM0014,WK001414,4,0,0.934507682
GM0014,WK001414,4,1,0.934507682
GM0014,WK001414,4,2,0.934507682
GM0014,WK001414,5,0,0.934507682
GM0014,WK001414,5,1,0.934507682
GM0014,WK001414,5,2,0.934507682
GM0014,WK001414,6,0,0.934507682
GM0014,WK001414,6,1,0.934507682
GM0014,WK001414,6,2,0.934507682
GM0014,WK001415,1,0,0.748440598
GM0014,WK001415,1,1,0.836237185
GM0014,WK001415,1,2,0.836237185
GM0014,WK001415,2,0,0.746095229
GM0014,WK001415,2,1,0.84137753
GM0014,WK001415,2,2,0.807873038
GM0014,WK001415,3,0,0.906655035
GM0014,WK001415,3,1,0.936073021
GM0014,WK001415,3,2,1.013427231
GM0014,WK001415,4,0,0.958481406
GM0014,WK001415,4,1,0.955493156
GM0014,WK001415,4,2,1.037598115
GM0014,WK001415,5,0,1.004890025
GM0014,WK001415,5,1,1.004890025
GM0014,WK001415,5,2,1.119026621
GM0014,WK001415,6,0,0.922581152
GM0014,WK001415,6,1,0.922581152
GM0014,WK001415,6,2,0.922581152
GM0014,WK001416,1,0,0.807739466
GM0014,WK001416,1,1,0.874114513
GM0014,WK001416,1,2,0.874114513
GM0014,WK001416,2,0,0.957835206
GM0014,WK001416,2,1,0.957835206
GM0014,WK001416,2,2,0.957835206
GM0014,WK001416,3,0,0.942685689
GM0014,WK001416,3,1,0.942685689
GM0014,WK001416,3,2,0.942685689
GM0014,WK001416,4,0,0.942685689
GM0014,WK001416,4,1,0.942685689
GM0014,WK001416,4,2,0.942685689
GM0014,WK001416,5,0,0.942685689
GM0014,WK001416,5,1,0.942685689
GM0014,WK001416,5,2,0.942685689
GM0014,WK001416,6,0,0.942685689
GM0014,WK001416,6,1,0.942685689
GM0014,WK001416,6,2,0.942685689
GM0014,WK001417,1,0,1.304355777
GM0014,WK001417,1,1,1.168622147
GM0014,WK001417,1,2,1.168622147
GM0014,WK001417,2,0,1.261680974
GM0014,WK001417,2,1,1.148796169
GM0014,WK001417,2,2,1.148796169
GM0014,WK001417,3,0,1.188012925
GM0014,WK001417,3,1,1.106264338
GM0014,WK001417,3,2,1.106264338
GM0014,WK001417,4,0,1.360695662
GM0014,WK001417,4,1,1.313362461
GM0014,WK001417,4,2,1.195389928
GM0014,WK001417,5,0,1.08200163
GM0014,WK001417,5,1,1.013134941
GM0014,WK001417,5,2,1.102965297
GM0014,WK001417,6,0,1.026967798
GM0014,WK001417,6,1,1.049294851
GM0014,WK001417,6,2,1.049294851
GM0014,WK001418,1,0,0.913965834
GM0014,WK001418,1,1,0.9446796
GM0014,WK001418,1,2,0.9446796
GM0014,WK001418,2,0,0.924651518
GM0014,WK001418,2,1,0.957695276
GM0014,WK001418,2,2,0.957695276
GM0014,WK001418,3,0,1.006762054
GM0014,WK001418,3,1,0.99195666
GM0014,WK001418,3,2,0.99195666
GM0014,WK001418,4,0,0.994135327
GM0014,WK001418,4,1,1.062076329
GM0014,WK001418,4,2,1.016458119
GM0014,WK001418,5,0,0.912470998
GM0014,WK001418,5,1,0.912470998
GM0014,WK001418,5,2,0.912470998
GM0014,WK001418,6,0,0.975027498
GM0014,WK001418,6,1,0.975027498
GM0014,WK001418,6,2,0.975027498
