woningtype_str,bouwjaar_str,,V_WW,E_WW_GAS,E_WW_WARM,E_WW_ELEK,V_RV_vast,V_RV_var,V_RV_GL_vast,V_RV_GL_var,V_RV_CORR_vast,V_RV_CORR_var,V_P_ELEK,EG,E_RV_GAS,E_RV_WARM,E_RV_ELEK,V_KOU,E_KOU_ELEK,V_APP_ELEK,E_APP_ELEK,V_Vent,EnergieIndex,EnergieLabel,AC_WW,AC_RV,R_COLL,,,,,,MVA_EG_vast,MVA_eg_var,RB_FAC_A,MVA_EG_EUR_MIN_vast,MVA_EG_EUR_MIN_var,MVA_EG_EUR_MAX_vast,MVA_EG_EUR_MAX_var,MVB_EG_vast,MVB_EG_var,RB_FAC_B,MVB_EG_EUR_MIN_vast,MVB_EG_EUR_MIN_var,MVB_EG_EUR_MAX_vast,MVB_EG_EUR_MAX_var,MVC_EG_vast,MVC_EG_var,RB_FAC_C,MVC_EG_EUR_MIN_vast,MVC_EG_EUR_MIN_var,MVC_EG_EUR_MAX_vast,MVC_EG_EUR_MAX_var,MVD_EG_vast,MVD_EG_var,RB_FAC_D,MVD_EG_EUR_MIN_vast,MVD_EG_EUR_MIN_var,MVD_EG_EUR_MAX_vast,MVD_EG_EUR_MAX_var,MVE_EG_vast,MVE_EG_var,RB_FAC_E,MVE_EG_EUR_MIN_vast,MVE_EG_EUR_MIN_var,MVE_EG_EUR_MAX_vast,MVE_EG_EUR_MAX_var,MVF_EG_vast,MVF_EG_var,RB_FAC_F,MVF_EG_EUR_MIN_vast,MVF_EG_EUR_MIN_var,MVF_EG_EUR_MAX_vast,MVF_EG_EUR_MAX_var,MV_RV,K_LTAS_MIN,K_LTAS_MAX,VL_OPP_WON_MIN,VL_OPP_WON_MAX
rijwoning hoek,1965 - 1974,,7.7,0.72,1,nvt,27.30143287,0.075085179,31.22490464,0.082571559,12.26612818,0.157080425,0.01008,1,1.07,1,nvt,0.01296,nvt,9.94,1,0.007632555,2.18,E,4,7,0,,,,,,,,0,,,,,15.18494325,0.140597839,0,10050.64516,-4.946003616,17319.82757,-36.98889045,10.2026752,0.159109888,0,19550.1238,-9.665073989,50439.69679,-116.0678247,,,0,,,,,,,0,,,,,10.2026752,0.159109888,0,9327.520698,-4.634448482,32823.5418,-78.44608599,1.07,957.5098039,3221.918627,106,106
rijwoning hoek,1975 - 1991,,7.7,0.72,1,nvt,18.2420434,0.088176197,24.51351546,0.083693225,23.57527446,0.065069517,0.01008,1,1.07,1,nvt,0.01296,nvt,9.94,1,0.004510267,1.66,C,4,7,0,,,,,,,,0,,,,,15.46719612,0.097885615,0,4268.847751,23.16745866,4832.361559,40.27192646,6.36800704,0.181028086,0,9862.443271,81.72813857,14908.34424,219.1336145,,,0,,,,,,,0,,,,,6.36800704,0.181028086,0,5520.559187,58.16430451,9993.30511,178.1726698,1.07,957.5098039,3221.918627,106,106
rijwoning hoek,1992 - 2005,,7.7,0.72,1,nvt,10.46725485,0.115014748,19.55579763,0.078795162,13.06480492,0.096921347,0.01008,1,1.07,1,nvt,0.01296,nvt,9.86,1,0,1.37,B,4,7,0,,,,,,,,0,,,,,,,0,,,,,6.012435231,0.153224445,0,3690.801053,81.72813857,8311.801579,219.1336145,,,0,,,,,,,0,,,,,6.012435231,0.153224445,0,3690.801053,81.72813857,8311.801579,219.1336145,1.07,957.5098039,3221.918627,114,114
rijwoning hoek,2006 - 2014,,7.7,0.72,1,nvt,11.63454803,0.07056064,15.06631817,0.070390049,10.16729437,0.09041257,0.01008,1,1.07,1,nvt,0.01296,nvt,9.86,1,0,0.9,A,4,7,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,1.07,957.5098039,3221.918627,114,114
meergezins: laag en midden,voor 1946,,7.1,0.72,1,nvt,15.91064681,0.204369001,23.58243619,0.144261321,21.60890993,0.149325419,0.01008,1,1.07,1,nvt,0.01296,nvt,8.41,1,0.007174355,2.2,G,2,5,0,,,,,,12.6724529,0.206555381,0,2328.36576,-1.371392184,2145.649736,4.944032112,9.788769235,0.190079072,0,6073.894363,36.533053,5832.21297,75.35563725,8.535251154,0.185162332,0,10425.52609,62.6731141,12071.4629,189.3455831,9.788769235,0.190079072,0,3727.938699,37.90444518,3668.97333,70.41160514,8.535251154,0.185162332,0,8057.323985,64.06796963,9889.102937,184.3169628,8.535251154,0.185162332,0,4247.712592,25.51501182,6139.465759,112.7006753,1.07,401.3392157,2014.845098,59,59
meergezins: laag en midden,1946 - 1964,,6.35,0.72,1,nvt,15.80846954,0.165767363,21.72020335,0.131552186,16.97333386,0.163968045,0.01008,1,1.07,1,nvt,0.01296,nvt,8.34,1,0.00646244,2.2,E,2,5,0,,,,,,14.61290126,0.131308339,0,-798.5180627,31.94642366,-3760.794772,81.18553963,12.72714877,0.125711624,0,2619.379104,55.43739526,1006.910877,114.8274989,11.77689781,0.104705638,0,3818.297741,162.7826346,-2248.041797,406.3077755,12.72714877,0.125711624,0,3385.926745,23.49097161,4735.735227,33.64195925,11.77689781,0.104705638,0,4630.477765,130.2896349,1577.096957,323.7332207,11.77689781,0.104705638,0,1154.103301,106.3967529,-3272.180057,289.5156764,1.07,401.3392157,2014.845098,66,66
meergezins: laag en midden,1965 - 1974,,7.3,0.72,1,nvt,15.38627498,0.138672987,22.63299572,0.108950993,17.88312016,0.13205108,0.01008,1,1.07,1,nvt,0.01296,nvt,8.29,1,0.004827624,2.2,D,2,5,0,,,,,,,,0,,,,,13.99789001,0.074378767,0,3771.867484,31.85046733,2594.768282,82.22724456,8.811094797,0.142637763,0,7232.405245,94.82731656,3449.097635,281.7235525,,,0,,,,,,,0,,,,,8.811094797,0.142637763,0,3396.004334,62.43191498,809.9350872,198.0894702,1.07,401.3392157,2014.845098,71,71
meergezins: laag en midden,1975 - 1991,,7.3,0.72,1,nvt,18.8483486,0.064134181,17.94849103,0.118241631,13.85318095,0.145514579,0.01008,1,1.07,1,nvt,0.01296,nvt,8.3,1,0.002521148,1.35,C,2,5,0,,,,,,,,0,,,,,15.63034554,0.071694355,0,4012.053809,31.85046733,5062.06357,25.14092026,8.2990909,0.139436651,0,7769.311154,87.15723214,14596.11381,122.4804644,,,0,,,,,,,0,,,,,8.2990909,0.139436651,0,3688.614536,54.76183056,9447.442658,96.90940449,1.07,401.3392157,2014.845098,70,70
meergezins: laag en midden,1992 - 2005,,7.7,0.72,1,nvt,13.05846872,0.066901448,11.23489331,0.12231966,18.01364608,0.080731578,0.01008,1,1.07,1,nvt,0.01296,nvt,8.26,1,0,1.31,B,2,5,0,,,,,,,,0,,,,,6.752725649,0.144824143,0,3181.030115,11.94650299,2976.209459,39.30568457,4.922958117,0.166269498,0,-442.78532,124.8187199,-1736.871186,276.1546453,,,0,,,,,,,0,,,,,4.922958117,0.166269498,0,-399.6679026,112.6678225,-1485.428807,236.1764741,1.07,401.3392157,2014.845098,74,74
meergezins: laag en midden,2006 - 2014,,7.7,0.72,1,nvt,7.093064421,0.10108232,8.903578348,0.111564216,13.53045309,0.093213044,0.01008,1,1.07,1,nvt,0.01296,nvt,8.26,1,0,0.9,A,2,5,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,1.07,401.3392157,2014.845098,74,74
meergezins: hoog,voor 1946,,7.7,0.72,1,nvt,14.94467459,0.204369001,22.61646397,0.144261321,20.6429377,0.149325419,0.01008,1,1.07,1,nvt,0.01296,nvt,8.28,1,0.007174355,2.09,D,2,5,0,,,,,,11.70648067,0.206555381,0,2328.36576,-1.371392184,2145.649736,4.944032112,8.822797013,0.190079072,0,6073.894363,36.533053,5832.21297,75.35563725,7.569278931,0.185162332,0,9938.668478,56.38041414,11195.62593,163.7961746,8.822797013,0.190079072,0,3727.938699,37.90444518,3668.97333,70.41160514,7.569278931,0.185162332,0,7570.466371,57.77526968,9013.26596,158.7675543,7.569278931,0.185162332,0,3760.854978,19.22231186,5263.628782,87.15126687,1.07,401.3392157,2014.845098,72,72
meergezins: hoog,1946 - 1964,,7.7,0.72,1,nvt,15.36263621,0.165767363,21.27437001,0.131552186,16.52750053,0.163968045,0.01008,1,1.07,1,nvt,0.01296,nvt,8.28,1,0.00646244,2.09,D,2,5,0,,,,,,14.16706792,0.131308339,0,-798.5180627,31.94642366,-3760.794772,81.18553963,12.28131544,0.125711624,0,2619.379104,55.43739526,1006.910877,114.8274989,11.33106448,0.104705638,0,3994.839516,146.4384287,-1191.671703,351.4825023,12.28131544,0.125711624,0,3385.926745,23.49097161,4735.735227,33.64195925,11.33106448,0.104705638,0,4807.019539,113.9454291,2633.46705,268.9079476,11.33106448,0.104705638,0,1330.645075,90.05254705,-2215.809964,234.6904032,1.07,401.3392157,2014.845098,72,72
meergezins: hoog,1965 - 1974,,4.95,0.72,1,nvt,14.56891387,0.138672987,21.81563461,0.108950993,17.06575905,0.13205108,0.01008,1,1.07,1,nvt,0.01296,nvt,8.18,1,0.004827624,2.09,E,2,5,0,,,,,,,,0,,,,,13.1805289,0.074378767,0,3771.867484,31.85046733,2594.768282,82.22724456,7.993733686,0.142637763,0,7037.603185,83.66127771,3785.623746,237.132539,,,0,,,,,,,0,,,,,7.993733686,0.142637763,0,3201.202275,51.26587613,1146.461198,153.4984566,1.07,401.3392157,2014.845098,82,82
meergezins: hoog,1975 - 1991,,5.3,0.72,1,nvt,18.99695971,0.064134181,18.09710214,0.118241631,14.00179206,0.145514579,0.01008,1,1.07,1,nvt,0.01296,nvt,8.32,1,0.002521148,1.84,C,2,5,0,,,,,,,,0,,,,,15.77895665,0.071694355,0,4012.053809,9.962614722,5062.06357,25.14092026,8.447702011,0.139436651,0,9489.289617,48.63718583,13168.29773,103.0943392,,,0,,,,,,,0,,,,,8.447702011,0.139436651,0,5408.592999,38.5041193,8019.626581,77.52327934,1.07,401.3392157,2014.845098,68,68
meergezins: hoog,1992 - 2005,,5.55,0.72,1,nvt,12.68694095,0.066901448,10.86336553,0.12231966,17.6421183,0.080731578,0.01008,1,1.07,1,nvt,0.01296,nvt,8.21,1,0,1.29,B,2,5,0,,,,,,,,0,,,,,6.381197871,0.144824143,0,3141.978557,12.19282209,2854.322503,40.08587478,4.551430339,0.166269498,0,-762.8434389,115.4420533,-2237.291453,243.5200085,,,0,,,,,,,0,,,,,4.551430339,0.166269498,0,-680.8532794,103.0406225,-1862.72369,202.7482987,1.07,401.3392157,2014.845098,79,79
meergezins: hoog,2006 - 2014,,5.5,0.72,1,nvt,6.721536644,0.10108232,8.53205057,0.111564216,13.15892531,0.093213044,0.01008,1,1.07,1,nvt,0.01296,nvt,8.21,1,0,0.9,A,2,5,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,1.07,401.3392157,2014.845098,79,79
