gem2020;wijk2020;buurt2020;woningtype;verschilfactor
GM0014;WK001400;BU00140000;2;0.993991594
GM0014;WK001400;BU00140000;3;0.993991594
GM0014;WK001400;BU00140000;4;0.955959973
GM0014;WK001400;BU00140000;5;1.016196572
GM0014;WK001400;BU00140000;6;1.002925534
GM0014;WK001400;BU00140001;1;1.020061827
GM0014;WK001400;BU00140001;2;1.020061827
GM0014;WK001400;BU00140001;3;1.020061827
GM0014;WK001400;BU00140001;4;0.944188363
GM0014;WK001400;BU00140001;5;1.042622261
GM0014;WK001400;BU00140001;6;1.049097781
GM0014;WK001400;BU00140002;1;1.03447106
GM0014;WK001400;BU00140002;2;1.03447106
GM0014;WK001400;BU00140002;3;1.03447106
GM0014;WK001400;BU00140002;4;1.039007275
GM0014;WK001400;BU00140002;5;1.036435338
GM0014;WK001400;BU00140002;6;1.02238763
GM0014;WK001400;BU00140003;1;1.055335426
GM0014;WK001400;BU00140003;2;1.055335426
GM0014;WK001400;BU00140003;3;1.055335426
GM0014;WK001400;BU00140003;4;0.95148724
GM0014;WK001400;BU00140003;5;1.079480848
GM0014;WK001400;BU00140003;6;1.08979719
GM0014;WK001400;BU00140004;4;1.02121403
GM0014;WK001400;BU00140005;1;1.012807825
GM0014;WK001400;BU00140005;2;1.012807825
GM0014;WK001400;BU00140005;3;1.030235927
GM0014;WK001400;BU00140005;4;0.978450452
GM0014;WK001400;BU00140005;5;1.028667941
GM0014;WK001400;BU00140005;6;1.015914435
GM0014;WK001400;BU00140008;4;1.33261662
GM0014;WK001400;BU00140008;5;1.33261662
GM0014;WK001400;BU00140008;6;1.401063931
GM0014;WK001401;BU00140100;1;1.082050071
GM0014;WK001401;BU00140100;3;1.082050071
GM0014;WK001401;BU00140100;4;1.181839161
GM0014;WK001401;BU00140100;5;1.082050071
GM0014;WK001401;BU00140100;6;1.0509919
GM0014;WK001401;BU00140101;1;1.044308987
GM0014;WK001401;BU00140101;2;1.044308987
GM0014;WK001401;BU00140101;3;1.058144832
GM0014;WK001401;BU00140101;4;1.05014275
GM0014;WK001401;BU00140101;5;1.042951593
GM0014;WK001401;BU00140101;6;1.006310146
GM0014;WK001401;BU00140102;1;0.999220544
GM0014;WK001401;BU00140102;2;0.999220544
GM0014;WK001401;BU00140102;3;0.999220544
GM0014;WK001401;BU00140102;4;1.056744236
GM0014;WK001401;BU00140102;5;0.974446848
GM0014;WK001401;BU00140102;6;0.999220544
GM0014;WK001401;BU00140103;1;0.980425388
GM0014;WK001401;BU00140103;2;0.980425388
GM0014;WK001401;BU00140103;3;0.980425388
GM0014;WK001401;BU00140103;4;0.980425388
GM0014;WK001401;BU00140103;5;0.986479346
GM0014;WK001401;BU00140103;6;0.949997653
GM0014;WK001401;BU00140104;3;0.94372078
GM0014;WK001401;BU00140104;4;0.94372078
GM0014;WK001401;BU00140104;5;0.952619468
GM0014;WK001401;BU00140104;6;0.923743555
GM0014;WK001401;BU00140105;1;1.137518256
GM0014;WK001401;BU00140105;2;1.137518256
GM0014;WK001401;BU00140105;3;1.137518256
GM0014;WK001401;BU00140105;4;1.081525382
GM0014;WK001401;BU00140105;5;1.17999251
GM0014;WK001401;BU00140105;6;1.137518256
GM0014;WK001401;BU00140106;2;0.951173134
GM0014;WK001401;BU00140106;3;0.951173134
GM0014;WK001401;BU00140106;4;0.951173134
GM0014;WK001401;BU00140106;5;0.959100546
GM0014;WK001401;BU00140106;6;0.853366553
GM0014;WK001401;BU00140107;2;1.048033903
GM0014;WK001401;BU00140107;3;1.048033903
GM0014;WK001401;BU00140107;4;1.048033903
GM0014;WK001401;BU00140107;5;1.180868568
GM0014;WK001401;BU00140107;6;0.921574045
GM0014;WK001401;BU00140108;1;1.005412573
GM0014;WK001402;BU00140200;1;1.041813668
GM0014;WK001402;BU00140200;2;1.041813668
GM0014;WK001402;BU00140200;3;1.041813668
GM0014;WK001402;BU00140200;4;1.073423436
GM0014;WK001402;BU00140200;5;1.023449826
GM0014;WK001402;BU00140200;6;1.311238486
GM0014;WK001402;BU00140201;1;1.06639216
GM0014;WK001402;BU00140201;2;1.06639216
GM0014;WK001402;BU00140201;3;1.04883912
GM0014;WK001402;BU00140201;4;1.081299446
GM0014;WK001402;BU00140201;5;1.044120488
GM0014;WK001402;BU00140201;6;1.222476883
GM0014;WK001402;BU00140202;1;0.98244191
GM0014;WK001402;BU00140202;2;0.98244191
GM0014;WK001402;BU00140202;3;0.974771178
GM0014;WK001402;BU00140202;4;1.013131221
GM0014;WK001402;BU00140202;5;0.977060204
GM0014;WK001402;BU00140202;6;0.950670085
GM0014;WK001402;BU00140203;1;1.044978861
GM0014;WK001402;BU00140203;2;1.044978861
GM0014;WK001402;BU00140203;3;1.044978861
GM0014;WK001402;BU00140203;4;1.132152359
GM0014;WK001402;BU00140203;5;0.998911441
GM0014;WK001402;BU00140203;6;1.13595274
GM0014;WK001403;BU00140300;1;1.035571914
GM0014;WK001403;BU00140300;2;1.035571914
GM0014;WK001403;BU00140300;3;0.989973776
GM0014;WK001403;BU00140300;4;1.001359622
GM0014;WK001403;BU00140300;5;1.033308068
GM0014;WK001403;BU00140300;6;1.173505887
GM0014;WK001403;BU00140301;1;1.001528814
GM0014;WK001403;BU00140301;2;1.001528814
GM0014;WK001403;BU00140301;3;0.991131556
GM0014;WK001403;BU00140301;4;1.03759887
GM0014;WK001403;BU00140301;5;0.986908998
GM0014;WK001403;BU00140301;6;1.036323291
GM0014;WK001403;BU00140302;1;0.979184654
GM0014;WK001403;BU00140302;2;0.979184654
GM0014;WK001403;BU00140302;3;0.979184654
GM0014;WK001403;BU00140302;4;1.01352506
GM0014;WK001403;BU00140302;5;0.975548916
GM0014;WK001403;BU00140302;6;0.979442704
GM0014;WK001404;BU00140400;1;1.012752517
GM0014;WK001404;BU00140400;3;1.012752517
GM0014;WK001404;BU00140400;4;1.204224127
GM0014;WK001404;BU00140400;5;0.981175826
GM0014;WK001404;BU00140400;6;0.96045932
GM0014;WK001404;BU00140401;3;1.095658794
GM0014;WK001404;BU00140401;4;1.076600782
GM0014;WK001404;BU00140401;5;1.145544225
GM0014;WK001404;BU00140401;6;0.974677425
GM0014;WK001404;BU00140402;2;1.231041287
GM0014;WK001404;BU00140402;3;1.30646502
GM0014;WK001404;BU00140402;4;1.254881092
GM0014;WK001404;BU00140402;5;1.146967706
GM0014;WK001404;BU00140402;6;1.054925027
GM0014;WK001404;BU00140403;2;1.12200845
GM0014;WK001404;BU00140403;3;1.12200845
GM0014;WK001404;BU00140403;4;1.015995049
GM0014;WK001404;BU00140403;5;1.170698102
GM0014;WK001404;BU00140403;6;1.04110718
GM0014;WK001404;BU00140404;1;1.103034206
GM0014;WK001404;BU00140404;2;1.103034206
GM0014;WK001404;BU00140404;3;1.103034206
GM0014;WK001404;BU00140404;4;1.103034206
GM0014;WK001404;BU00140404;5;1.103034206
GM0014;WK001404;BU00140404;6;1.093218613
GM0014;WK001405;BU00140500;1;1.210721006
GM0014;WK001405;BU00140500;2;1.210721006
GM0014;WK001405;BU00140500;3;1.210721006
GM0014;WK001405;BU00140500;4;1.210721006
GM0014;WK001405;BU00140500;5;1.210721006
GM0014;WK001405;BU00140500;6;1.376135148
GM0014;WK001405;BU00140501;6;1.255603387
